osmid,oneway,name,highway,reversed,length,geometry,ref,lanes,maxspeed,junction,bridge
64777134,True,Komenského,residential,False,121.314,"LINESTRING (16.612924 49.910013, 16.6127866 49.9100782, 16.6125464 49.910083, 16.6123061 49.9100877, 16.6119625 49.9100558, 16.6113029 49.9099136)",,,,,
79430359,False,Lidická,tertiary,True,115.181,"LINESTRING (16.612924 49.910013, 16.6130021 49.9099602, 16.6140333 49.9092629)",36810,,,,
590270836,False,Komenského,primary,True,67.158,"LINESTRING (16.612924 49.910013, 16.6127054 49.9099042, 16.6124378 49.909771, 16.612165 49.9096592)",43,3,50,,
590270839,False,Komenského,primary,False,150.392,"LINESTRING (16.612924 49.910013, 16.6133436 49.910253, 16.6139588 49.9105567, 16.6144401 49.9108164, 16.6145443 49.9108726)",43,,50,,
359136403,False,Nádražní,primary,False,80.64699999999999,"LINESTRING (16.606049 49.908681, 16.6069456 49.9090053, 16.6070308 49.9090363)",43,,50,,
305705791,False,Malé náměstí,primary,False,19.909,"LINESTRING (16.6145443 49.9108726, 16.6147786 49.910969)",43,,50,,
36901491,True,S. Čecha,residential,False,99.557,"LINESTRING (16.6145443 49.9108726, 16.6144213 49.9109573, 16.6142641 49.9110655, 16.6136826 49.9113824, 16.6135361 49.9114867)",,,,,
590270839,False,Komenského,primary,True,150.392,"LINESTRING (16.6145443 49.9108726, 16.6144401 49.9108164, 16.6139588 49.9105567, 16.6133436 49.910253, 16.612924 49.910013)",43,,50,,
52429769,True,Nádražní,primary,False,24.937,"LINESTRING (16.6080852 49.9101918, 16.6081658 49.9101798, 16.608243 49.9101852, 16.6083365 49.9102124, 16.6083849 49.9102576)",43,,50,roundabout,
"[79430314, 359136403, 79430294]",False,Nádražní,primary,True,63.261,"LINESTRING (16.6080852 49.9101918, 16.608017 49.9101078, 16.6078337 49.9098819, 16.6076991 49.9097088, 16.6076781 49.909687)",43,,50,,yes
359136403,False,Nádražní,primary,False,87.116,"LINESTRING (16.6070308 49.9090363, 16.607211 49.909136, 16.607348 49.909247, 16.6075147 49.9094679, 16.607619 49.9096081, 16.6076781 49.909687)",43,,50,,
359136403,False,Nádražní,primary,True,80.64699999999999,"LINESTRING (16.6070308 49.9090363, 16.6069456 49.9090053, 16.606049 49.908681)",43,,50,,
1014002815,False,28. října,residential,False,38.478,"LINESTRING (16.6151911 49.913024, 16.614689 49.9129007)",,,,,
229307147,False,Dobrovského,primary,False,29.04,"LINESTRING (16.6151911 49.913024, 16.615196 49.913178, 16.61521 49.913239, 16.61522 49.913284)",43,,50,,
305705790,False,Dobrovského,primary,True,68.733,"LINESTRING (16.6151911 49.913024, 16.6152208 49.9127611, 16.6152608 49.9124075)",43,,50,,
75039471,False,Komenského,primary,False,27.94,"LINESTRING (16.6118087 49.9095568, 16.612165 49.9096592)",43,,50,,
79430343,False,Husova,tertiary,True,29.935000000000002,"LINESTRING (16.6118087 49.9095568, 16.6118469 49.9094834, 16.611922 49.9092978)",36819,,,,
590270829,False,Lorencova alej,primary,True,30.261,"LINESTRING (16.6118087 49.9095568, 16.6116848 49.9095276, 16.6114009 49.9094875)",43,,50,,
36901471,False,Janáčkova,residential,True,69.637,"LINESTRING (16.618064 49.9093209, 16.6183721 49.9099149)",,,,,
36901473,False,Svobody,residential,True,162.388,"LINESTRING (16.618064 49.9093209, 16.6167378 49.9081363)",,,,,
75542248,False,Dukelských hrdinů,secondary,False,92.534,"LINESTRING (16.618064 49.9093209, 16.6174899 49.909528, 16.617097 49.909717, 16.6169837 49.909774)",315,,50,,
64786685,False,Horova,residential,False,157.417,"LINESTRING (16.6169837 49.909774, 16.6156922 49.9086284)",,,,,
75542248,False,Dukelských hrdinů,secondary,False,102.095,"LINESTRING (16.6169837 49.909774, 16.615896 49.9103676)",315,,50,,
36901451,False,M. Majerové,residential,True,179.048,"LINESTRING (16.6169837 49.909774, 16.6169861 49.9099632, 16.6168273 49.9113391, 16.6168226 49.9113803)",,,,,
75542248,False,Dukelských hrdinů,secondary,True,92.534,"LINESTRING (16.6169837 49.909774, 16.617097 49.909717, 16.6174899 49.909528, 16.618064 49.9093209)",315,,50,,
9587903,False,Králická,secondary,True,129.426,"LINESTRING (16.6178011 49.9167616, 16.617749 49.916686, 16.6177402 49.9163501, 16.6177239 49.9159135, 16.6177255 49.9157631, 16.6177631 49.9156068)",311,,,,
305705791,False,Malé náměstí,primary,True,19.909,"LINESTRING (16.6147786 49.910969, 16.6145443 49.9108726)",43,,50,,
