osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref,bridge,junction
36935896,Příkop,residential,False,True,290.35699999999997,"LINESTRING (14.7217295 50.6552125, 14.7220861 50.6550806, 14.7226755 50.6549582, 14.7233294 50.6547886, 14.7235391 50.6547355, 14.7243349 50.6545342, 14.724845 50.6544903, 14.7252915 50.6545349, 14.7254524 50.654551, 14.725564 50.6545573, 14.7256186 50.6545604)",,,,,
36935903,Jiráskova,residential,False,False,46.215,"LINESTRING (14.7202089 50.6572509, 14.7206447 50.6575614)",,,,,
36935897,Zahradní,residential,False,True,128.519,"LINESTRING (14.7202089 50.6572509, 14.7201197 50.6569365, 14.7201954 50.6567578, 14.7202633 50.6565974, 14.7202683 50.6564278, 14.7201296 50.6561954, 14.7200432 50.6561566)",,,,,
36935900,Nádražní,residential,False,False,206.87,"LINESTRING (14.7202089 50.6572509, 14.7200922 50.6572982, 14.7195501 50.6575178, 14.7174636 50.6578539)",,,,,
36935900,Nádražní,residential,False,True,274.08,"LINESTRING (14.7202089 50.6572509, 14.7223684 50.65629, 14.7228984 50.6560043, 14.7233987 50.6558535)",,,,,
36935897,Zahradní,residential,False,True,26.303,"LINESTRING (14.7200432 50.6561566, 14.7197388 50.6560198)",,,,,
36935898,Zahradní,residential,False,False,88.138,"LINESTRING (14.7200432 50.6561566, 14.7209476 50.6556093)",,,,,
36935897,Zahradní,residential,False,False,128.519,"LINESTRING (14.7200432 50.6561566, 14.7201296 50.6561954, 14.7202683 50.6564278, 14.7202633 50.6565974, 14.7201954 50.6567578, 14.7201197 50.6569365, 14.7202089 50.6572509)",,,,,
36935897,Zahradní,residential,False,False,26.303,"LINESTRING (14.7197388 50.6560198, 14.7200432 50.6561566)",,,,,
36935897,Zahradní,residential,False,True,27.853,"LINESTRING (14.7197388 50.6560198, 14.7194164 50.655875)",,,,,
"[36935898, 36935899]",Zahradní,residential,False,True,192.375,"LINESTRING (14.7197388 50.6560198, 14.7201692 50.655514, 14.7210707 50.6552031, 14.7212094 50.6553601, 14.7212243 50.6554418, 14.7209476 50.6556093)",,,,,
36935900,Nádražní,residential,False,False,274.08,"LINESTRING (14.7233987 50.6558535, 14.7228984 50.6560043, 14.7223684 50.65629, 14.7202089 50.6572509)",,,,,
36935900,Nádražní,residential,False,True,78.059,"LINESTRING (14.7233987 50.6558535, 14.7238098 50.6558629, 14.7242512 50.6559356, 14.7243852 50.6559564, 14.7244842 50.6559718)",,,,,
192497760,Hřbitovní,residential,False,True,199.719,"LINESTRING (14.7233987 50.6558535, 14.7232094 50.6557345, 14.7226825 50.6554409, 14.7225381 50.6553813, 14.7222226 50.6554005, 14.7220045 50.6554728, 14.7215984 50.6556324, 14.7209476 50.6556093)",,,,,
36935901,Komenského,residential,False,True,235.811,"LINESTRING (14.7209023 50.6579068, 14.7208226 50.6579252, 14.7177593 50.658633)",,,,,
36935903,Jiráskova,residential,False,False,111.907,"LINESTRING (14.7209023 50.6579068, 14.7210183 50.6580788, 14.7212286 50.6583612, 14.7213729 50.6585819, 14.7213629 50.6587232, 14.7212485 50.6588271)",,,,,
36935903,Jiráskova,residential,False,True,42.483,"LINESTRING (14.7209023 50.6579068, 14.7207123 50.657652, 14.7206447 50.6575614)",,,,,
36935902,Růžová,residential,False,False,89.104,"LINESTRING (14.7177593 50.658633, 14.7174636 50.6578539)",,,,,
