osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,area,junction,bridge
32270012,Jiráskova,residential,,False,True,111.08,"LINESTRING (16.2171341 49.9978784, 16.2170648 49.9980696, 16.2168364 49.9988587)",,,,,,
32270012,Jiráskova,residential,,False,True,62.392,"LINESTRING (16.2168364 49.9988587, 16.216707 49.9994136)",,,,,,
32270012,Jiráskova,residential,,False,False,111.08,"LINESTRING (16.2168364 49.9988587, 16.2170648 49.9980696, 16.2171341 49.9978784)",,,,,,
284964813,Ostrovní,residential,,False,True,199.407,"LINESTRING (16.2168364 49.9988587, 16.2182951 49.9990101, 16.2192307 49.9992124, 16.2195426 49.9992714)",,,,,,
32270014,Ostrovní,residential,,True,False,107.185,"LINESTRING (16.2217502 49.9996012, 16.2218789 49.999615, 16.2232365 49.999729)",,,,,,
32270033,T. G. Masaryka,residential,,False,False,89.57400000000001,"LINESTRING (16.2217502 49.9996012, 16.2218832 49.9989125, 16.2219048 49.9988018)",,,,,,
"[32270033, 32270027, 700316806, 704934335]",T. G. Masaryka,residential,,False,True,108.05199999999998,"LINESTRING (16.2217502 49.9996012, 16.2217449 49.9996374, 16.2216456 50.0001187, 16.2216155 50.0002643, 16.2215866 50.0003939, 16.2215796 50.0004225, 16.2215823 50.0005656)",,,,,,yes
284964813,Ostrovní,residential,,False,False,162.687,"LINESTRING (16.2217502 49.9996012, 16.2216414 49.9995944, 16.22053 49.9994874, 16.2195426 49.9992714)",,,,,,
32270012,Jiráskova,residential,,False,False,62.392,"LINESTRING (16.216707 49.9994136, 16.2168364 49.9988587)",,,,,,
162211349,Jiráskova,residential,,False,True,107.78399999999999,"LINESTRING (16.216707 49.9994136, 16.2167073 49.9995559, 16.21665 49.9998331, 16.216547 50.0002683, 16.2165407 50.0003754)",,,,,,
32270011,Kollárova,residential,,False,False,107.378,"LINESTRING (16.2185476 49.9982054, 16.2171341 49.9978784)",,,,,,
32270011,Kollárova,residential,,False,True,106.205,"LINESTRING (16.2185476 49.9982054, 16.2199489 49.998523)",,,,,,
32270021,Nerudova,residential,,True,False,88.14,"LINESTRING (16.2195426 49.9992714, 16.2199489 49.998523)",,,,,,
284964813,Ostrovní,residential,,False,False,199.407,"LINESTRING (16.2195426 49.9992714, 16.2192307 49.9992124, 16.2182951 49.9990101, 16.2168364 49.9988587)",,,,,,
284964813,Ostrovní,residential,,False,True,162.68699999999998,"LINESTRING (16.2195426 49.9992714, 16.22053 49.9994874, 16.2216414 49.9995944, 16.2217502 49.9996012)",,,,,,
32270011,Kollárova,residential,,False,False,106.205,"LINESTRING (16.2199489 49.998523, 16.2185476 49.9982054)",,,,,,
32270021,Nerudova,residential,,True,False,123.912,"LINESTRING (16.2199489 49.998523, 16.2205225 49.9974714)",,,,,,
32270011,Kollárova,residential,,False,True,144.48499999999999,"LINESTRING (16.2199489 49.998523, 16.2206889 49.9987151, 16.2217491 49.99879, 16.2219048 49.9988018)",,,,,,
32270002,Dr. E. Beneše,residential,,False,True,119.086,"LINESTRING (16.2205225 49.9974714, 16.2220264 49.997808, 16.2220966 49.9978222)",,,,,,
"[162278169, 32276738, 162278164]","['Nábřeží', 'Prokopská']",residential,50,False,"[False, True]",140.96399999999997,"LINESTRING (16.2232365 49.999729, 16.223269 49.9999145, 16.2233081 49.9999848, 16.2233217 50.0001422, 16.2239587 49.9999753, 16.2243863 49.999866, 16.2245535 49.9998391)",,,,,,yes
284964812,Na Herzánce,residential,,True,False,91.93900000000001,"LINESTRING (16.2232365 49.999729, 16.223318 49.9995903, 16.22323 49.9989141)",,,,,,
1256101715,Kollárova,residential,,True,False,95.542,"LINESTRING (16.22323 49.9989141, 16.2220666 49.9988141, 16.2219048 49.9988018)",,,,,,
32276727,Žerotínova,residential,,False,True,52.291,"LINESTRING (16.2270665 50.0028148, 16.22637 50.0026708)",,,,,,
32276726,Husova,residential,,False,True,75.033,"LINESTRING (16.2270665 50.0028148, 16.2270909 50.0029145, 16.2269994 50.0032349, 16.2270294 50.0033711, 16.2270961 50.003473)",,,destination,,,
"[393733399, 201641655]",Husova,residential,,False,False,204.032,"LINESTRING (16.2270665 50.0028148, 16.2269367 50.002583, 16.2267333 50.0018723, 16.2266236 50.0015755, 16.22664 50.0014426, 16.2266486 50.0012058, 16.2264122 50.0010906)",,,,,,
32276738,Nábřeží,residential,,False,False,43.829,"LINESTRING (16.2245535 49.9998391, 16.2247027 49.9998269, 16.2248602 49.9998243, 16.2251632 49.9998481)",,,,,,
32276744,,residential,,False,True,163.732,"LINESTRING (16.2245535 49.9998391, 16.2245539 50.0003856, 16.2247208 50.0005062, 16.2250386 50.0003478, 16.2251632 49.9998481)",,,,,,
"[162278169, 32276738, 162278164]","['Nábřeží', 'Prokopská']",residential,50,False,"[False, True]",140.964,"LINESTRING (16.2245535 49.9998391, 16.2243863 49.999866, 16.2239587 49.9999753, 16.2233217 50.0001422, 16.2233081 49.9999848, 16.223269 49.9999145, 16.2232365 49.999729)",,,,,,yes
32276738,Nábřeží,residential,,False,False,113.878,"LINESTRING (16.2251632 49.9998481, 16.2254162 49.9998975, 16.2256555 49.9999655, 16.2260522 50.000143, 16.2261688 50.0002149, 16.2262172 50.0003002, 16.2262514 50.0003879, 16.2262802 50.0004762)",,,,,,
32276738,Nábřeží,residential,,False,True,43.829,"LINESTRING (16.2251632 49.9998481, 16.2248602 49.9998243, 16.2247027 49.9998269, 16.2245535 49.9998391)",,,,,,
32276744,,residential,,False,False,163.732,"LINESTRING (16.2251632 49.9998481, 16.2250386 50.0003478, 16.2247208 50.0005062, 16.2245539 50.0003856, 16.2245535 49.9998391)",,,,,,
32276765,Bj. Krawce,residential,,False,False,117.17599999999999,"LINESTRING (16.2248101 50.0022111, 16.2250698 50.0022196, 16.2253734 50.0022323, 16.2255419 50.0022006, 16.2257005 50.0021128, 16.2261433 50.0017724)",,,,,,
"[594444752, 32276765, 32276831]","['Tocháčkův kopec', 'Bj. Krawce', 'Na Svobodné']",residential,,False,True,376.99399999999997,"LINESTRING (16.2248101 50.0022111, 16.2239976 50.0043632, 16.2245463 50.0044507, 16.2243731 50.0052555)",,,,,,
226000119,Bj. Krawce,residential,,False,True,124.788,"LINESTRING (16.2248101 50.0022111, 16.2248241 50.0020654, 16.2247785 50.001926, 16.2244199 50.0012793, 16.2243845 50.0012303, 16.2243235 50.0011457)",,,,,,
32276765,Bj. Krawce,residential,,False,True,117.17600000000002,"LINESTRING (16.2261433 50.0017724, 16.2257005 50.0021128, 16.2255419 50.0022006, 16.2253734 50.0022323, 16.2250698 50.0022196, 16.2248101 50.0022111)",,,,,,
32276773,U Hřiště,residential,,False,False,97.019,"LINESTRING (16.2180322 50.0009468, 16.2193896 50.0009512)",,,,,,
32277029,Dr. Fikejze,residential,,False,True,118.247,"LINESTRING (16.2180322 50.0009468, 16.2176165 50.0019761)",,,,,,
32276798,Sv. Čecha,residential,,False,True,60.632,"LINESTRING (16.2212603 50.0025533, 16.2204339 50.0024301)",,,,,,
