osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,junction
19902270,Stará Mostecká,residential,50,False,True,12.358,"LINESTRING (14.1343016 50.5320112, 14.1342464 50.5320319, 14.1342095 50.5320417, 14.134176 50.5320473, 14.1341399 50.5320465)",,,,
"[907681849, 286607076]",Mezibraní,primary,50,False,False,62.736000000000004,"LINESTRING (14.1343016 50.5320112, 14.1343282 50.5320409, 14.134368 50.5320715, 14.1344114 50.5320962, 14.1344593 50.5321173, 14.1345108 50.5321345, 14.1345653 50.5321476, 14.1346219 50.5321563, 14.1347614 50.5321638, 14.1348875 50.532163, 14.1351014 50.5321574)",2,15,,
25740471,Mostecká,residential,,True,False,48.233000000000004,"LINESTRING (14.1336598 50.5336078, 14.1336597 50.5335345, 14.1337497 50.5331786)",,,,
191402517,Dlouhá,residential,,False,False,58.186,"LINESTRING (14.1336598 50.5336078, 14.1330208 50.5336262, 14.1328379 50.5336363)",,,,
30113639,Krajská,residential,,False,True,39.184,"LINESTRING (14.1289066 50.5344729, 14.1289826 50.5345474, 14.1290174 50.5346057, 14.1290416 50.5346909, 14.1290683 50.5348043)",,,,
191402508,Michalská,residential,,True,False,64.602,"LINESTRING (14.1289066 50.5344729, 14.1288536 50.5344323, 14.1286836 50.5343336, 14.1282981 50.5340407)",,,,
286607079,Na Valech,secondary,50,False,False,31.552,"LINESTRING (14.1378642 50.5346085, 14.137769 50.5346896, 14.1376336 50.5348031, 14.1375903 50.5348323)",2,261,,
303078681,Daliborova,tertiary,50,True,False,58.504000000000005,"LINESTRING (14.1378642 50.5346085, 14.137979 50.5348018, 14.1381216 50.5351082)",,25847,,
365774002,Na Valech,secondary,50,False,True,31.465,"LINESTRING (14.1378642 50.5346085, 14.1380247 50.5343979, 14.1380575 50.5343536)",,261,,
286607079,Na Valech,secondary,50,False,False,67.769,"LINESTRING (14.1313978 50.5364966, 14.1305448 50.536775)",2,261,,
"[294937672, 119566570]",Sovova,residential,50,False,True,114.554,"LINESTRING (14.1313978 50.5364966, 14.1314609 50.5366037, 14.1315682 50.5367971, 14.1317238 50.5370874, 14.1317338 50.5371354, 14.1317251 50.5371814, 14.1314916 50.5374528)",,,,
286607079,Na Valech,secondary,50,False,True,96.376,"LINESTRING (14.1313978 50.5364966, 14.1315812 50.5364362, 14.1319079 50.536333, 14.1326275 50.5361223)",2,261,,
29423481,Vojtěšské náměstí,secondary,50,True,False,26.627000000000002,"LINESTRING (14.125228 50.5369875, 14.1251761 50.5369638, 14.1251035 50.5369136, 14.1250028 50.5367997)",,261,,
"[330336643, 294937628]","['Vojtěšské náměstí', 'Komenského']",secondary,50,False,True,80.03200000000001,"LINESTRING (14.125228 50.5369875, 14.1252614 50.5370133, 14.1253003 50.5370301, 14.1254209 50.5370737, 14.1255483 50.5371014, 14.1256558 50.5371179, 14.1257542 50.537133, 14.1262865 50.5372147)",,261,,
286607079,Na Valech,secondary,50,False,False,96.37599999999999,"LINESTRING (14.1326275 50.5361223, 14.1319079 50.536333, 14.1315812 50.5364362, 14.1313978 50.5364966)",2,261,,
286607079,Na Valech,secondary,50,False,True,35.402,"LINESTRING (14.1326275 50.5361223, 14.1328842 50.5360404, 14.1330862 50.5359961)",2,261,,
303022119,Osvobození,residential,,False,True,131.222,"LINESTRING (14.1326275 50.5361223, 14.1326937 50.5362246, 14.1327527 50.5367203, 14.1328835 50.5372866)",2,,,
286607079,Na Valech,secondary,50,False,False,48.17700000000001,"LINESTRING (14.1370432 50.5350883, 14.1368459 50.5351433, 14.1364071 50.5352434)",2,261,,
286607079,Na Valech,secondary,50,False,True,48.30799999999999,"LINESTRING (14.1370432 50.5350883, 14.1372237 50.5350206, 14.1374247 50.5349375, 14.1375903 50.5348323)",2,261,,
19902682,Vavřinecká,residential,,False,False,45.58,"LINESTRING (14.1351014 50.5321574, 14.1350923 50.5322741, 14.1349668 50.5325561)",,,delivery,
"[907681849, 286607076]",Mezibraní,primary,50,False,True,62.736,"LINESTRING (14.1351014 50.5321574, 14.1348875 50.532163, 14.1347614 50.5321638, 14.1346219 50.5321563, 14.1345653 50.5321476, 14.1345108 50.5321345, 14.1344593 50.5321173, 14.1344114 50.5320962, 14.134368 50.5320715, 14.1343282 50.5320409, 14.1343016 50.5320112)",2,15,,
"[1152344962, 342255651, 286607077]",Mezibraní,primary,50,False,False,248.616,"LINESTRING (14.1351014 50.5321574, 14.1352984 50.5321566, 14.1354207 50.5321598, 14.135533 50.532167, 14.1357171 50.5321827, 14.1359121 50.5322073, 14.1360589 50.5322356, 14.1361986 50.5322676, 14.1364731 50.53234, 14.1367256 50.5324161, 14.1369298 50.5324814, 14.1373436 50.532634, 14.1375592 50.5327328, 14.1377512 50.5328289, 14.1378608 50.5328892, 14.1381096 50.5330358, 14.1381839 50.5330963)","['2', '3']",15,,
282027152,Zahradnická,residential,,False,True,41.117999999999995,"LINESTRING (14.1253978 50.5314992, 14.1254667 50.5313064, 14.1255259 50.5311385)",,,,
294937634,Zahradnická,residential,,False,True,292.539,"LINESTRING (14.1253978 50.5314992, 14.1252253 50.5318169, 14.1250154 50.5322251, 14.1248556 50.5324792, 14.1247042 50.5327618, 14.1247135 50.5329141, 14.1247208 50.5330341, 14.1249062 50.5334145, 14.1250489 50.5336337, 14.1252701 50.5337602, 14.1255178 50.533877)",,,,
67803706,Svatováclavská,residential,,False,True,26.684,"LINESTRING (14.1274158 50.533487, 14.1270386 50.5334769)",,,,
"[67803706, 19902110]","['Svatováclavská', 'Dómská']",residential,,False,False,110.21499999999999,"LINESTRING (14.1274158 50.533487, 14.1275412 50.5334934, 14.128144 50.5334227, 14.1282366 50.5337802, 14.1282868 50.5338466, 14.1283526 50.5339213)",,,,
"[19901980, 282027142]","['Svatojiřská', 'Václavské náměstí']",residential,,False,True,122.462,"LINESTRING (14.1274158 50.533487, 14.1273405 50.5333453, 14.1272815 50.5333306, 14.127217 50.533316, 14.1270439 50.5331176, 14.1268092 50.5324941)",,,,
23082794,Pekařská,residential,,False,False,13.824,"LINESTRING (14.1283526 50.5339213, 14.1282981 50.5340407)",,,,
453255008,Jarošova,residential,,True,False,115.805,"LINESTRING (14.1283526 50.5339213, 14.1294349 50.5331394)",,,,
"[67803706, 19902110]","['Svatováclavská', 'Dómská']",residential,,False,True,110.21499999999999,"LINESTRING (14.1283526 50.5339213, 14.1282868 50.5338466, 14.1282366 50.5337802, 14.128144 50.5334227, 14.1275412 50.5334934, 14.1274158 50.533487)",,,,
19902148,Jarošova,residential,,True,False,143.339,"LINESTRING (14.1294349 50.5331394, 14.1299287 50.5328255, 14.1302614 50.5326512, 14.130325 50.5326308, 14.1307115 50.5325238, 14.1310835 50.5324209)",,,,
67803709,Horní Dubina,residential,,False,False,178.83200000000002,"LINESTRING (14.1294349 50.5331394, 14.1295145 50.5330313, 14.1301536 50.5326012, 14.1301882 50.5325732, 14.1303204 50.5324664, 14.1307216 50.5321401, 14.1308802 50.5318452)",,,,
"[19902235, 19902270]","['Stará Mostecká', 'Vodní']",residential,50,False,False,173.19899999999998,"LINESTRING (14.1317975 50.5316933, 14.1318862 50.5317294, 14.1321453 50.5317919, 14.1323108 50.5318058, 14.1327577 50.5317813, 14.1328383 50.5317797, 14.1329188 50.5317832, 14.1329873 50.5317904, 14.1330547 50.5318012, 14.1334842 50.5319053, 14.1339768 50.5320166, 14.1341399 50.5320465)",,,,
25740497,Jarošova,residential,,False,True,47.125,"LINESTRING (14.1317975 50.5316933, 14.1318184 50.5316588, 14.1318593 50.5315915, 14.1319703 50.5313909, 14.1320045 50.5312912)",,,,
342255650,Jarošova,residential,50,False,True,41.655,"LINESTRING (14.1317975 50.5316933, 14.1317083 50.5318033, 14.1316322 50.5318973, 14.1315441 50.5320312)",,,,
19902270,Stará Mostecká,residential,50,False,False,12.358,"LINESTRING (14.1341399 50.5320465, 14.134176 50.5320473, 14.1342095 50.5320417, 14.1342464 50.5320319, 14.1343016 50.5320112)",,,,
