osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,junction,width,bridge
"[481110392, 491611017, 491611016, 30969382]",374,Vodní,secondary,50,False,False,190.874,3,"LINESTRING (16.6418867 49.3610313, 16.6418627 49.3610689, 16.6418386 49.3611067, 16.6417346 49.3612795, 16.641539 49.3616071, 16.6413751 49.361916, 16.6413324 49.3620005, 16.6412834 49.3621225, 16.6412265 49.3623007, 16.6411669 49.3626726)",,,
367534925,374,,secondary,50,True,False,22.116,,"LINESTRING (16.6418867 49.3610313, 16.6418317 49.3610141, 16.641786 49.3609877, 16.6417531 49.3609542, 16.6417354 49.3609161, 16.6417344 49.3608763)",roundabout,,
"[491611013, 491611014, 491611015, 490980122, 490980124]",374,Vodní,secondary,50,False,False,197.973,"['2', '3']","LINESTRING (16.6411669 49.3626726, 16.641137 49.363048, 16.6411299 49.3631358, 16.6411306 49.3632303, 16.6411314 49.3633089, 16.6411355 49.3637363, 16.641125 49.3641445, 16.6411236 49.3642517, 16.6411217 49.3643737, 16.6411196 49.3644523)",,,
"[491611016, 491611017, 481110392, 30969382]",374,Vodní,secondary,50,False,True,190.874,3,"LINESTRING (16.6411669 49.3626726, 16.6412265 49.3623007, 16.6412834 49.3621225, 16.6413324 49.3620005, 16.6413751 49.361916, 16.641539 49.3616071, 16.6417346 49.3612795, 16.6418386 49.3611067, 16.6418627 49.3610689, 16.6418867 49.3610313)",,,
587272627,,Vodní,residential,50,False,True,19.19,,"LINESTRING (16.6411669 49.3626726, 16.6413208 49.3626672, 16.6413545 49.3626678, 16.6414307 49.3626757)",,,
30969725,,Mánesova,residential,50,False,False,77.66399999999999,,"LINESTRING (16.644208 49.3679595, 16.6442979 49.3679292, 16.644446 49.3678954, 16.6452158 49.3677223)",,,
1195914889,,Bezručova,tertiary,50,False,True,16.667,2,"LINESTRING (16.644208 49.3679595, 16.6441808 49.3678607, 16.6441828 49.3678112)",,,
367534925,374,,secondary,50,True,False,16.558,,"LINESTRING (16.6420392 49.3607604, 16.6421036 49.3607869, 16.6421504 49.3608261, 16.642174 49.3608733)",roundabout,,
"[481110393, 491456269]",374,Svitavská,secondary,50,False,True,104.131,2,"LINESTRING (16.6420392 49.3607604, 16.6420645 49.3607171, 16.6420898 49.3606738, 16.6423239 49.3602804, 16.6425579 49.359887)",,,
216420123,,Rodkovského,residential,50,False,False,128.345,,"LINESTRING (16.6476744 49.3604869, 16.647645 49.3605633, 16.6475148 49.3608479, 16.6474132 49.3611325, 16.6473487 49.361617)",,,
490958448,,Žižkova,residential,50,False,True,74.91,,"LINESTRING (16.6476744 49.3604869, 16.6476984 49.3604204, 16.6479098 49.3598309)",,,
1195914881,37440,Sadová,tertiary,50,False,False,106.926,2,"LINESTRING (16.6476744 49.3604869, 16.6468437 49.3604789, 16.6463212 49.3604933, 16.6461988 49.3604988)",,,
1195914881,37440,Sadová,tertiary,50,False,True,135.087,2,"LINESTRING (16.6476744 49.3604869, 16.6489704 49.360576, 16.6495289 49.3606174)",,,
