osmid,name,highway,oneway,reversed,length,geometry,ref,width,lanes
398079025,Dlouhá,residential,False,True,24.515,"LINESTRING (13.5560075 49.1427796, 13.5563414 49.1427497)",,,
398079026,Dlouhá,residential,False,False,77.094,"LINESTRING (13.5560075 49.1427796, 13.5549555 49.1428638)",,,
258949440,Fügnerova,residential,False,False,80.99000000000001,"LINESTRING (13.5560075 49.1427796, 13.5560904 49.1432244, 13.5561091 49.1435044)",,,
270239519,Dlouhá,residential,False,True,47.647,"LINESTRING (13.5563414 49.1427497, 13.5569963 49.1427577)",,,
398079025,Dlouhá,residential,False,False,24.515,"LINESTRING (13.5563414 49.1427497, 13.5560075 49.1427796)",,,
36948462,Petra Bezruče,residential,False,False,91.58600000000001,"LINESTRING (13.5563414 49.1427497, 13.5563213 49.1426138, 13.5562826 49.142246, 13.5562601 49.1421551, 13.5561621 49.141938)",,,
255371975,Spojovací,residential,False,True,106.362,"LINESTRING (13.5493518 49.1441603, 13.5495002 49.1451119)",,,
6297138,Smetanova,residential,False,False,155.649,"LINESTRING (13.5493518 49.1441603, 13.5504314 49.1440843, 13.5506152 49.1440834, 13.5514825 49.1441296)",,,
6297138,Smetanova,residential,False,False,98.19300000000001,"LINESTRING (13.5514825 49.1441296, 13.5521818 49.1441259, 13.5528324 49.1441235)",,,
6297138,Smetanova,residential,False,True,155.649,"LINESTRING (13.5514825 49.1441296, 13.5506152 49.1440834, 13.5504314 49.1440843, 13.5493518 49.1441603)",,,
64147194,Česká,residential,False,False,121.919,"LINESTRING (13.5514825 49.1441296, 13.5514657 49.1440689, 13.5513088 49.14347, 13.55196 49.1435011)",,,
6297138,Smetanova,residential,False,True,44.395,"LINESTRING (13.5534095 49.1442454, 13.5531125 49.1441591, 13.5529401 49.1441362, 13.5528324 49.1441235)",,,
72387370,Sušická,secondary,False,True,88.911,"LINESTRING (13.5534095 49.1442454, 13.5527192 49.1446605, 13.5525985 49.1447139, 13.5524693 49.1447474)",145,,
688686361,Sušická,secondary,False,False,30.116999999999997,"LINESTRING (13.5534095 49.1442454, 13.5535709 49.1441733, 13.553761 49.1441027)",145,,
270239519,Dlouhá,residential,False,False,47.647,"LINESTRING (13.5569963 49.1427577, 13.5563414 49.1427497)",,,
