osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,lanes,access,width,junction
"[25395916, 261400551]",Mostní,residential,False,False,79.799,"LINESTRING (13.520839 49.2299627, 13.5206698 49.2300572, 13.5203742 49.2302202, 13.5201491 49.2303186, 13.5201383 49.2303257, 13.519987 49.2304143)",,,,,,,
"[159360848, 36898665, 9624356]",Dlouhoveská,secondary,False,False,91.06800000000001,"LINESTRING (13.520839 49.2299627, 13.5210503 49.229849, 13.5211176 49.22981, 13.521383 49.229668, 13.5217362 49.2294788, 13.5218053 49.2294407)","['169', '169-017']",50,yes,3,,,
"[173182086, 661428340, 661428342]",Příkopy,secondary,False,True,120.284,"LINESTRING (13.520839 49.2299627, 13.5207646 49.2298948, 13.5206701 49.2298311, 13.5202843 49.2296594, 13.5200348 49.2295531, 13.519917 49.229498, 13.5194943 49.2293452)",171,50,,"['2', '3']",,,
"[880334852, 544533702, 180792074, 398903956, 159383317, 755441149]",nábřeží Karla Houry,secondary,False,False,368.0489999999999,"LINESTRING (13.520839 49.2299627, 13.5209537 49.2300801, 13.520977 49.2301058, 13.5210545 49.2301962, 13.5211118 49.2302628, 13.5211544 49.2303168, 13.5212301 49.2304511, 13.5213904 49.2308654, 13.5216161 49.2314406, 13.5216554 49.2315409, 13.5216645 49.2315648, 13.5216754 49.2315937, 13.5217053 49.2316771, 13.521803 49.2319214, 13.5218116 49.2319429, 13.5218486 49.23204, 13.5219136 49.2322108, 13.5219216 49.2322323, 13.5219782 49.2323849, 13.5219966 49.2324513, 13.5220067 49.2325146, 13.522004 49.2325787, 13.5219966 49.2326395, 13.5219742 49.2327075, 13.5219537 49.2327547, 13.5219014 49.232839, 13.5218383 49.2329223, 13.5218089 49.2329636, 13.5217821 49.2330043, 13.5217623 49.2330446, 13.5217571 49.233066, 13.5217539 49.2330863, 13.5217529 49.2331018, 13.5217532 49.2331157)",169,50,,3,,,
173182081,Příkopy,secondary,False,True,16.259,"LINESTRING (13.5194943 49.2293452, 13.5192813 49.2293001)",171,50,,,,,
"[173182074, 261057930]",Na Fufernách,residential,False,False,53.298,"LINESTRING (13.5194943 49.2293452, 13.5195495 49.2292922, 13.5195996 49.2292386, 13.5196595 49.2291745, 13.5196825 49.2291498, 13.5199254 49.2289586)",,,yes,,,,
"[661428342, 661428340, 173182086]",Příkopy,secondary,False,False,120.284,"LINESTRING (13.5194943 49.2293452, 13.519917 49.229498, 13.5200348 49.2295531, 13.5202843 49.2296594, 13.5206701 49.2298311, 13.5207646 49.2298948, 13.520839 49.2299627)",171,50,,"['2', '3']",,,
217550669,Krátká,residential,False,True,65.412,"LINESTRING (13.5223402 49.2290723, 13.5224631 49.2291173, 13.5225755 49.2293451, 13.5226816 49.2294737, 13.5227813 49.2295634)",,,,,,,
"[298557402, 738509326]",Dlouhoveská,secondary,False,False,46.882,"LINESTRING (13.5223402 49.2290723, 13.5224745 49.2288963, 13.5225822 49.2286826)",169,50,,3,,,
298557402,Dlouhoveská,secondary,False,True,56.712,"LINESTRING (13.5223402 49.2290723, 13.5222099 49.2291943, 13.5218053 49.2294407)",169,50,,,,,
173182081,Příkopy,secondary,False,False,16.259,"LINESTRING (13.5192813 49.2293001, 13.5194943 49.2293452)",171,50,,,,,
71399081,Kostelní,residential,False,True,34.383,"LINESTRING (13.5192813 49.2293001, 13.5192683 49.2293449, 13.5192174 49.2294929, 13.5191798 49.2296021)",,,,,,,
"[164243536, 164243537]",Příkopy,secondary,False,True,116.93,"LINESTRING (13.5192813 49.2293001, 13.5189142 49.2292533, 13.5186805 49.2292494, 13.5184962 49.2292589, 13.5183146 49.2292886, 13.5180161 49.2293655, 13.5179188 49.2294025, 13.5177533 49.2294722)",171,50,,,,,
"[217286332, 32278349]",Na Hrázi,residential,False,False,106.405,"LINESTRING (13.5148935 49.2280223, 13.5148193 49.2280694, 13.5147186 49.228131, 13.5142627 49.2284587, 13.514206 49.2284985, 13.5140233 49.228626, 13.5138899 49.2287191)",,,,,,,
"[876255469, 876255470, 876255471]",Volšovská,secondary,False,False,88.501,"LINESTRING (13.5148935 49.2280223, 13.515133 49.2283024, 13.5152193 49.2284058, 13.5154462 49.2286626, 13.5154883 49.2287169)",171,50,,2,,,
"[549209012, 876246230, 876246231]",T. G. Masaryka,secondary,False,True,56.68300000000001,"LINESTRING (13.5230024 49.2357925, 13.522967 49.2356866, 13.522912 49.2355222, 13.5228692 49.2353926, 13.5228593 49.2353629, 13.5228407 49.235307, 13.5228364 49.2352944)",169,50,,2,,,
895276014,Nuželická,secondary,False,False,17.171,"LINESTRING (13.5225822 49.2286826, 13.522809 49.2287263)",171,50,,,,,
"[298557402, 738509326]",Dlouhoveská,secondary,False,True,46.882,"LINESTRING (13.5225822 49.2286826, 13.5224745 49.2288963, 13.5223402 49.2290723)",169,50,,3,,,
"[876509318, 738509327, 261368423, 876509319]",Dlouhoveská,secondary,False,False,132.938,"LINESTRING (13.5225822 49.2286826, 13.522626 49.2285512, 13.5226317 49.2285275, 13.5226526 49.2283663, 13.5226449 49.2282157, 13.5226399 49.2281839, 13.5225924 49.2280127, 13.5225389 49.2278987, 13.522467 49.2277874, 13.522364 49.227662, 13.5222477 49.2275488)",169,50,,"['2', '3']",,,
9624369,Nuželická,secondary,False,True,40.169,"LINESTRING (13.5233374 49.2288332, 13.5228688 49.2287384, 13.522809 49.2287263)",171,50,,,,,
549202758,Nuželická,secondary,False,False,49.569,"LINESTRING (13.5233374 49.2288332, 13.5238505 49.2289362, 13.5239155 49.2289497, 13.5239911 49.2289612)",171,50,,,,,
71501058,Chmelenská,secondary,False,False,105.862,"LINESTRING (13.5269589 49.229742, 13.5269721 49.2299117, 13.5269829 49.2300803, 13.5269898 49.2301308, 13.5269966 49.23018, 13.5270128 49.2302972, 13.5270463 49.2305609, 13.5270636 49.2306914)",171,50,,,,,
71501058,Chmelenská,secondary,False,True,151.755,"LINESTRING (13.5269589 49.229742, 13.5269412 49.2295533, 13.5269341 49.2294849, 13.5269363 49.2293288, 13.5269224 49.2291714, 13.5269073 49.2290896, 13.526876 49.2290063, 13.5268001 49.2289044, 13.526708 49.2287995, 13.5265958 49.2286857, 13.5264419 49.2285644, 13.5263851 49.2285315, 13.5263572 49.2285156, 13.5263232 49.2285056)",171,50,,,,,
233621565,Pod Nebozízkem,living_street,False,False,22.104,"LINESTRING (13.5269589 49.229742, 13.5270292 49.2297421, 13.5272633 49.2297424)",,,,,,,
36898661,Mariánská,residential,True,False,113.94699999999999,"LINESTRING (13.5239911 49.2289612, 13.5236458 49.2292706, 13.5236028 49.229302, 13.5235535 49.2293291, 13.5235005 49.2293508, 13.5234442 49.2293675, 13.5228516 49.2295301, 13.5227813 49.2295634)",,,,,,,
217286348,Nuželická,secondary,False,False,55.689,"LINESTRING (13.5239911 49.2289612, 13.5240291 49.2289649, 13.5240685 49.2289669, 13.5241023 49.2289682, 13.5241373 49.2289662, 13.5241729 49.2289622, 13.5242047 49.2289582, 13.5242709 49.2289459, 13.5247274 49.2288436)",171,50,,,,,
549202758,Nuželická,secondary,False,True,49.569,"LINESTRING (13.5239911 49.2289612, 13.5239155 49.2289497, 13.5238505 49.2289362, 13.5233374 49.2288332)",171,50,,,,,
880334857,Lerchova,residential,True,False,8.762,"LINESTRING (13.521792 49.2332315, 13.5216883 49.2332718)",,,,,,,
71501063,T. G. Masaryka,secondary,False,False,74.202,"LINESTRING (13.521792 49.2332315, 13.5218163 49.2332609, 13.5218441 49.2332885, 13.5218966 49.2333312, 13.5219092 49.2333415, 13.5220413 49.2334468, 13.5220927 49.2334884, 13.5221747 49.2335547, 13.5221877 49.2335654, 13.5222083 49.2335824, 13.5222381 49.233607, 13.5222957 49.2336572, 13.5223043 49.2336663, 13.522341 49.2337047, 13.5223487 49.2337128, 13.5223942 49.2337686)",169,50,,,,,
220663142,Ostrovní,residential,False,False,51.756,"LINESTRING (13.521792 49.2332315, 13.5218223 49.2332204, 13.5218561 49.2332103, 13.5224788 49.2331113)",,,,,,,
880335088,T. G. Masaryka,secondary,False,True,13.276,"LINESTRING (13.521792 49.2332315, 13.5217636 49.2331799, 13.5217547 49.2331253, 13.5217532 49.2331157)",169,50,,,,,
217286351,Chmelenská,secondary,False,False,33.534,"LINESTRING (13.5270636 49.2306914, 13.5270479 49.2309928)",171,50,,,,,
71501058,Chmelenská,secondary,False,True,105.862,"LINESTRING (13.5270636 49.2306914, 13.5270463 49.2305609, 13.5270128 49.2302972, 13.5269966 49.23018, 13.5269898 49.2301308, 13.5269829 49.2300803, 13.5269721 49.2299117, 13.5269589 49.229742)",171,50,,,,,
"[1106001464, 217286386]",Chmelenská,residential,True,False,133.127,"LINESTRING (13.5270636 49.2306914, 13.5269824 49.2306938, 13.5268135 49.2306987, 13.5263976 49.230727, 13.526107 49.2307467, 13.5260223 49.2308001, 13.5259481 49.2308469, 13.5258286 49.2308677, 13.5253098 49.2309324)",,30,,,destination,,
32278356,Pod Nemocnicí,residential,False,False,100.95300000000002,"LINESTRING (13.5247274 49.2288436, 13.5247528 49.2289109, 13.5247646 49.2289422, 13.5248738 49.2292548, 13.5250155 49.2296603, 13.5250367 49.2297287)",,,,,,,
217286348,Nuželická,secondary,False,True,55.68899999999999,"LINESTRING (13.5247274 49.2288436, 13.5242709 49.2289459, 13.5242047 49.2289582, 13.5241729 49.2289622, 13.5241373 49.2289662, 13.5241023 49.2289682, 13.5240685 49.2289669, 13.5240291 49.2289649, 13.5239911 49.2289612)",171,50,,,,,
217286357,Nuželická,secondary,False,False,122.102,"LINESTRING (13.5247274 49.2288436, 13.5251896 49.2287428, 13.526237 49.22851, 13.52628 49.2285028, 13.5263232 49.2285056)",171,50,,,,,
"[549202744, 32278329]",Příkopy,living_street,False,False,285.564,"LINESTRING (13.5167393 49.2299395, 13.5167218 49.230006, 13.5167133 49.2300382, 13.5166745 49.2300971, 13.5165663 49.2302614, 13.5165259 49.2303261, 13.5164946 49.2303806, 13.5164622 49.230454, 13.5164426 49.2305175, 13.5164274 49.2306128, 13.5164321 49.2307033, 13.5164525 49.2307871, 13.5164909 49.2308691, 13.5165535 49.2309561, 13.5166311 49.2310326, 13.516804 49.2312151, 13.5172571 49.2317175, 13.5176403 49.2320689, 13.517802 49.232217)",,,,,,,
71501061,Příkopy,secondary,False,False,91.35300000000001,"LINESTRING (13.5167393 49.2299395, 13.5167999 49.2299358, 13.5168539 49.2299261, 13.5169158 49.229895, 13.5171885 49.2297188, 13.5174294 49.2296101, 13.5177533 49.2294722)",171,50,,,,,
548854030,Volšovská,secondary,False,True,20.487,"LINESTRING (13.5167393 49.2299395, 13.5166472 49.2299313, 13.5165768 49.229913, 13.5164715 49.2298855)",171,50,,2,,,
217286351,Chmelenská,secondary,False,True,33.534,"LINESTRING (13.5270479 49.2309928, 13.5270636 49.2306914)",171,50,,,,,
262440717,Nad Lipou,residential,False,True,162.761,"LINESTRING (13.5270479 49.2309928, 13.5269566 49.2310345, 13.5268663 49.2311002, 13.5268005 49.2311675, 13.5265467 49.231461, 13.5262974 49.2317509, 13.5261209 49.2319723, 13.5260816 49.2320468, 13.5260222 49.2322056, 13.5259999 49.2322653)",,,,,,,
71501058,Chmelenská,secondary,False,False,151.755,"LINESTRING (13.5263232 49.2285056, 13.5263572 49.2285156, 13.5263851 49.2285315, 13.5264419 49.2285644, 13.5265958 49.2286857, 13.526708 49.2287995, 13.5268001 49.2289044, 13.526876 49.2290063, 13.5269073 49.2290896, 13.5269224 49.2291714, 13.5269363 49.2293288, 13.5269341 49.2294849, 13.5269412 49.2295533, 13.5269589 49.229742)",171,50,,,,,
217286357,Nuželická,secondary,False,True,122.102,"LINESTRING (13.5263232 49.2285056, 13.52628 49.2285028, 13.526237 49.22851, 13.5251896 49.2287428, 13.5247274 49.2288436)",171,50,,,,,
217286325,Pod Kalichem,residential,True,False,101.397,"LINESTRING (13.5222477 49.2275488, 13.5221772 49.2276105, 13.5219314 49.227737, 13.5216607 49.2278578, 13.5216257 49.2278767, 13.5212119 49.2281005, 13.5211696 49.2281234)",,,,,,,
"[876509319, 261368423, 876509318, 738509327]",Dlouhoveská,secondary,False,True,132.93800000000002,"LINESTRING (13.5222477 49.2275488, 13.522364 49.227662, 13.522467 49.2277874, 13.5225389 49.2278987, 13.5225924 49.2280127, 13.5226399 49.2281839, 13.5226449 49.2282157, 13.5226526 49.2283663, 13.5226317 49.2285275, 13.522626 49.2285512, 13.5225822 49.2286826)",169,50,,"['2', '3']",,,
27279626,náměstí Svobody,residential,False,True,38.33,"LINESTRING (13.5199303 49.2304544, 13.5194529 49.2306015)",,,,2,,,
754359368,Mostní,residential,False,True,6.069,"LINESTRING (13.5199303 49.2304544, 13.519987 49.2304143)",,,,2,,,
