osmid,highway,oneway,reversed,length,geometry,ref,junction,name,bridge
"[43618668, 43618669]",residential,False,False,150.80900000000003,"LINESTRING (18.7196713 49.6335794, 18.7196238 49.6336251, 18.7195334 49.633812, 18.7193234 49.6340278, 18.7185795 49.6346042, 18.7184345 49.6345729)",,,,
53615340,tertiary,False,True,14.309000000000001,"LINESTRING (18.7196713 49.6335794, 18.7196487 49.6335559, 18.7196307 49.6335312, 18.7196218 49.6335098, 18.7196201 49.6334905, 18.7196237 49.6334584)",01144,,,
"[224785808, 224785809, 209514204]",tertiary,False,False,60.12700000000001,"LINESTRING (18.7196713 49.6335794, 18.7197137 49.6336126, 18.7197469 49.6336337, 18.7197832 49.6336528, 18.7198366 49.6336784, 18.7198863 49.6337076, 18.7199487 49.6337493, 18.7200035 49.6338052, 18.7200295 49.6338386, 18.7200555 49.6338797, 18.7200722 49.633915, 18.7200856 49.6339609, 18.7200902 49.6339884, 18.7200948 49.6340216)",01144,,,
"[43618666, 212410997]",residential,False,False,124.20100000000001,"LINESTRING (18.7191453 49.6355813, 18.7189179 49.6356671, 18.7182725 49.6360213, 18.7181188 49.6361276, 18.7179056 49.6362863, 18.7178569 49.636315)",,,,
"[224785808, 212410996]",tertiary,False,True,203.802,"LINESTRING (18.7191453 49.6355813, 18.7190964 49.6349005, 18.7191248 49.6347946, 18.7192178 49.6346614, 18.7193134 49.6345864, 18.7195375 49.6344878, 18.7198306 49.6343747, 18.7199565 49.6342775, 18.7200625 49.6341612, 18.7200901 49.6340944, 18.7200948 49.6340216)",01144,,,
"[212411133, 212413613]",tertiary,False,False,168.645,"LINESTRING (18.7191453 49.6355813, 18.7193954 49.6358679, 18.7196141 49.6360396, 18.719971 49.6362827, 18.7205745 49.636499, 18.720688 49.6365422, 18.7208074 49.6366015)",01144,,,
"[704484817, 203193123]",tertiary,False,False,182.169,"LINESTRING (18.7207461 49.636693, 18.7205636 49.6367704, 18.720273 49.636912, 18.7201484 49.6369736, 18.7199376 49.6370777, 18.7197883 49.6371494, 18.7196212 49.6372322, 18.7195023 49.6372908, 18.7187389 49.6376891)",01143,,,
510529178,tertiary,True,False,11.528,"LINESTRING (18.7207461 49.636693, 18.7207467 49.6366722, 18.7207534 49.636652, 18.7207662 49.636633, 18.7207844 49.6366159, 18.7208074 49.6366015)",,roundabout,,
29045649,tertiary,True,False,18.433999999999997,"LINESTRING (18.7208074 49.6366015, 18.7208343 49.6365903, 18.7208641 49.6365827, 18.7208956 49.636579, 18.7209276 49.6365793, 18.7209588 49.6365837, 18.7209882 49.6365919, 18.7210145 49.6366037, 18.7210368 49.6366186)",,roundabout,,
"[212411133, 212413613]",tertiary,False,True,168.64499999999998,"LINESTRING (18.7208074 49.6366015, 18.720688 49.6365422, 18.7205745 49.636499, 18.719971 49.6362827, 18.7196141 49.6360396, 18.7193954 49.6358679, 18.7191453 49.6355813)",01144,,,
