osmid,ref,name,highway,oneway,reversed,length,bridge,lanes,geometry,maxspeed
"[385009312, 604315558, 385009311]",36,Zámlýní,primary,False,False,346.54,yes,2,"LINESTRING (16.0970701 50.1009523, 16.0967751 50.1007045, 16.0965573 50.1004075, 16.0964771 50.1002723, 16.0963552 50.0999542, 16.0962601 50.0996533, 16.0962292 50.0994856, 16.0962252 50.0993247, 16.0962701 50.0991734, 16.0964036 50.0989739, 16.09668 50.098647, 16.0968662 50.0984816, 16.0970755 50.09827, 16.0972444 50.0981392)",
133610046,36,5. května,primary,False,True,76.956,,2,"LINESTRING (16.091298 50.09508, 16.0908661 50.0944458)",
68428046,,Nerudova,residential,False,True,151.554,,,"LINESTRING (16.091298 50.09508, 16.091509 50.0951227, 16.0916962 50.0952163, 16.0918865 50.0953661, 16.0920893 50.0955408, 16.0923046 50.0957873, 16.0923576 50.0958717, 16.092523 50.0961353)",
133610046,36,5. května,primary,False,False,151.10399999999998,,2,"LINESTRING (16.091298 50.09508, 16.0914203 50.0954679, 16.0915251 50.0958971, 16.0916449 50.0964202)",
24484018,,Purkyňova,residential,False,False,148.922,,,"LINESTRING (16.0885798 50.1009588, 16.0900623 50.1019019)",
292392789,305,Havlíčkova,secondary,False,False,77.049,,,"LINESTRING (16.0885798 50.1009588, 16.0878969 50.1014957)",
292392789,305,Havlíčkova,secondary,False,True,64.341,,,"LINESTRING (16.0885798 50.1009588, 16.0891592 50.1005153)",
292392455,36,Nádražní,primary,False,False,56.056,,,"LINESTRING (16.0917958 50.0968801, 16.0924623 50.0971472)",
24484006,3055,Nádražní,tertiary,False,False,29.012999999999998,,,"LINESTRING (16.0917958 50.0968801, 16.0917492 50.0968614, 16.0914512 50.0967415)",
133610046,36,5. května,primary,False,True,29.150999999999996,,2,"LINESTRING (16.0917958 50.0968801, 16.0917351 50.0967408, 16.0916938 50.0966263)",
"[9586625, 916156730, 363387212, 363387213]",36,Rudé armády,primary,False,False,229.027,yes,,"LINESTRING (16.0972444 50.0981392, 16.0970814 50.0980286, 16.0967641 50.0978363, 16.0966226 50.0977623, 16.0964397 50.0976954, 16.0961682 50.0976906, 16.0958759 50.097702, 16.0955472 50.0977153, 16.0952898 50.097714, 16.09433 50.0975513)",
"[385009312, 604315558, 385009311]",36,Zámlýní,primary,False,True,346.5399999999999,yes,2,"LINESTRING (16.0972444 50.0981392, 16.0970755 50.09827, 16.0968662 50.0984816, 16.09668 50.098647, 16.0964036 50.0989739, 16.0962701 50.0991734, 16.0962252 50.0993247, 16.0962292 50.0994856, 16.0962601 50.0996533, 16.0963552 50.0999542, 16.0964771 50.1002723, 16.0965573 50.1004075, 16.0967751 50.1007045, 16.0970701 50.1009523)",
366654163,,Náměstí,residential,False,True,16.02,,,"LINESTRING (16.0928394 50.0974551, 16.0929315 50.0973237)",
24484015,,Družstevní,residential,False,True,69.566,,,"LINESTRING (16.0928394 50.0974551, 16.0927686 50.097458, 16.0926333 50.0974622, 16.0925761 50.0974786, 16.092386 50.0975563, 16.092156 50.0976941, 16.0920929 50.0977144, 16.0920182 50.0977526)",
