osmid,highway,oneway,reversed,length,geometry,name,ref,maxspeed,lanes,junction,bridge
36891700,residential,False,True,61.238,"LINESTRING (17.5838755 49.3301909, 17.5837563 49.3301358, 17.5837247 49.3301078, 17.5836132 49.3300106, 17.5835708 49.3299733, 17.583538 49.3299449, 17.5834106 49.3298335, 17.5833173 49.3297839)",,,,,,
"[59397930, 335734118]",residential,False,False,98.289,"LINESTRING (17.5838755 49.3301909, 17.5839562 49.3302448, 17.5846779 49.3308451, 17.5847211 49.3308815)",Tyršova,,,,,
78495133,tertiary,False,False,97.857,"LINESTRING (17.5838755 49.3301909, 17.5839491 49.3301561, 17.5845831 49.3298449, 17.5849097 49.3296285)",Masarykova,49013,50,,,
"[335734116, 25594462]",tertiary,False,True,332.056,"LINESTRING (17.5838755 49.3301909, 17.5829418 49.3306328, 17.5823269 49.3309191, 17.5821436 49.3310008, 17.5810461 49.3314776, 17.5809844 49.3315026, 17.5803355 49.3317655, 17.5802719 49.3317872, 17.5802168 49.3318003, 17.5801451 49.3318065, 17.5800537 49.3317992)",Masarykova,49013,50,,,
30631356,tertiary,False,False,136.248,"LINESTRING (17.5762629 49.3303579, 17.5762065 49.3304418, 17.5759413 49.3308364, 17.5759087 49.3308832, 17.5755855 49.3313423, 17.5755641 49.331414, 17.5755592 49.3314873)",Nerudova,43821,50,2,,
"[723492440, 1120687058, 113540234]",secondary,False,False,232.95,"LINESTRING (17.5762629 49.3303579, 17.576139 49.3303193, 17.5757455 49.3301991, 17.5755021 49.3301238, 17.5749627 49.329954, 17.5744233 49.3297783, 17.574116 49.3296747, 17.5738975 49.3295956, 17.5737372 49.3295343, 17.5736706 49.3295058, 17.5736185 49.3294799, 17.5735739 49.3294488, 17.5735396 49.3294168, 17.5735188 49.3293926, 17.573481 49.3293493)",Palackého,438,50,2,,
113540234,secondary,False,True,101.099,"LINESTRING (17.5762629 49.3303579, 17.5770131 49.330609, 17.577279 49.3307014, 17.5773989 49.3307386, 17.5775073 49.3307684)",Palackého,438,50,2,,
113540234,secondary,False,False,101.09899999999999,"LINESTRING (17.5775073 49.3307684, 17.5773989 49.3307386, 17.577279 49.3307014, 17.5770131 49.330609, 17.5762629 49.3303579)",Palackého,438,50,2,,
"[139426456, 113540234, 25594464]",secondary,False,True,196.65899999999996,"LINESTRING (17.5775073 49.3307684, 17.5777768 49.3308317, 17.5778715 49.3308683, 17.5779533 49.3309059, 17.5781614 49.3310116, 17.5782065 49.3310347, 17.5787123 49.3312929, 17.5788709 49.3313636, 17.5790251 49.3314216, 17.579315 49.3315109, 17.5795624 49.3315828, 17.5796462 49.331617, 17.5797012 49.3316476, 17.5797489 49.3316835, 17.5797762 49.331709)","['Palackého', 'nám. Dr. E. Beneše']",438,"['40', '50']",2,,
25594461,secondary,True,False,20.116999999999997,"LINESTRING (17.5797701 49.3318703, 17.5797415 49.3318467, 17.5797239 49.3318188, 17.5797186 49.3317888, 17.5797261 49.3317591, 17.5797458 49.3317318, 17.5797762 49.331709)",nám. Dr. E. Beneše,,50,,roundabout,
