osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge,maxspeed
4947163,10165,5. května,tertiary,False,False,198.62699999999998,"LINESTRING (14.7322473 50.0722537, 14.7322801 50.0722571, 14.7323318 50.0722592, 14.7324199 50.0722584, 14.7325521 50.0722557, 14.7330716 50.0722527, 14.7331837 50.072252, 14.7332905 50.0722542, 14.7334014 50.0722579, 14.7335368 50.0722641, 14.7348873 50.0723444, 14.7350228 50.0723532)",,,
"[554559425, 1260594763, 1260594764, 74663122, 74663128]",01214,"['Arnošta z Pardubic', 'Riegerova']",tertiary,False,False,407.03799999999995,"LINESTRING (14.7322473 50.0722537, 14.732225 50.0722681, 14.7322001 50.0722792, 14.7320362 50.0723417, 14.7318119 50.0724375, 14.7317695 50.0724601, 14.731731 50.0724843, 14.7316979 50.0725101, 14.7316674 50.0725367, 14.7316084 50.0725964, 14.7315185 50.0726927, 14.7314004 50.0728187, 14.7312739 50.0729535, 14.7311934 50.0730338, 14.731107 50.0731384, 14.7310863 50.0731654, 14.7310147 50.0732839, 14.7309646 50.0733666, 14.7308923 50.0734834, 14.7308081 50.0736059, 14.7307375 50.0737071, 14.7307006 50.0737467, 14.7306544 50.073776, 14.730603 50.073799, 14.7305527 50.0738115, 14.730478 50.0738164, 14.7304029 50.0738108, 14.7303462 50.0737991, 14.7294642 50.0735423, 14.729373 50.0735167, 14.7292035 50.0734668, 14.7289406 50.0733876, 14.7285636 50.0732768, 14.7284959 50.0732608, 14.7284393 50.0732501, 14.7283732 50.0732401, 14.7283168 50.0732346, 14.7282283 50.0732303, 14.7281626 50.0732294, 14.7280805 50.0732314)",2,yes,
"[224645650, 224645651, 27745925]",01214,Dvořákova,tertiary,False,True,165.33100000000002,"LINESTRING (14.7322473 50.0722537, 14.7322612 50.0722389, 14.7322786 50.072217, 14.7322943 50.0721899, 14.7323141 50.0721389, 14.7323349 50.0720704, 14.7325297 50.0712876, 14.7325598 50.0711512, 14.7325871 50.0710078, 14.7325986 50.070936, 14.7326132 50.0707897)",2,,"['40', '30']"
"[27745921, 876160394]",,Arnošta z Pardubic,living_street,False,False,61.447,"LINESTRING (14.7280805 50.0732314, 14.7280829 50.0731501, 14.7280832 50.0731396, 14.7280647 50.0730624, 14.7280251 50.0729891, 14.7279698 50.0729132, 14.7277448 50.0727455)",,,
"[554559425, 1260594763, 1260594764, 74663122, 74663128]",01214,"['Arnošta z Pardubic', 'Riegerova']",tertiary,False,True,407.03799999999995,"LINESTRING (14.7280805 50.0732314, 14.7281626 50.0732294, 14.7282283 50.0732303, 14.7283168 50.0732346, 14.7283732 50.0732401, 14.7284393 50.0732501, 14.7284959 50.0732608, 14.7285636 50.0732768, 14.7289406 50.0733876, 14.7292035 50.0734668, 14.729373 50.0735167, 14.7294642 50.0735423, 14.7303462 50.0737991, 14.7304029 50.0738108, 14.730478 50.0738164, 14.7305527 50.0738115, 14.730603 50.073799, 14.7306544 50.073776, 14.7307006 50.0737467, 14.7307375 50.0737071, 14.7308081 50.0736059, 14.7308923 50.0734834, 14.7309646 50.0733666, 14.7310147 50.0732839, 14.7310863 50.0731654, 14.731107 50.0731384, 14.7311934 50.0730338, 14.7312739 50.0729535, 14.7314004 50.0728187, 14.7315185 50.0726927, 14.7316084 50.0725964, 14.7316674 50.0725367, 14.7316979 50.0725101, 14.731731 50.0724843, 14.7317695 50.0724601, 14.7318119 50.0724375, 14.7320362 50.0723417, 14.7322001 50.0722792, 14.732225 50.0722681, 14.7322473 50.0722537)",2,yes,
74663129,01214,Husova,tertiary,False,False,7.804,"LINESTRING (14.7280805 50.0732314, 14.7279956 50.0732341, 14.7279713 50.0732351)",2,,
22774461,,Smetanova,residential,False,False,108.072,"LINESTRING (14.7251264 50.0732419, 14.725072 50.0733035, 14.7249261 50.0734427, 14.7247867 50.0735875, 14.7243579 50.0740788)",,,
74663129,01214,Husova,tertiary,False,True,203.20700000000002,"LINESTRING (14.7251264 50.0732419, 14.7254296 50.0732509, 14.7262849 50.0732693, 14.7265264 50.0732724, 14.7268057 50.0732722, 14.7270834 50.0732695, 14.7273606 50.0732604, 14.7277989 50.0732422, 14.7278397 50.0732405, 14.7279713 50.0732351)",2,,
"[908703272, 74663130, 293672630, 928883759]",01214,"['Pražská', 'Husova']",tertiary,False,False,66.211,"LINESTRING (14.7251264 50.0732419, 14.7249228 50.0732343, 14.7248398 50.0732311, 14.7247666 50.0732284, 14.7244764 50.0732176, 14.7243103 50.0732136, 14.7241999 50.0732116)",2,,50
"[908703272, 74663130, 293672630, 928883759]",01214,"['Pražská', 'Husova']",tertiary,False,True,66.211,"LINESTRING (14.7241999 50.0732116, 14.7243103 50.0732136, 14.7244764 50.0732176, 14.7247666 50.0732284, 14.7248398 50.0732311, 14.7249228 50.0732343, 14.7251264 50.0732419)",2,,50
4947163,10165,5. května,tertiary,False,True,198.627,"LINESTRING (14.7350228 50.0723532, 14.7348873 50.0723444, 14.7335368 50.0722641, 14.7334014 50.0722579, 14.7332905 50.0722542, 14.7331837 50.072252, 14.7330716 50.0722527, 14.7325521 50.0722557, 14.7324199 50.0722584, 14.7323318 50.0722592, 14.7322801 50.0722571, 14.7322473 50.0722537)",,,
297164668,,Arnoštova,residential,False,False,25.491999999999997,"LINESTRING (14.7350228 50.0723532, 14.7351085 50.0722807, 14.7352556 50.0721797)",,,
18195547,,Nerudova,residential,False,False,131.776,"LINESTRING (14.7235623 50.0709088, 14.7251616 50.0713472, 14.7252603 50.0713743)",,,
31767924,,Žižkova,residential,False,False,41.098,"LINESTRING (14.7235623 50.0709088, 14.7236876 50.0707209, 14.7237812 50.070567)",,,
31767924,,Žižkova,residential,False,True,41.098,"LINESTRING (14.7237812 50.070567, 14.7236876 50.0707209, 14.7235623 50.0709088)",,,
