osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,lanes,junction,access
184799135,Žamberecká,tertiary,False,False,98.898,"LINESTRING (16.290721 50.1176861, 16.292108 50.117677)",,,,,,
919902205,Tyršova,tertiary,False,False,133.768,"LINESTRING (16.290721 50.1176861, 16.2909539 50.1164924)",,,,,,
"[471206746, 919902215]",Žamberecká,residential,False,True,26.516,"LINESTRING (16.290721 50.1176861, 16.2906267 50.1176892, 16.290561 50.1176924, 16.2905168 50.1176937, 16.2903498 50.1177005)",,,,,,
29190943,Jiráskova,residential,False,False,57.864000000000004,"LINESTRING (16.2957717 50.1173463, 16.2960195 50.1171893, 16.2964151 50.1170348)",01114,,,,,
184799135,Žamberecká,tertiary,False,True,121.01700000000001,"LINESTRING (16.2957717 50.1173463, 16.2954764 50.1173622, 16.2947386 50.1174258, 16.29409 50.117491)",,,,,,
255641126,Náměstí Dr. Lützowa,tertiary,False,False,48.858000000000004,"LINESTRING (16.2957717 50.1173463, 16.2958801 50.1173692, 16.295978 50.1174078, 16.2963288 50.1175948)",,,,,,
32044393,Komenského,residential,False,False,186.16600000000003,"LINESTRING (16.2867676 50.1174198, 16.2869055 50.117374, 16.2882865 50.1170907, 16.2884927 50.1170532, 16.2885427 50.1172311, 16.2886447 50.1175512)",,,,,,
32044396,Vilímkova,residential,False,False,116.946,"LINESTRING (16.2867676 50.1174198, 16.2865686 50.1173629, 16.286205 50.1173288, 16.2859859 50.1173082, 16.2854117 50.1172544, 16.2851587 50.1172498)",,,,,,
"[78201738, 32044396]","['Vilímkova', 'Žamberecká']",residential,False,True,147.22,"LINESTRING (16.2867676 50.1174198, 16.2869979 50.1175076, 16.2876631 50.1176627, 16.2879404 50.1177286, 16.2882155 50.1177679, 16.2884665 50.1177686, 16.2886117 50.1177621, 16.2887264 50.1177575)",,,,,,
305371453,Vilímkova,residential,False,True,40.357,"LINESTRING (16.2867676 50.1174198, 16.2867614 50.1173349, 16.2867394 50.1171793, 16.2867381 50.1170576)",,,,,,
9587675,Žamberecká,residential,False,False,57.774,"LINESTRING (16.2895408 50.1177299, 16.2903498 50.1177005)",,,,,,
394136962,Žamberecká,residential,False,False,10.854,"LINESTRING (16.2895408 50.1177299, 16.2893888 50.1177352)",,,,,,
473043916,Pekelská,tertiary,False,True,66.441,"LINESTRING (16.2895408 50.1177299, 16.289634 50.1178458, 16.2897842 50.117938, 16.2902775 50.1180446)",3193,,,,,
9587087,Janáčkova,residential,False,False,19.556,"LINESTRING (16.2842362 50.1174029, 16.2843303 50.1175681)",,50,,,,
255641125,Dvořákova,residential,False,True,41.319,"LINESTRING (16.2842362 50.1174029, 16.2837321 50.1172196)",,,,,,
"[42612267, 32044395, 32044396]",Vilímkova,residential,False,True,68.77300000000001,"LINESTRING (16.2842362 50.1174029, 16.2843465 50.1173973, 16.284837 50.117272, 16.2849374 50.1172533, 16.2851587 50.1172498)",,,yes,,,
32044461,Struha,living_street,True,False,55.698,"LINESTRING (16.292108 50.117677, 16.2921042 50.1171761)",,20,,,,
184799135,Žamberecká,tertiary,False,False,20.642,"LINESTRING (16.292108 50.117677, 16.2923963 50.11766)",,,,,,
184799135,Žamberecká,tertiary,False,True,98.898,"LINESTRING (16.292108 50.117677, 16.290721 50.1176861)",,,,,,
"[42612267, 32044396, 32044395]",Vilímkova,residential,False,False,68.773,"LINESTRING (16.2851587 50.1172498, 16.2849374 50.1172533, 16.284837 50.117272, 16.2843465 50.1173973, 16.2842362 50.1174029)",,,yes,,,
32044396,Vilímkova,residential,False,True,116.946,"LINESTRING (16.2851587 50.1172498, 16.2854117 50.1172544, 16.2859859 50.1173082, 16.286205 50.1173288, 16.2865686 50.1173629, 16.2867676 50.1174198)",,,,,,
