osmid,ref,highway,maxspeed,oneway,reversed,length,geometry
190658396,1211,tertiary,50,False,True,12.415,"LINESTRING (13.9890441 49.4102219, 13.9889148 49.4101485)"
1175531213,1215,tertiary,50,False,False,33.998,"LINESTRING (13.9890441 49.4102219, 13.98951 49.4102618)"
190658398,1211,tertiary,,False,False,25.389,"LINESTRING (13.9890441 49.4102219, 13.9891451 49.4102934, 13.9892816 49.41039)"
1175531213,1215,tertiary,50,False,False,52.961,"LINESTRING (13.98951 49.4102618, 13.9902277 49.410168)"
1175531213,1215,tertiary,50,False,True,33.998,"LINESTRING (13.98951 49.4102618, 13.9890441 49.4102219)"
711355461,,residential,,False,True,21.823,"LINESTRING (13.98951 49.4102618, 13.9894184 49.4103132, 13.9892816 49.41039)"
28490011,1213,tertiary,90,False,True,40.845,"LINESTRING (13.9887312 49.4092925, 13.9883443 49.409025)"
231644525,1211,tertiary,,False,True,44.235,"LINESTRING (13.9887312 49.4092925, 13.9887263 49.4088947)"
"[190658396, 1175531214]",1211,tertiary,"['90', '50']",False,False,96.268,"LINESTRING (13.9887312 49.4092925, 13.9888315 49.4099215, 13.9889148 49.4101485)"
190658398,1211,tertiary,,False,False,37.229,"LINESTRING (13.9892816 49.41039, 13.9893038 49.4107245)"
190658398,1211,tertiary,,False,True,25.389,"LINESTRING (13.9892816 49.41039, 13.9891451 49.4102934, 13.9890441 49.4102219)"
711355461,,residential,,False,False,21.823,"LINESTRING (13.9892816 49.41039, 13.9894184 49.4103132, 13.98951 49.4102618)"
190658398,1211,tertiary,,False,True,37.229,"LINESTRING (13.9893038 49.4107245, 13.9892816 49.41039)"
190658398,1211,tertiary,,False,False,61.424,"LINESTRING (13.9893038 49.4107245, 13.9891762 49.4109027, 13.9889056 49.4112119)"
711355470,,residential,,False,False,91.494,"LINESTRING (13.9893038 49.4107245, 13.990079 49.4102996, 13.9901786 49.4102114, 13.9902277 49.410168)"
28490011,1213,tertiary,90,False,False,40.845,"LINESTRING (13.9883443 49.409025, 13.9887312 49.4092925)"
1175531215,,unclassified,,False,False,33.03,"LINESTRING (13.9883443 49.409025, 13.9885649 49.4090047, 13.9887263 49.4088947)"
190658396,1211,tertiary,50,False,False,12.415,"LINESTRING (13.9889148 49.4101485, 13.9890441 49.4102219)"
"[190658396, 1175531214]",1211,tertiary,"['90', '50']",False,True,96.268,"LINESTRING (13.9889148 49.4101485, 13.9888315 49.4099215, 13.9887312 49.4092925)"
479733484,,residential,,False,True,138.526,"LINESTRING (13.9889148 49.4101485, 13.9883496 49.4101555, 13.9883007 49.4104575, 13.9881358 49.4110217)"
190658398,1211,tertiary,,False,True,72.154,"LINESTRING (13.988328 49.4117409, 13.9889056 49.4112119)"
479733484,,residential,,False,False,23.263,"LINESTRING (13.988328 49.4117409, 13.9880727 49.4116137)"
1175531213,1215,tertiary,50,False,True,52.961,"LINESTRING (13.9902277 49.410168, 13.98951 49.4102618)"
711355470,,residential,,False,True,91.494,"LINESTRING (13.9902277 49.410168, 13.9901786 49.4102114, 13.990079 49.4102996, 13.9893038 49.4107245)"
711355471,,residential,,False,True,77.557,"LINESTRING (13.9874464 49.4110064, 13.9872535 49.4116925)"
711355471,,residential,,False,False,77.557,"LINESTRING (13.9872535 49.4116925, 13.9874464 49.4110064)"
711355472,,residential,,False,False,8.093,"LINESTRING (13.9872535 49.4116925, 13.9871433 49.41168)"
711355472,,residential,,False,True,66.786,"LINESTRING (13.9872535 49.4116925, 13.9878327 49.4117585, 13.9878876 49.4117489, 13.9880727 49.4116137)"
711355472,,residential,,False,True,8.093,"LINESTRING (13.9871433 49.41168, 13.9872535 49.4116925)"
479733484,,residential,,False,True,23.263,"LINESTRING (13.9880727 49.4116137, 13.988328 49.4117409)"
479733484,,residential,,False,False,67.87100000000001,"LINESTRING (13.9880727 49.4116137, 13.9880157 49.4115508, 13.9880063 49.4114583, 13.9880653 49.4112628, 13.9881358 49.4110217)"
711355472,,residential,,False,False,66.786,"LINESTRING (13.9880727 49.4116137, 13.9878876 49.4117489, 13.9878327 49.4117585, 13.9872535 49.4116925)"
190658398,1211,tertiary,,False,False,72.154,"LINESTRING (13.9889056 49.4112119, 13.988328 49.4117409)"
190658398,1211,tertiary,,False,True,61.424,"LINESTRING (13.9889056 49.4112119, 13.9891762 49.4109027, 13.9893038 49.4107245)"
711355478,,residential,,False,True,59.619,"LINESTRING (13.9889056 49.4112119, 13.9884576 49.4110901, 13.9881358 49.4110217)"
479733484,,residential,,False,False,138.526,"LINESTRING (13.9881358 49.4110217, 13.9883007 49.4104575, 13.9883496 49.4101555, 13.9889148 49.4101485)"
479733484,,residential,,False,True,67.87100000000001,"LINESTRING (13.9881358 49.4110217, 13.9880653 49.4112628, 13.9880063 49.4114583, 13.9880157 49.4115508, 13.9880727 49.4116137)"
711355478,,residential,,False,False,59.619,"LINESTRING (13.9881358 49.4110217, 13.9884576 49.4110901, 13.9889056 49.4112119)"
231644525,1211,tertiary,,False,False,44.235,"LINESTRING (13.9887263 49.4088947, 13.9887312 49.4092925)"
1175531215,,unclassified,,False,True,33.03,"LINESTRING (13.9887263 49.4088947, 13.9885649 49.4090047, 13.9883443 49.409025)"
