osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,bridge,width
8908179,1,606;214,secondary,50,roundabout,True,False,11.253,"LINESTRING (12.3763553 50.0803774, 12.3763923 50.0804013, 12.3764189 50.0804305, 12.3764333 50.0804629)",,,
"[206650099, 23700573]",,,residential,,,False,False,244.21200000000002,"LINESTRING (12.3676511 50.083795, 12.3676005 50.083767, 12.3675701 50.0837446, 12.3675514 50.0837238, 12.3675274 50.0836919, 12.36751 50.0836557, 12.3674734 50.083552, 12.3673861 50.0832881, 12.3673679 50.0832476, 12.367345 50.0832085, 12.3673182 50.0831713, 12.3672856 50.0831389, 12.3672484 50.0831098, 12.3672025 50.0830798, 12.3671366 50.0830457, 12.3670331 50.0829965, 12.3669113 50.0829503, 12.3667102 50.0828808, 12.3664328 50.0828124, 12.3659682 50.0826128, 12.3657653 50.0825353, 12.3652824 50.0824167)",Koželužská,,
"[1074593555, 22749028]",,,tertiary,50,,False,True,77.99199999999999,"LINESTRING (12.3676511 50.083795, 12.3676819 50.0837643, 12.3677173 50.0837387, 12.3677641 50.0837118, 12.3681641 50.0835347, 12.3681978 50.08352, 12.3682539 50.083492, 12.3683048 50.083464, 12.3684825 50.0833465)",Havlíčkova,,
"[8487026, 560977446]",,,residential,,,False,False,235.86299999999997,"LINESTRING (12.3733632 50.0810792, 12.3734129 50.0807636, 12.3735413 50.0799488, 12.3736207 50.0794451, 12.3736867 50.0790259, 12.3736957 50.0789688)",Komenského,,
"[258490648, 258490676, 226085727]",,,tertiary,50,,False,True,245.173,"LINESTRING (12.3733632 50.0810792, 12.3720108 50.081627, 12.3716782 50.0816746, 12.3713404 50.0816975, 12.3709696 50.0817098, 12.3708275 50.0817128, 12.3706931 50.0817126, 12.3705474 50.0817111, 12.3701851 50.0817004)","['náměstí Baltazara Neumanna', 'Kasární náměstí', 'Smetanova']",,
816972118,2,,tertiary,50,,False,False,51.298,"LINESTRING (12.3733632 50.0810792, 12.3736 50.0809879, 12.3739784 50.0808405)",náměstí Baltazara Neumanna,,
560977445,,,residential,,,False,True,123.617,"LINESTRING (12.3736957 50.0789688, 12.3719642 50.0789337)",Sládkova,,
4992582,,,residential,,,False,False,80.39099999999999,"LINESTRING (12.3736957 50.0789688, 12.3742608 50.0789938, 12.3748204 50.0790098)",Sládkova,,
"[8487026, 560977446]",,,residential,,,False,True,235.863,"LINESTRING (12.3736957 50.0789688, 12.3736867 50.0790259, 12.3736207 50.0794451, 12.3735413 50.0799488, 12.3734129 50.0807636, 12.3733632 50.0810792)",Komenského,,
560977445,,,residential,,,False,False,123.617,"LINESTRING (12.3719642 50.0789337, 12.3736957 50.0789688)",Sládkova,,
5006481,,,residential,,,True,False,200.072,"LINESTRING (12.3719642 50.0789337, 12.371959 50.0791537, 12.3719568 50.0792439, 12.3719283 50.0793401, 12.3719027 50.0794263, 12.3718325 50.0795733, 12.3718003 50.0796354, 12.3715828 50.0800555, 12.3714952 50.0802246, 12.371448 50.080265, 12.37138 50.0802996, 12.3712603 50.0803547, 12.3711653 50.0803985, 12.3711076 50.0804338, 12.3710634 50.0804845, 12.3710307 50.0805599)",Školní,,
"[5212056, 23687000]",,,residential,50,,False,False,114.061,"LINESTRING (12.3719642 50.0789337, 12.371916 50.0783756, 12.3719257 50.078196, 12.371934 50.078152, 12.3719634 50.0781185, 12.3721614 50.0781063, 12.3722551 50.0780587)","['Svatopluka Čecha', 'Školní']",,
8908179,1,606;214,secondary,50,roundabout,True,False,7.5169999999999995,"LINESTRING (12.3763787 50.0805755, 12.3763491 50.0805921, 12.3763152 50.080605, 12.3762921 50.0806135)",,,
8908179,1,606;214,secondary,50,roundabout,True,False,13.368000000000002,"LINESTRING (12.3762921 50.0806135, 12.3762313 50.080619, 12.3761742 50.0806157, 12.3761212 50.0806018, 12.3761125 50.0805971)",,,
1103588298,2,214,secondary,50,,True,False,25.588,"LINESTRING (12.3762921 50.0806135, 12.3762576 50.0806578, 12.3762117 50.0807224, 12.3761429 50.0808227)",Ašská,,
4985018,4,2148,tertiary,,,False,False,67.95899999999999,"LINESTRING (12.3757228 50.0776783, 12.3759886 50.0776463, 12.3764483 50.0775911, 12.3765486 50.0775791, 12.3766589 50.0775659)",Pivovarská,,
4991210,4,,tertiary,50,,False,True,66.669,"LINESTRING (12.3757228 50.0776783, 12.3749484 50.0778071, 12.3748184 50.0778287)",Pivovarská,,
151572554,4,606,secondary,50,,False,True,87.956,"LINESTRING (12.3757228 50.0776783, 12.3756906 50.0775186, 12.3756851 50.077492, 12.3755615 50.0768941)",Evropská,,
"[5000723, 1074411967]","['1', '2']",606,secondary,50,,True,False,304.677,"LINESTRING (12.3757228 50.0776783, 12.375786 50.0777978, 12.3760516 50.0790999, 12.3761257 50.0794454, 12.3761593 50.0795713, 12.3761944 50.0796863, 12.376222 50.0797757, 12.3762402 50.0798358, 12.3762603 50.0799281, 12.3762716 50.0800157, 12.3762853 50.0802611, 12.3762881 50.0802881, 12.3762972 50.0803154, 12.3763048 50.0803303, 12.3763223 50.0803497, 12.3763553 50.0803774)",Evropská,,
"[22749030, 22749031, 4986901, 1179833372, 1179833373]","['2', '3']",214,secondary,50,,False,False,297.956,"LINESTRING (12.3734824 50.0832892, 12.3735876 50.0832274, 12.3737536 50.0831202, 12.3738551 50.0830529, 12.3739639 50.0829777, 12.3744495 50.0826436, 12.3746347 50.0825125, 12.3748087 50.0823864, 12.3749647 50.0822624, 12.3750925 50.0821543, 12.3751983 50.0820512, 12.3753299 50.0819134, 12.375417 50.0818181, 12.3754824 50.0817407, 12.3755338 50.0816722, 12.3756245 50.0815462, 12.3756944 50.0814356, 12.3757523 50.0813475, 12.3758833 50.0811334)",Ašská,yes,
816972119,,,residential,30,,True,False,29.468,"LINESTRING (12.3692782 50.0815343, 12.3693352 50.0816604, 12.369356 50.0816843, 12.3693813 50.0817089, 12.3694521 50.0817709)",Kamenná,,
816972120,,,residential,30,,True,False,41.951,"LINESTRING (12.3692895 50.0811571, 12.3692782 50.0815343)",Kamenná,,
