osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,width,junction
4368988,Tovární,residential,False,False,225.229,"LINESTRING (16.6037288 49.0901981, 16.6038825 49.0902409, 16.6040307 49.0902821, 16.6046543 49.0906446, 16.6047192 49.0906861, 16.6050012 49.0908805, 16.6050897 49.0909399, 16.6051818 49.0910363, 16.6052862 49.0911474, 16.6059845 49.0915511)",,,,,
"[1097467758, 23947086]",Masarykova,secondary,False,False,97.203,"LINESTRING (16.6037288 49.0901981, 16.6039892 49.0897498, 16.6040613 49.0896064, 16.604093 49.0895343, 16.6041216 49.0894625, 16.604154 49.0893706)",2,425,50,,
23947086,Masarykova,secondary,False,True,166.26,"LINESTRING (16.6037288 49.0901981, 16.6034718 49.0905748, 16.6034153 49.0906575, 16.603147 49.0911156, 16.6029588 49.0914971, 16.6029126 49.0915929)",2,425,50,,
"[1097467756, 60729773]",Štefánikova,tertiary,False,True,90.854,"LINESTRING (16.6040633 49.0892928, 16.6039885 49.08929, 16.6037932 49.0892763, 16.6035926 49.0892542, 16.6033396 49.0892215, 16.6028343 49.0891563)",2,41617,50,6.8,
1066790863,Masarykova,secondary,True,False,14.690999999999997,"LINESTRING (16.6040633 49.0892928, 16.6040645 49.08929, 16.6040674 49.0892844, 16.6040732 49.0892759, 16.6040797 49.0892684, 16.604086 49.0892623, 16.6040935 49.0892561, 16.6040995 49.0892518, 16.6041118 49.0892446, 16.6041211 49.0892398, 16.6041297 49.0892359, 16.6041382 49.0892323, 16.6041474 49.0892293, 16.604161 49.0892255, 16.6041724 49.0892232, 16.604182 49.0892217, 16.6041911 49.0892208, 16.604204 49.08922, 16.6042147 49.0892204)",1,425,50,,roundabout
60729787,Palackého,residential,False,False,137.776,"LINESTRING (16.605564 49.0892467, 16.6055624 49.0891646, 16.605535 49.0882178, 16.6055729 49.0880093)",,,,,
1097467757,Městečko,tertiary,False,False,88.173,"LINESTRING (16.605564 49.0892467, 16.6056583 49.0892363, 16.6067358 49.089048)",2,41617,50,,
"[1097467757, 60729781]",Městečko,tertiary,False,True,92.37800000000001,"LINESTRING (16.605564 49.0892467, 16.6052128 49.0892879, 16.6049253 49.0892949, 16.6046389 49.0892975, 16.6045245 49.0892961, 16.6044102 49.0892925, 16.6043017 49.0892871)",2,41617,50,,
8462889,Komenského,residential,False,False,83.13799999999999,"LINESTRING (16.6058122 49.0872735, 16.6058774 49.0871506, 16.6060914 49.0869734, 16.6062627 49.086873, 16.606488 49.0868105, 16.6066073 49.0868313)",,,,,
60729787,Palackého,residential,False,False,157.037,"LINESTRING (16.6058122 49.0872735, 16.6058051 49.0869651, 16.6060191 49.0858702)",,,,,
60729787,Palackého,residential,False,True,83.934,"LINESTRING (16.6058122 49.0872735, 16.6056795 49.0878138, 16.6055729 49.0880093)",,,,,
8462889,Komenského,residential,False,False,276.184,"LINESTRING (16.6066073 49.0868313, 16.6074226 49.087056, 16.6074726 49.0871098, 16.6073346 49.0875079, 16.6073357 49.0876559, 16.607826 49.0888547, 16.6078435 49.0888974)",,,,,
8462889,Komenského,residential,False,True,83.13799999999999,"LINESTRING (16.6066073 49.0868313, 16.606488 49.0868105, 16.6062627 49.086873, 16.6060914 49.0869734, 16.6058774 49.0871506, 16.6058122 49.0872735)",,,,,
8462898,Městečko,residential,False,False,78.026,"LINESTRING (16.6067794 49.0892235, 16.6078399 49.0893238)",,,,5.6,
