osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,access,junction,lanes,bridge
32319590,Lidická,tertiary,False,False,74.71600000000001,"LINESTRING (18.6655327 49.6784675, 18.665802 49.6781913, 18.6660899 49.6779005)",,,,,,
509640484,Frýdecká,secondary,False,False,91.506,"LINESTRING (18.6655327 49.6784675, 18.665641 49.6786767, 18.6656808 49.6787659, 18.6657745 49.678976, 18.6658711 49.67926)",476,50,,,,
9622895,1. máje,secondary,False,True,63.617000000000004,"LINESTRING (18.6677477 49.681113, 18.6676213 49.6811105, 18.6671418 49.6810956, 18.667078 49.6810936, 18.6669995 49.6810924, 18.6668642 49.6810915)",468,50,,,,
510265128,1. máje,secondary,False,False,30.821,"LINESTRING (18.6677477 49.681113, 18.6679827 49.6811017, 18.6681709 49.6810748)",468,50,,,,
32321019,Jablunkovská,secondary,False,False,215.77499999999998,"LINESTRING (18.6709165 49.6777696, 18.6711141 49.6777167, 18.6713385 49.6776757, 18.6723575 49.6775155, 18.6725645 49.6774732, 18.6727686 49.6774158, 18.6729788 49.6773146, 18.6731384 49.6772136, 18.6734786 49.676911)",468,50,,,,
32884596,Husova,residential,False,False,259.171,"LINESTRING (18.6709165 49.6777696, 18.6708899 49.6776057, 18.6711577 49.6773711, 18.6713284 49.6772177, 18.6714908 49.6770463, 18.6720061 49.6756)",,,,,,
298405714,1. máje,secondary,False,True,91.222,"LINESTRING (18.6709165 49.6777696, 18.6708079 49.6778331, 18.6707147 49.6779205, 18.6703962 49.6784207, 18.6703521 49.6784938)",468,50,,,,
41790141,Závodní,tertiary,False,True,36.111000000000004,"LINESTRING (18.6681709 49.6810748, 18.6681656 49.6812135, 18.6681489 49.6813992)",,50,,,,
510265096,1. máje,secondary,False,False,27.454,"LINESTRING (18.6681709 49.6810748, 18.6683219 49.6810447, 18.668516 49.6809729)",468,50,,,,
510265128,1. máje,secondary,False,True,30.821,"LINESTRING (18.6681709 49.6810748, 18.6679827 49.6811017, 18.6677477 49.681113)",468,50,,,,
32321019,Jablunkovská,secondary,False,True,215.775,"LINESTRING (18.6734786 49.676911, 18.6731384 49.6772136, 18.6729788 49.6773146, 18.6727686 49.6774158, 18.6725645 49.6774732, 18.6723575 49.6775155, 18.6713385 49.6776757, 18.6711141 49.6777167, 18.6709165 49.6777696)",468,50,,,,
36838126,,residential,False,False,43.908,"LINESTRING (18.6734786 49.676911, 18.6738053 49.6770535, 18.6739843 49.677132)",,,,,,
"[41863928, 41863930]",,residential,False,False,39.852000000000004,"LINESTRING (18.6734786 49.676911, 18.6733423 49.6768536, 18.6735671 49.6766464)",,,,,,
298405713,Jablunkovská,secondary,False,False,92.706,"LINESTRING (18.6734786 49.676911, 18.67361 49.6767817, 18.674199 49.6762198)",468,50,,,,
298405714,1. máje,secondary,False,False,10.756,"LINESTRING (18.6702977 49.6785839, 18.6703521 49.6784938)",468,50,,,,
298405714,1. máje,secondary,False,True,83.602,"LINESTRING (18.6702977 49.6785839, 18.6698686 49.6792826)",468,50,,,,
"[32321465, 47059724]","['Smetanova', 'Třanovského']",residential,False,True,187.363,"LINESTRING (18.6702977 49.6785839, 18.6689169 49.6783175, 18.6694068 49.6779027, 18.6696157 49.6777159)",,,,,,
32882677,Mánesova,residential,False,False,13.008,"LINESTRING (18.674199 49.6762198, 18.6740545 49.6761495)",,,,,,
298405713,Jablunkovská,secondary,False,True,92.706,"LINESTRING (18.674199 49.6762198, 18.67361 49.6767817, 18.6734786 49.676911)",468,50,,,,
298405714,1. máje,secondary,False,False,83.602,"LINESTRING (18.6698686 49.6792826, 18.6702977 49.6785839)",468,50,,,,
"[389191209, 32318674]","['Železniční', 'Dvořákova']",residential,False,False,135.822,"LINESTRING (18.6698686 49.6792826, 18.6704251 49.6794523, 18.6711928 49.6796968, 18.670972 49.6799256)",,,,,,
32320539,Dvořákova,residential,False,True,81.02,"LINESTRING (18.6698686 49.6792826, 18.6696956 49.6792279, 18.6688407 49.6789853)",,,,,,
265386790,1. máje,secondary,False,True,142.756,"LINESTRING (18.6698686 49.6792826, 18.6692006 49.6801289, 18.6689651 49.6804256)",468,50,,,,
32298242,nám. Míru,residential,True,False,60.829,"LINESTRING (18.6688407 49.6789853, 18.6684898 49.679483)",,,,,,
32320539,Dvořákova,residential,False,False,81.02,"LINESTRING (18.6688407 49.6789853, 18.6696956 49.6792279, 18.6698686 49.6792826)",,,,,,
32318676,nám. Míru,residential,True,False,134.489,"LINESTRING (18.6684898 49.679483, 18.6677429 49.6792321, 18.6676674 49.6792138, 18.6675579 49.6792009, 18.6674725 49.6791815, 18.6668223 49.6789459)",,,,,,
41443127,Poštovní,residential,True,False,85.013,"LINESTRING (18.6684898 49.679483, 18.6684625 49.6795193, 18.6684031 49.6796066, 18.668012 49.6801822)",,,delivery,,,
32319588,nám. Míru,residential,False,False,60.883,"LINESTRING (18.6668223 49.6789459, 18.6671936 49.6784539)",,,,,,
"[41443132, 41443135]",Havlíčkova,residential,False,"[False, True]",35.403,"LINESTRING (18.6668223 49.6789459, 18.6666837 49.6791065, 18.6665792 49.6792227)",,,,,,
32319588,nám. Míru,residential,False,True,60.883,"LINESTRING (18.6671936 49.6784539, 18.6668223 49.6789459)",,,,,,
32318677,nám. Míru,residential,True,False,133.611,"LINESTRING (18.6671936 49.6784539, 18.6677182 49.6786278, 18.6678241 49.6786502, 18.6679752 49.6786725, 18.6680938 49.6787089, 18.668779 49.6789322, 18.6688407 49.6789853)",,,,,,
41443139,Revoluční,residential,False,False,129.385,"LINESTRING (18.6671936 49.6784539, 18.6672809 49.6783378, 18.6673031 49.6783118, 18.6676411 49.6778621, 18.6680278 49.6774238)",,,,,,
499423801,Poštovní,residential,False,False,99.661,"LINESTRING (18.668012 49.6801822, 18.6674452 49.681)",,,,,,
"[32319323, 394170766]","['Staroměstská', 'Havlíčkova']",residential,True,False,168.24699999999999,"LINESTRING (18.668012 49.6801822, 18.6673801 49.6800165, 18.6668037 49.6798663, 18.6667553 49.6798403, 18.6666449 49.6793656, 18.6665792 49.6792227)",,,delivery,,,
32321203,Havlíčkova,residential,False,False,51.121,"LINESTRING (18.6665792 49.6792227, 18.6663013 49.6792359, 18.6659725 49.6792527, 18.6658711 49.67926)",,,,,,
"[41443132, 41443135]",Havlíčkova,residential,False,"[False, True]",35.403,"LINESTRING (18.6665792 49.6792227, 18.6666837 49.6791065, 18.6668223 49.6789459)",,,,,,
32321203,Havlíčkova,residential,False,True,51.121,"LINESTRING (18.6658711 49.67926, 18.6659725 49.6792527, 18.6663013 49.6792359, 18.6665792 49.6792227)",,,,,,
"[509640484, 509640485]",Frýdecká,secondary,False,False,188.959,"LINESTRING (18.6658711 49.67926, 18.6659542 49.6796037, 18.665984 49.6799267, 18.666042 49.680581, 18.6660871 49.6807802, 18.6661332 49.6809271, 18.6661449 49.680947)",476,50,,,,
509640484,Frýdecká,secondary,False,True,91.506,"LINESTRING (18.6658711 49.67926, 18.6657745 49.678976, 18.6656808 49.6787659, 18.665641 49.6786767, 18.6655327 49.6784675)",476,50,,,,
32321267,Revoluční,residential,False,True,167.389,"LINESTRING (18.6691166 49.6760935, 18.6686034 49.6767206, 18.6680278 49.6774238)",,,,,,
"[687766419, 47376254]",Lidická,tertiary,True,False,90.932,"LINESTRING (18.6668257 49.677236, 18.6667332 49.6773275, 18.6666258 49.6774337, 18.6660899 49.6779005)",,,,,,
510258735,,tertiary,True,False,11.504999999999999,"LINESTRING (18.6668257 49.677236, 18.666785 49.6772262, 18.6667549 49.6772152, 18.666727 49.6771948, 18.6667079 49.6771722)",,,,roundabout,,
510258737,,tertiary,True,False,21.754,"LINESTRING (18.6667079 49.6771722, 18.6667021 49.6771461, 18.6667017 49.6771199, 18.6667091 49.6771033, 18.6667219 49.6770867, 18.6667455 49.677068, 18.6667798 49.6770516, 18.6668132 49.6770425, 18.6668626 49.6770403)",,,,roundabout,,
47376194,Lidická,tertiary,True,False,63.16,"LINESTRING (18.6668626 49.6770403, 18.6670089 49.6769195, 18.6671201 49.676812, 18.6673973 49.6765903)",,,,,,
510258736,,tertiary,True,False,11.106,"LINESTRING (18.6668626 49.6770403, 18.6669018 49.6770468, 18.6669249 49.6770531, 18.6669445 49.6770605, 18.6669703 49.6770768, 18.6669867 49.6770931)",,,,roundabout,,
32319591,,tertiary,True,False,9.915000000000001,"LINESTRING (18.6669867 49.6770931, 18.6669987 49.6771122, 18.6670036 49.6771314, 18.6670029 49.6771568, 18.6669906 49.6771791)",,,,roundabout,,
32319591,,tertiary,True,False,14.419999999999998,"LINESTRING (18.6669906 49.6771791, 18.6669734 49.6771976, 18.6669492 49.6772145, 18.666926 49.6772245, 18.6668887 49.6772344, 18.6668595 49.6772367, 18.6668257 49.677236)",,,,roundabout,,
"[32319592, 298405710]",,residential,False,True,79.616,"LINESTRING (18.6669906 49.6771791, 18.6671768 49.6772108, 18.6673618 49.6772423, 18.6680278 49.6774238)",,,,,,
