osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,access,bridge
9623495,478,Datyňská,secondary,False,False,187.61,"LINESTRING (18.3124618 49.769319, 18.3128746 49.7693153, 18.315073 49.7692708)",,,,
9623495,478,Datyňská,secondary,False,True,71.943,"LINESTRING (18.3124618 49.769319, 18.3119733 49.7693203, 18.3114601 49.7693245)",,,,
36935584,,Husova,residential,False,False,98.332,"LINESTRING (18.3124618 49.769319, 18.3124441 49.7696799, 18.3123284 49.770118, 18.3123079 49.7701957)",,,,
9623495,478,Datyňská,secondary,False,False,88.696,"LINESTRING (18.3102344 49.7693849, 18.3104766 49.7693436, 18.3107164 49.7693295, 18.3114601 49.7693245)",,,,
65616953,,Výletní,residential,False,True,263.778,"LINESTRING (18.3102344 49.7693849, 18.3101365 49.7693759, 18.3100466 49.7693618, 18.3099713 49.7693362, 18.3099067 49.7693089, 18.3098088 49.7692595, 18.3097329 49.7692152, 18.309546 49.7690655, 18.3092084 49.7687366, 18.3086444 49.768222, 18.3081275 49.767517)",,,,
80524327,,Frýdecká,secondary,False,True,150.697,"LINESTRING (18.3102344 49.7693849, 18.3100875 49.7696205, 18.309983 49.7697491, 18.3099728 49.7697616, 18.3099108 49.769838, 18.309832 49.7699024, 18.3096758 49.77003, 18.3096594 49.7700406, 18.3094984 49.7701451, 18.3092856 49.7702813, 18.3091897 49.7703456, 18.309004 49.77046)",2,50,,
253593396,477,Frýdecká,secondary,False,True,162.41000000000003,"LINESTRING (18.3102344 49.7693849, 18.3106115 49.7688185, 18.3107664 49.7685455, 18.3110255 49.7680889, 18.3110612 49.768026)",2,50,,
36935590,,Pod Kovárnou,residential,False,False,218.166,"LINESTRING (18.3110612 49.768026, 18.3081275 49.767517)",,,,
253593396,477,Frýdecká,secondary,False,False,162.41,"LINESTRING (18.3110612 49.768026, 18.3110255 49.7680889, 18.3107664 49.7685455, 18.3106115 49.7688185, 18.3102344 49.7693849)",2,50,,
253593396,477,Frýdecká,secondary,False,True,69.161,"LINESTRING (18.3110612 49.768026, 18.3112033 49.7678068, 18.3113718 49.7675469, 18.3114332 49.7674523)",2,50,,
