osmid,oneway,name,highway,reversed,length,geometry,maxspeed,bridge,lanes,access,ref,junction
47854285,True,Chelčického,residential,False,38.947,"LINESTRING (15.3506394 50.4364353, 15.3501443 50.4363753, 15.3500986 50.4363724)",,,,,,
291235792,False,,unclassified,False,6.65,"LINESTRING (15.3526629 50.4372436, 15.3525956 50.4372019)",,,,,,
47854289,True,Čelakovského,residential,False,73.206,"LINESTRING (15.3526629 50.4372436, 15.3526707 50.4374012, 15.3526297 50.4379012)",,,,,,
"[30955632, 5197699, 34067862]",True,"['Smiřických', 'Školní', 'Lindnerova']",residential,False,302.539,"LINESTRING (15.351902 50.4349362, 15.3518934 50.4350271, 15.3518651 50.4351808, 15.3518407 50.4353146, 15.3518214 50.435434, 15.3517471 50.4358927, 15.351743 50.4359032, 15.3517331 50.4359122, 15.3517194 50.4359159, 15.3517012 50.4359169, 15.3507448 50.4358496, 15.3506033 50.4358384, 15.3505735 50.4358337, 15.350558 50.4358303, 15.3505461 50.4358255, 15.3505375 50.4358173, 15.3505304 50.4358006, 15.3505304 50.4357828, 15.3506462 50.4351007, 15.3506674 50.4348586)",,,,,,
"[435125587, 657269590]",False,17. listopadu,tertiary,False,87.925,"LINESTRING (15.351902 50.4349362, 15.351797 50.4349289, 15.3511971 50.4348837, 15.3509093 50.4348632, 15.3507903 50.4348587, 15.3506674 50.4348586)",50,,,,,
"[32901920, 37994691, 37994687]",False,Pod Koželuhy,residential,False,138.42000000000002,"LINESTRING (15.351902 50.4349362, 15.3519139 50.434811, 15.3520579 50.4339805, 15.3520582 50.4339791, 15.3520801 50.4337796, 15.3520752 50.4336972)",,yes,,,,
"[657269600, 657269594]",False,17. listopadu,tertiary,True,102.923,"LINESTRING (15.351902 50.4349362, 15.3519927 50.4349426, 15.3527093 50.4349887, 15.3533475 50.4350312)",50,,,,,
"[29177417, 47854284]",True,Na Hrádku,residential,False,254.267,"LINESTRING (15.3487895 50.4353875, 15.3487293 50.4354161, 15.3487072 50.43543, 15.3486839 50.4354526, 15.3482511 50.4359811, 15.3482014 50.4360461, 15.3481549 50.436131, 15.3481319 50.4361969, 15.3481204 50.4362499, 15.3481214 50.4363002, 15.3481323 50.4363365, 15.3481709 50.4364253, 15.3482064 50.4364902, 15.3482472 50.4365444, 15.3482899 50.4365908, 15.3484136 50.4367131, 15.3486696 50.4369962, 15.3486729 50.437, 15.3490761 50.4373986)",,,,,,
"[30955633, 30955634]",False,"['Náměstí Svobody', 'Ruská']",residential,True,160.13600000000002,"LINESTRING (15.3487895 50.4353875, 15.3488468 50.4354587, 15.3488733 50.4354917, 15.3491326 50.4358849, 15.3491439 50.435899, 15.3491462 50.4359018, 15.3491553 50.4359117, 15.3491648 50.4359204, 15.3491871 50.4359297, 15.3492256 50.4359355, 15.3492839 50.4359371, 15.3494331 50.4359364, 15.3495087 50.4359417, 15.3496049 50.4359551, 15.3496964 50.4359786, 15.3497986 50.4360117, 15.3498915 50.4360538, 15.3499566 50.4360889, 15.3500058 50.4361249, 15.3500329 50.4361518, 15.3500437 50.4361629, 15.3500699 50.4362018, 15.3500846 50.4362407, 15.3500916 50.4362758, 15.3500986 50.4363724)",,,,,,
"[33423939, 657269507]",False,Ruská,tertiary,False,151.77599999999998,"LINESTRING (15.3487895 50.4353875, 15.3485666 50.4351336, 15.3483375 50.4348425, 15.3481327 50.4345637, 15.3479257 50.434279, 15.347886 50.434218, 15.3478722 50.4341897, 15.3478577 50.4341599)",40,,"['2', '3']",,,
"[657269513, 435125587]",False,17. listopadu,tertiary,True,147.32300000000004,"LINESTRING (15.3487895 50.4353875, 15.3489143 50.4353405, 15.3489929 50.4353117, 15.3490655 50.4352817, 15.3492673 50.4351936, 15.3493046 50.4351772, 15.3493465 50.4351596, 15.349403 50.4351378, 15.3495017 50.4351005, 15.3496435 50.4350532, 15.3497897 50.4350088, 15.3498164 50.4350007, 15.3500314 50.4349478, 15.3503342 50.4348855, 15.3504046 50.4348758, 15.3505162 50.4348646, 15.3505842 50.4348602, 15.3506674 50.4348586)",50,,2,,,
5197713,False,Na Tobolce,residential,False,27.158,"LINESTRING (15.3490761 50.4373986, 15.3489484 50.4374344, 15.3487254 50.4374974)",,,,,,
"[155305643, 432248517]",False,B. Němcové,residential,False,112.13400000000001,"LINESTRING (15.3490761 50.4373986, 15.3492169 50.4375475, 15.3495233 50.43785, 15.3496463 50.4379709, 15.3496585 50.4379825, 15.3497318 50.4380502, 15.3499004 50.438211, 15.3499364 50.438245)",30,,"['1', '2']",,,
30955626,True,Nerudova,residential,False,26.229,"LINESTRING (15.3499364 50.438245, 15.3499697 50.4382227, 15.3501915 50.438074)",,,,,,
191980116,False,Komenského náměstí,residential,False,27.500000000000004,"LINESTRING (15.3499364 50.438245, 15.3500352 50.4383183, 15.3501368 50.438392, 15.3501914 50.4384315)",,,1,,,
"[155305643, 432248517]",False,B. Němcové,residential,True,112.134,"LINESTRING (15.3499364 50.438245, 15.3499004 50.438211, 15.3497318 50.4380502, 15.3496585 50.4379825, 15.3496463 50.4379709, 15.3495233 50.43785, 15.3492169 50.4375475, 15.3490761 50.4373986)",30,,"['1', '2']",,,
"[356090689, 5197713, 356090691, 790390870]",False,Na Tobolce,residential,False,114.863,"LINESTRING (15.3487254 50.4374974, 15.3480813 50.4376786, 15.3479909 50.4377033, 15.3478126 50.4377572, 15.3477587 50.4377731, 15.347248 50.4379234)",40,yes,2,,,
5197713,False,Na Tobolce,residential,True,27.158,"LINESTRING (15.3487254 50.4374974, 15.3489484 50.4374344, 15.3490761 50.4373986)",,,,,,
34078039,False,B. Němcové,residential,False,143.32500000000002,"LINESTRING (15.3487254 50.4374974, 15.3487432 50.4375266, 15.3487538 50.4375546, 15.3488247 50.4377784, 15.3488285 50.4378526, 15.348818 50.437905, 15.3488008 50.4379612, 15.3487213 50.4381745, 15.3487072 50.4382066, 15.3486913 50.4382295, 15.3486726 50.4382488, 15.3486495 50.4382651, 15.3486306 50.438276, 15.348238 50.438471, 15.3480914 50.438553, 15.3480805 50.4385591, 15.3480508 50.4385785)",,,,,,
