osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,tunnel,width
31526926,Žákovská,residential,False,False,13.08,,,,"LINESTRING (18.4430802 49.7775223, 18.4430329 49.7774087)",,
9623541,Dlouhá třída,primary,True,False,151.013,2,11,50,"LINESTRING (18.4430802 49.7775223, 18.4428676 49.7775651, 18.4412691 49.7778862, 18.4410725 49.7779267)",,
31526926,Žákovská,residential,False,True,123.878,,,,"LINESTRING (18.4430802 49.7775223, 18.4431308 49.7776244, 18.4434828 49.7783346, 18.4436084 49.7784344, 18.4437629 49.7785217)",,
29547276,Dělnická,tertiary,False,True,13.827,,4746,50,"LINESTRING (18.4305294 49.7803919, 18.4304139 49.7802924)",,
1163648814,Dělnická,tertiary,False,False,135.21699999999998,4,4746,50,"LINESTRING (18.4305294 49.7803919, 18.4307424 49.7805581, 18.4307798 49.7805873, 18.4308567 49.7806473, 18.4315393 49.7811883, 18.4317211 49.7813335)",,
23703981,1. máje,residential,False,False,13.443,2,,,"LINESTRING (18.4410725 49.7779267, 18.4410187 49.7778109)",,
9623541,Dlouhá třída,primary,True,False,252.084,2,11,50,"LINESTRING (18.4410725 49.7779267, 18.4400597 49.778129, 18.4377186 49.7785967)",,
"[31479651, 673041239]",Matuškova,residential,False,False,296.81600000000003,,,,"LINESTRING (18.4410725 49.7779267, 18.4411209 49.7780868, 18.4411591 49.7782116, 18.4411897 49.7784541, 18.4411629 49.7786892, 18.4409342 49.7804558, 18.4409235 49.7805828)",,
31479647,Mladé Gardy,residential,False,True,13.151,,,,"LINESTRING (18.4377186 49.7785967, 18.4376343 49.7784917)",,
"[1162903914, 1162903915, 9623541]",Dlouhá třída,primary,True,False,299.25399999999996,2,11,50,"LINESTRING (18.4377186 49.7785967, 18.4374505 49.7786504, 18.436448 49.7788512, 18.4348562 49.77917, 18.4342609 49.7792873, 18.4339965 49.7793432, 18.4337443 49.7794058)",,
31479647,Mladé Gardy,residential,False,False,66.575,,,,"LINESTRING (18.4377186 49.7785967, 18.4377866 49.7787329, 18.438009 49.7791653)",,
"[551053805, 9623589]",,primary,True,False,255.591,"['2', '3']",11,50,"LINESTRING (18.4337443 49.7794058, 18.4335824 49.7794509, 18.4333334 49.779526, 18.433183 49.7795714, 18.4322698 49.7798467, 18.4321933 49.7798697, 18.4319752 49.7799369, 18.4309293 49.78026, 18.4308699 49.7802785, 18.4306869 49.7803354, 18.4305294 49.7803919)",,
31528455,Turgeněvova,residential,False,False,62.217,,,,"LINESTRING (18.4424381 49.7760778, 18.4425396 49.7760566, 18.4432625 49.7759056)",,
23703987,Radniční,residential,False,True,45.046,,,,"LINESTRING (18.4316059 49.7783837, 18.4312118 49.7780685)",,
"[292197193, 546658109, 546658110]",Široká,residential,False,False,183.381,,,,"LINESTRING (18.4316059 49.7783837, 18.4317037 49.7783344, 18.4317975 49.7782871, 18.4318673 49.7782674, 18.4324585 49.7783128, 18.4324758 49.7783039, 18.4333602 49.7778488, 18.4334003 49.7778282, 18.4335244 49.7777643, 18.4337405 49.7776531)",building_passage,
31514105,E. F. Buriana,residential,False,False,92.703,,,,"LINESTRING (18.4358494 49.7769439, 18.4359984 49.7770642, 18.4364276 49.7774108, 18.4365327 49.7773916, 18.4367791 49.7773467)",,
172913076,Lípová,residential,False,True,62.862,,,,"LINESTRING (18.4358494 49.7769439, 18.4357581 49.7768712, 18.4352978 49.7765049)",,
