osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,ref,access
352481531,2,U Dolní brány,secondary,50,False,True,17.902,"LINESTRING (16.3346937 50.5826693, 16.3349457 50.5826515)",,,
"[352481541, 29358181]",,V Kopečku,residential,,False,False,85.26400000000001,"LINESTRING (16.3346937 50.5826693, 16.3346566 50.5828011, 16.3345755 50.5830567, 16.3344278 50.5833314, 16.3343861 50.5834089)",,,
"[419199643, 303962507, 352481534]",2,"['U Dolní brány', 'Smetanova']",secondary,50,False,False,125.65899999999999,"LINESTRING (16.3346937 50.5826693, 16.3345083 50.5826612, 16.3344613 50.5826591, 16.3340863 50.5826393, 16.3339479 50.5826123, 16.333843 50.582566, 16.333735 50.582499, 16.333391 50.582078)",yes,,
352481640,,třída Masarykova,secondary,50,False,True,143.13400000000001,"LINESTRING (16.3260486 50.5895403, 16.3270878 50.5891172, 16.3277552 50.5888453)",,302,
29358145,2,třída Masarykova,secondary,50,False,False,58.205,"LINESTRING (16.3302052 50.5874192, 16.330181 50.5874503, 16.3300185 50.5876048, 16.3297146 50.5878384)",,302,
29358169,3,,residential,,False,False,30.046999999999997,"LINESTRING (16.3302052 50.5874192, 16.3302928 50.5873459, 16.3304626 50.587204)",,,
352481525,,Střelnická,secondary,50,False,True,74.428,"LINESTRING (16.3302052 50.5874192, 16.3302027 50.5873796, 16.3301812 50.5873493, 16.3301275 50.5873018, 16.329972 50.587215, 16.3297106 50.587053, 16.3294906 50.5869482)",,302,
953571877,,Vančurova,secondary,50,False,True,2.567,"LINESTRING (16.3292152 50.5831049, 16.3292411 50.5830887)",,302,
29358205,,Šalounova,secondary,50,False,False,114.997,"LINESTRING (16.3292152 50.5831049, 16.3291379 50.5832057, 16.3290707 50.5833463, 16.3290042 50.5835394, 16.3288551 50.5839287, 16.3288461 50.584033, 16.3288705 50.5841037)",,302,
29358222,,Jiráskova,residential,,False,False,69.015,"LINESTRING (16.3292152 50.5831049, 16.3286973 50.5830151, 16.3283363 50.5829726, 16.3282814 50.5829416)",,,
352481511,,Pod Strání,residential,,False,True,33.866,"LINESTRING (16.3288705 50.5841037, 16.3286936 50.5843868)",,,
29358205,,Šalounova,secondary,50,False,True,114.997,"LINESTRING (16.3288705 50.5841037, 16.3288461 50.584033, 16.3288551 50.5839287, 16.3290042 50.5835394, 16.3290707 50.5833463, 16.3291379 50.5832057, 16.3292152 50.5831049)",,302,
"[352481648, 357017172, 352481525, 29358206]",,"['Střelnická', 'Šalounova']",secondary,50,False,False,384.6380000000001,"LINESTRING (16.3288705 50.5841037, 16.3289637 50.5841782, 16.3294089 50.584348, 16.3295048 50.5843916, 16.3296061 50.5844396, 16.329732 50.584532, 16.3298349 50.5846316, 16.3298528 50.5846599, 16.3299139 50.5847563, 16.3299193 50.5847764, 16.3299419 50.5848614, 16.3299412 50.5850539, 16.3298856 50.5851769, 16.329808 50.585306, 16.3295144 50.585702, 16.3290038 50.586347, 16.3289793 50.5863895, 16.3289385 50.5864609, 16.3289231 50.5865376, 16.3289295 50.5865995, 16.3289532 50.5866554, 16.3289952 50.5867151, 16.3290506 50.5867633, 16.3292067 50.5868323, 16.3294906 50.5869482)",yes,302,
29358146,,Nad Potokem,residential,,False,True,182.95499999999998,"LINESTRING (16.3294906 50.5869482, 16.3293366 50.5869658, 16.3289453 50.586854, 16.3286375 50.5867473, 16.3284829 50.5867118, 16.3283923 50.5867082, 16.3283034 50.5867155, 16.328113 50.5867675, 16.3278008 50.5868539, 16.3275048 50.5869143, 16.3272527 50.5869439, 16.3270933 50.5868723)",,,
352481525,,Střelnická,secondary,50,False,False,74.428,"LINESTRING (16.3294906 50.5869482, 16.3297106 50.587053, 16.329972 50.587215, 16.3301275 50.5873018, 16.3301812 50.5873493, 16.3302027 50.5873796, 16.3302052 50.5874192)",,302,
"[352481648, 357017172, 352481525, 29358206]",,"['Střelnická', 'Šalounova']",secondary,50,False,True,384.638,"LINESTRING (16.3294906 50.5869482, 16.3292067 50.5868323, 16.3290506 50.5867633, 16.3289952 50.5867151, 16.3289532 50.5866554, 16.3289295 50.5865995, 16.3289231 50.5865376, 16.3289385 50.5864609, 16.3289793 50.5863895, 16.3290038 50.586347, 16.3295144 50.585702, 16.329808 50.585306, 16.3298856 50.5851769, 16.3299412 50.5850539, 16.3299419 50.5848614, 16.3299193 50.5847764, 16.3299139 50.5847563, 16.3298528 50.5846599, 16.3298349 50.5846316, 16.329732 50.584532, 16.3296061 50.5844396, 16.3295048 50.5843916, 16.3294089 50.584348, 16.3289637 50.5841782, 16.3288705 50.5841037)",yes,302,
953571877,,Vančurova,secondary,50,False,False,2.567,"LINESTRING (16.3292411 50.5830887, 16.3292152 50.5831049)",,302,
29358209,,Zahradní,residential,,False,False,249.16300000000004,"LINESTRING (16.3292411 50.5830887, 16.3299014 50.5821338, 16.3301801 50.5818319, 16.3302727 50.5817996, 16.3304472 50.5819248, 16.3307027 50.582157, 16.3308483 50.5824742)",,,
953571877,,Vančurova,secondary,50,False,True,133.53,"LINESTRING (16.3292411 50.5830887, 16.329649 50.5828836, 16.330052 50.582708, 16.3305601 50.5825282, 16.3308483 50.5824742)",,302,
29358201,2,U Dolní brány,secondary,50,False,False,19.16,"LINESTRING (16.335502 50.582541, 16.3352425 50.5825914)",,,
29358198,,Tyršova,residential,,True,False,122.92599999999999,"LINESTRING (16.335502 50.582541, 16.3357134 50.5827167, 16.3359792 50.5827686, 16.3360506 50.582819, 16.3362248 50.5830164, 16.3364067 50.5834137)",,,
"[1203474081, 42379810, 42379811, 371753149]",,Přadlácká,secondary,"['50', '30']",False,True,101.629,"LINESTRING (16.335502 50.582541, 16.3358554 50.5824705, 16.3363513 50.5823715, 16.33677 50.5822841, 16.3368721 50.582261)",yes,,
29358203,2,Vančurova,secondary,50,False,False,111.461,"LINESTRING (16.333391 50.582078, 16.3332735 50.5820767, 16.3328248 50.582189, 16.3324926 50.5822725, 16.3323076 50.5823015, 16.3321396 50.5823023, 16.3319903 50.582299, 16.3318767 50.5822986)",,302,
"[303962507, 419199643, 352481534]",2,"['Smetanova', 'U Dolní brány']",secondary,50,False,True,125.65899999999999,"LINESTRING (16.333391 50.582078, 16.333735 50.582499, 16.333843 50.582566, 16.3339479 50.5826123, 16.3340863 50.5826393, 16.3344613 50.5826591, 16.3345083 50.5826612, 16.3346937 50.5826693)",yes,,
29358201,2,U Dolní brány,secondary,50,False,True,21.995,"LINESTRING (16.3349457 50.5826515, 16.3352425 50.5825914)",,,
352481531,2,U Dolní brány,secondary,50,False,False,17.902,"LINESTRING (16.3349457 50.5826515, 16.3346937 50.5826693)",,,
