osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,lanes,tunnel,junction,access,width
26139033,nám. Komenského,residential,False,False,64.191,"LINESTRING (16.4216308 49.3489898, 16.4211507 49.3491556, 16.4210018 49.3492258, 16.420873 49.3492865)",,,,,,,
"[349826362, 141247452]","['náměstí Míru', 'nám. Komenského']",residential,False,True,86.507,"LINESTRING (16.4216308 49.3489898, 16.4217634 49.3489671, 16.4220709 49.3489296, 16.4222642 49.3489087, 16.4224604 49.3488949, 16.4226279 49.3489021, 16.4227394 49.3489232, 16.4228025 49.3489379)",30,,,,,,
222770249,Brněnská,residential,True,False,86.95500000000001,"LINESTRING (16.4216308 49.3489898, 16.4216328 49.3489325, 16.4216342 49.3488929, 16.4216748 49.3488258, 16.4218292 49.3486749, 16.4220138 49.3485366, 16.4220344 49.3485192, 16.4222455 49.3483394)",30,,,,,,
22940739,Dvořákova,secondary,False,False,86.66300000000001,"LINESTRING (16.4265218 49.3446497, 16.4265896 49.3446867, 16.4266147 49.3447028, 16.4266404 49.3447193, 16.4266849 49.3447541, 16.4267315 49.344795, 16.4267836 49.3448477, 16.426837 49.3449095, 16.426879 49.3449667, 16.4271033 49.3453197)",50,377,,,,,
28826730,Brněnská,residential,False,False,200.958,"LINESTRING (16.4265218 49.3446497, 16.4261869 49.3448277, 16.4257884 49.3450246, 16.425375 49.3452715, 16.4253352 49.3452973, 16.4245541 49.345804, 16.4244836 49.3458692)",30,,,,,,
122522933,U Humpolky,secondary,False,False,256.103,"LINESTRING (16.4265218 49.3446497, 16.4262938 49.3445967, 16.4261381 49.3445469, 16.4260559 49.3445265, 16.425919 49.3444962, 16.4257625 49.344466, 16.425619 49.3444406, 16.4254991 49.3444229, 16.4253654 49.3444065, 16.4253044 49.3444008, 16.4252613 49.3443968, 16.4251632 49.3443906, 16.4250703 49.3443883, 16.4249792 49.3443901, 16.4248911 49.3443953, 16.4247743 49.3444073, 16.424727 49.3444142, 16.4246491 49.3444254, 16.424504 49.3444487, 16.424477 49.3444537, 16.4243637 49.3444748, 16.4242622 49.3444947, 16.4241714 49.3445164, 16.4240842 49.3445396, 16.4239613 49.3445745, 16.4238541 49.3446028, 16.4237788 49.3446191, 16.4237062 49.3446306, 16.4236227 49.3446374, 16.4236036 49.3446372, 16.4235446 49.3446365, 16.4234651 49.3446291, 16.4234014 49.344617, 16.4233351 49.3445971, 16.4232805 49.3445747, 16.4232324 49.3445496, 16.4231683 49.3445091)",50,379,2,,,,
28952421,,residential,False,True,37.30800000000001,"LINESTRING (16.4228025 49.3489379, 16.4228743 49.3489088, 16.4231861 49.3488621, 16.4232326 49.3488432, 16.4232409 49.3488228, 16.4232334 49.3488084)",,,,,,,
"[349826362, 141247452]","['náměstí Míru', 'nám. Komenského']",residential,False,False,86.50699999999999,"LINESTRING (16.4228025 49.3489379, 16.4227394 49.3489232, 16.4226279 49.3489021, 16.4224604 49.3488949, 16.4222642 49.3489087, 16.4220709 49.3489296, 16.4217634 49.3489671, 16.4216308 49.3489898)",30,,,,,,
349826362,náměstí Míru,residential,False,True,56.675000000000004,"LINESTRING (16.4228025 49.3489379, 16.4228851 49.3489828, 16.4229938 49.3490673, 16.4231638 49.3492725, 16.4232422 49.349354)",,,,,,,
11293737,Cáhlovská,residential,False,False,152.35,"LINESTRING (16.4244836 49.3458692, 16.4244025 49.3458021, 16.4242856 49.3456607, 16.4242756 49.3456497, 16.4240521 49.3454028, 16.4239699 49.345312, 16.4239484 49.3452882, 16.4237825 49.3450873, 16.4236293 49.3449266, 16.4233755 49.3447077)",30,,,,,,
28826730,Brněnská,residential,False,True,200.95800000000003,"LINESTRING (16.4244836 49.3458692, 16.4245541 49.345804, 16.4253352 49.3452973, 16.425375 49.3452715, 16.4257884 49.3450246, 16.4261869 49.3448277, 16.4265218 49.3446497)",30,,,,,,
144313432,Dvořákova,secondary,False,True,81.164,"LINESTRING (16.4278038 49.3464442, 16.4273752 49.3457698)",50,377,2,,,,
26139001,Smetanova,living_street,False,False,141.473,"LINESTRING (16.4278038 49.3464442, 16.4278699 49.3464109, 16.4280069 49.3463538, 16.4294433 49.3457533)",,,,,,,
144313432,Dvořákova,secondary,False,False,83.459,"LINESTRING (16.4278038 49.3464442, 16.42784 49.3464899, 16.4278751 49.3465293, 16.4279172 49.3465728, 16.4284132 49.3470242, 16.4284553 49.3470624)",50,377,2,,,,
22940741,Husova,residential,True,False,146.768,"LINESTRING (16.4295299 49.3481006, 16.4296337 49.3480531, 16.4311877 49.3473418)",,,,,,,
144128816,Dvořákova,secondary,False,False,55.135,"LINESTRING (16.4295299 49.3481006, 16.4295331 49.3481252, 16.4295357 49.3481501, 16.4295155 49.348512, 16.4295108 49.348596)",50,377,,,,,
930687806,Dvořákova,secondary,False,True,139.552,"LINESTRING (16.4295299 49.3481006, 16.4295203 49.3480798, 16.4295112 49.3480601, 16.429501 49.3480431, 16.429488 49.3480253, 16.4294626 49.3479971, 16.4294326 49.3479696, 16.4284553 49.3470624)",50,377,2,,,,
38080802,Smíškova,residential,False,True,106.319,"LINESTRING (16.4311877 49.3473418, 16.4303607 49.3465519)",,,,,,,
9583182,Riegrova,tertiary,False,False,149.14799999999997,"LINESTRING (16.4259458 49.3496746, 16.4254322 49.3498121, 16.4249196 49.3499493, 16.4248256 49.3499745, 16.4246412 49.3500238, 16.4242634 49.3501249, 16.424195 49.3501467, 16.4240478 49.3501938)",50,3773,,,,,
9583182,Riegrova,tertiary,False,True,259.60200000000003,"LINESTRING (16.4259458 49.3496746, 16.4260971 49.349635, 16.4282258 49.3490891, 16.4291591 49.3488447, 16.4292771 49.3488138)",50,3773,,,,,
26232081,Drbalova,residential,False,False,129.88500000000002,"LINESTRING (16.4259458 49.3496746, 16.4259405 49.3497891, 16.4259404 49.3497912, 16.4259341 49.3499248, 16.4259176 49.3502786, 16.4259289 49.3506363, 16.4259534 49.3507448, 16.426005 49.3508351)",,,,,,,
"[506362361, 26002817, 506362364]",Na Hrádku,residential,True,False,184.613,"LINESTRING (16.4259458 49.3496746, 16.4259494 49.349621, 16.4259572 49.349511, 16.42596 49.3494869, 16.4260553 49.3481869, 16.4261443 49.3480262)",,,,yes,,,
372019897,Drbalova,residential,False,False,99.707,"LINESTRING (16.4264474 49.3516964, 16.4268205 49.3520698, 16.4272137 49.3524412)",30,,,,,,
