osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,junction
240979002,False,2,RN 6B,primary,40,True,60.885,"LINESTRING (0.5441002 32.8974099, 0.5441953 32.8979516)",
728998981,False,,,residential,,True,80.755,"LINESTRING (0.5441002 32.8974099, 0.5432506 32.8975461)",
729003058,False,2,,tertiary,40,True,114.588,"LINESTRING (0.5441002 32.8974099, 0.5453079 32.8972264)",
240979002,False,2,RN 6B,primary,40,False,101.965,"LINESTRING (0.5441002 32.8974099, 0.5440362 32.896736, 0.544023 32.8964953)",
240979002,False,2,RN 6B,primary,40,True,17.024,"LINESTRING (0.5436741 32.8924242, 0.5437155 32.8925733)",
310242089,True,2,,tertiary,40,False,39.272,"LINESTRING (0.5436741 32.8924242, 0.5440255 32.8922301)",
228048077,True,,,residential,,False,8.001,"LINESTRING (0.5450389 32.8983292, 0.5450624 32.89826)",
310108389,False,,,residential,,False,55.734,"LINESTRING (0.5450389 32.8983292, 0.5444494 32.8984082)",
310108389,False,,,residential,,True,8.513,"LINESTRING (0.5450389 32.8983292, 0.5451287 32.8983159)",
228047999,False,,,residential,,False,128.729,"LINESTRING (0.5432506 32.8975461, 0.5431621 32.8963908)",
228047999,False,,,residential,,True,57.415,"LINESTRING (0.5432506 32.8975461, 0.5432814 32.8980618)",
728998981,False,,,residential,,False,80.755,"LINESTRING (0.5432506 32.8975461, 0.5441002 32.8974099)",
228047999,False,,,residential,,False,45.814,"LINESTRING (0.543331 32.8984717, 0.5432814 32.8980618)",
293912838,False,,,residential,,False,36.921,"LINESTRING (0.543331 32.8984717, 0.5429415 32.8985291)",
293912838,False,,,residential,,True,14.764,"LINESTRING (0.543331 32.8984717, 0.5434872 32.898451)",
240979002,False,2,RN 6B,primary,40,True,92.433,"LINESTRING (0.5438742 32.8943267, 0.5439266 32.8951568)",
228075714,False,,,residential,,False,78.305,"LINESTRING (0.5438742 32.8943267, 0.5441236 32.894383, 0.544247 32.8944032, 0.5443637 32.8944179, 0.5444951 32.8944213, 0.5446212 32.89441, 0.5446977 32.8943955)",
228075714,False,,,residential,,True,37.955999999999996,"LINESTRING (0.5438742 32.8943267, 0.543775 32.8943154, 0.5436797 32.8943154, 0.5435765 32.8943255, 0.543472 32.8943456)",
240979002,False,2,RN 6B,primary,40,False,129.39,"LINESTRING (0.5438742 32.8943267, 0.5438496 32.8940333, 0.5437758 32.893166)",
228048114,False,,,residential,,True,42.405,"LINESTRING (0.5484541 32.8967579, 0.5489027 32.8966983)",
310108381,False,2,,tertiary,40,False,159.279,"LINESTRING (0.5484541 32.8967579, 0.5467738 32.8970055)",
310108381,False,2,,tertiary,40,True,79.055,"LINESTRING (0.5484541 32.8967579, 0.5487295 32.8974302)",
228048113,False,,,residential,,False,116.714,"LINESTRING (0.5484541 32.8967579, 0.5483092 32.8962449, 0.5482998 32.8961954, 0.5482978 32.8961532, 0.5483066 32.8961154, 0.5483307 32.8960693, 0.5485656 32.8957909)",
293912842,True,2,,tertiary,40,False,23.997,"LINESTRING (0.5453079 32.8972264, 0.5455388 32.8971316)",
729003058,False,2,,tertiary,40,False,114.588,"LINESTRING (0.5453079 32.8972264, 0.5441002 32.8974099)",
228048356,False,,,residential,,False,142.769,"LINESTRING (0.54567 32.893827, 0.5456799 32.8941881, 0.5456326 32.89511)",
228075714,False,,,residential,,True,112.02399999999999,"LINESTRING (0.54567 32.893827, 0.5453923 32.8939382, 0.545328 32.8939736, 0.5452529 32.8940215, 0.5448948 32.8943154, 0.544821 32.8943548, 0.5447164 32.894392, 0.5446977 32.8943955)",
733505582,False,,,residential,,False,39.788,"LINESTRING (0.54567 32.893827, 0.5457245 32.893605, 0.5457558 32.8934765)",
240979002,False,2,RN 6B,primary,40,False,9.431,"LINESTRING (0.5443175 32.8984269, 0.5442967 32.8983439)",
310108389,False,,,residential,,True,12.489,"LINESTRING (0.5443175 32.8984269, 0.5444494 32.8984082)",
240979002,False,2,RN 6B,primary,40,True,55.911,"LINESTRING (0.5443175 32.8984269, 0.5444066 32.8988647, 0.544412 32.8989232)",
310108381,False,2,,tertiary,40,False,8.653,"LINESTRING (0.5466874 32.897732, 0.5467776 32.8977141)",
310108381,False,2,,tertiary,40,True,51.718,"LINESTRING (0.5466874 32.897732, 0.546146 32.8978304)",
310108381,False,2,,tertiary,40,False,79.055,"LINESTRING (0.5487295 32.8974302, 0.5484541 32.8967579)",
310108381,False,2,,tertiary,40,True,56.031,"LINESTRING (0.5487295 32.8974302, 0.5481387 32.8975187)",
