osmid,ref,highway,oneway,reversed,length,lanes,maxspeed,geometry,bridge
87901203,CW 2,secondary,False,False,11.815,,,"LINESTRING (1.2035105 36.100776, 1.2035595 36.1006774)",
111762738,,residential,False,False,10.69,,,"LINESTRING (1.2035105 36.100776, 1.2034649 36.1008648)",
187122623,RN 4,primary,False,True,94.017,3,80,"LINESTRING (1.2035105 36.100776, 1.2026008 36.1003581)",
87901203,CW 2,secondary,False,False,23.771,,,"LINESTRING (1.2046538 36.0994128, 1.2047625 36.0994004, 1.2048195 36.099408, 1.204914 36.0994258)",
87901203,CW 2,secondary,False,True,173.411,,,"LINESTRING (1.2046538 36.0994128, 1.2045304 36.0994751, 1.2044902 36.0994952, 1.2044245 36.0995477, 1.2043548 36.0996204, 1.2042555 36.0997423, 1.2040812 36.0999709, 1.2035595 36.1006774)",
115108925,,residential,False,True,26.715,,,"LINESTRING (1.2046538 36.0994128, 1.2046371 36.0993652, 1.2046109 36.0993327, 1.2045673 36.0993077, 1.2045238 36.0992948, 1.2044374 36.09928)",
108793279,,residential,False,False,149.732,,,"LINESTRING (1.2020172 36.1028456, 1.2028581 36.101683)",
108793288,,secondary,False,False,194.398,2,40,"LINESTRING (1.2020172 36.1028456, 1.2008786 36.1023071, 1.2001502 36.1019619)",
699844612,,residential,False,False,145.752,,,"LINESTRING (1.2020172 36.1028456, 1.2018053 36.1030992, 1.2011696 36.1039628)",
108793285,,residential,False,True,118.741,,,"LINESTRING (1.2034649 36.1008648, 1.2023136 36.1003404)",
111762738,,residential,False,True,10.69,,,"LINESTRING (1.2034649 36.1008648, 1.2035105 36.100776)",
108793279,,residential,False,True,28.829,,,"LINESTRING (1.2034649 36.1008648, 1.203422 36.1009732, 1.2033208 36.1010935)",
699844611,,residential,False,False,179.519,,,"LINESTRING (1.2011696 36.1039628, 1.2002899 36.1035348, 1.1994463 36.1031458)",
699844612,,residential,False,False,142.316,,,"LINESTRING (1.2011696 36.1039628, 1.2008987 36.1043496, 1.2003663 36.1050658)",
699844612,,residential,False,True,145.752,,,"LINESTRING (1.2011696 36.1039628, 1.2018053 36.1030992, 1.2020172 36.1028456)",
108793304,,residential,False,False,57.288,,,"LINESTRING (1.2003663 36.1050658, 1.1998132 36.1048094)",
699844612,,residential,False,False,161.45999999999998,,,"LINESTRING (1.2003663 36.1050658, 1.1997883 36.1058503, 1.199732 36.1058709, 1.1996877 36.1058644, 1.1991886 36.1056585)",
699844612,,residential,False,True,142.316,,,"LINESTRING (1.2003663 36.1050658, 1.2008987 36.1043496, 1.2011696 36.1039628)",
108793285,,residential,False,False,54.958,,,"LINESTRING (1.1972147 36.1048643, 1.1966649 36.1046476)",
108793291,,unclassified,False,True,31.912,2,50,"LINESTRING (1.1972147 36.1048643, 1.197381 36.1046107)",
