osmid,oneway,lanes,highway,maxspeed,reversed,length,ref,geometry,junction,name
354635795,True,1,primary,30,False,9.002,,"LINESTRING (3.1672107 36.7059965, 3.1672026 36.7060772)",,
42457162,False,2,primary,50,True,101.27199999999999,RN 24B,"LINESTRING (3.1672107 36.7059965, 3.1673736 36.7054865, 3.167489 36.7051135)",,
1227883953,True,,primary,,False,26.445,,"LINESTRING (3.1668039 36.7070932, 3.1667118 36.7070644, 3.1666331 36.7070164, 3.1665737 36.706953)",roundabout,
222355871,True,1,secondary,30,False,45.927,CW 118,"LINESTRING (3.1665737 36.706953, 3.1664631 36.7068672, 3.1663678 36.7068072, 3.1662928 36.7067744, 3.1661529 36.7067215)",,
1227883953,True,,primary,,False,35.674,,"LINESTRING (3.1665737 36.706953, 3.1665379 36.7068781, 3.1665294 36.7067982, 3.1665488 36.7067195, 3.1665946 36.7066482)",roundabout,
1227883953,True,,primary,,False,9.036,,"LINESTRING (3.1665946 36.7066482, 3.1666643 36.7065892)",roundabout,
42457221,True,,primary_link,,False,27.246,,"LINESTRING (3.1672026 36.7060772, 3.1672103 36.7061667, 3.1672278 36.7062248, 3.1672508 36.7062703, 3.1672758 36.7063122)",,
354635795,True,1,primary,30,False,50.942,,"LINESTRING (3.1672026 36.7060772, 3.1671087 36.706322, 3.1670963 36.7064008, 3.1671059 36.7064784, 3.167122 36.7065211)",,
30291713,False,,residential,,False,17.664,,"LINESTRING (3.1645108 36.7086729, 3.1646074 36.7088116)",,Rue Boulbadaoui Mohamed شارع محمد بوبداوي
30291713,False,,residential,,True,119.187,,"LINESTRING (3.1645108 36.7086729, 3.1638715 36.7077315)",,Rue Boulbadaoui Mohamed شارع محمد بوبداوي
28774730,False,2,secondary,40,False,122.312,CW 118,"LINESTRING (3.1650672 36.707192, 3.1638715 36.7077315)",,
28774730,False,2,secondary,40,True,110.11099999999999,CW 118,"LINESTRING (3.1650672 36.707192, 3.1660264 36.7067677, 3.1661009 36.7067347, 3.1661529 36.7067215)",,
28774730,False,2,secondary,40,True,122.312,CW 118,"LINESTRING (3.1638715 36.7077315, 3.1650672 36.707192)",,
30291713,False,,residential,,False,119.187,,"LINESTRING (3.1638715 36.7077315, 3.1645108 36.7086729)",,Rue Boulbadaoui Mohamed شارع محمد بوبداوي
28774730,False,2,secondary,40,False,100.34100000000001,CW 118,"LINESTRING (3.1638715 36.7077315, 3.1635744 36.7078542, 3.1628821 36.7081616)",,
30291723,False,,residential,,True,57.331,,"LINESTRING (3.1628821 36.7081616, 3.1631789 36.708619)",,Rue Benmessaoud Rachid شارع رشيد بن مسعود
28774730,False,2,secondary,40,True,100.34100000000001,CW 118,"LINESTRING (3.1628821 36.7081616, 3.1635744 36.7078542, 3.1638715 36.7077315)",,
30291723,False,,residential,,False,57.331,,"LINESTRING (3.1631789 36.708619, 3.1628821 36.7081616)",,Rue Benmessaoud Rachid شارع رشيد بن مسعود
30291723,False,,residential,,True,8.468,,"LINESTRING (3.1631789 36.708619, 3.1632252 36.7086855)",,Rue Benmessaoud Rachid شارع رشيد بن مسعود
30291727,False,,residential,,False,112.852,,"LINESTRING (3.1631789 36.708619, 3.1626756 36.7088546, 3.1627185 36.7089234, 3.1632252 36.7086855)",,
30291727,False,,residential,,True,95.18299999999999,,"LINESTRING (3.1631789 36.708619, 3.1636112 36.708428, 3.1636455 36.7084968, 3.1632252 36.7086855)",,
30291723,False,,residential,,False,8.468,,"LINESTRING (3.1632252 36.7086855, 3.1631789 36.708619)",,Rue Benmessaoud Rachid شارع رشيد بن مسعود
30291727,False,,residential,,False,95.18299999999999,,"LINESTRING (3.1632252 36.7086855, 3.1636455 36.7084968, 3.1636112 36.708428, 3.1631789 36.708619)",,
30291727,False,,residential,,True,112.852,,"LINESTRING (3.1632252 36.7086855, 3.1627185 36.7089234, 3.1626756 36.7088546, 3.1631789 36.708619)",,
42457160,False,,residential,,False,12.619,,"LINESTRING (3.1670403 36.7055759, 3.167006 36.705686)",,
42457160,False,,residential,,True,13.075,,"LINESTRING (3.1670403 36.7055759, 3.1670918 36.7054658)",,
42457151,False,,residential,,False,112.63200000000002,,"LINESTRING (3.1670403 36.7055759, 3.1669287 36.705569, 3.1668429 36.7055346, 3.1668792 36.7052113, 3.1669767 36.7051461, 3.1671028 36.7051167, 3.1673264 36.7050874, 3.167489 36.7051135)",,
42457151,False,,residential,,True,112.63199999999999,,"LINESTRING (3.167489 36.7051135, 3.1673264 36.7050874, 3.1671028 36.7051167, 3.1669767 36.7051461, 3.1668792 36.7052113, 3.1668429 36.7055346, 3.1669287 36.705569, 3.1670403 36.7055759)",,
42457162,False,2,primary,50,False,101.27199999999999,RN 24B,"LINESTRING (3.167489 36.7051135, 3.1673736 36.7054865, 3.1672107 36.7059965)",,
42457160,False,,residential,,False,13.075,,"LINESTRING (3.1670918 36.7054658, 3.1670403 36.7055759)",,
42457160,False,,residential,,True,12.619,,"LINESTRING (3.167006 36.705686, 3.1670403 36.7055759)",,
