osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,junction,bridge
505705100,2,RN 1,شارع ديدوش مراد,primary,50,False,False,18.738,"LINESTRING (3.0488073 36.7644805, 3.048828 36.7646482)",,,
505705100,2,RN 1,شارع ديدوش مراد,primary,50,False,True,45.66,"LINESTRING (3.0488073 36.7644805, 3.0487273 36.7640749)",,,
28919872,,,Rue Frères Alleg,residential,,False,False,96.298,"LINESTRING (3.0488073 36.7644805, 3.0492071 36.7644882, 3.0492196 36.7644906, 3.0492311 36.7644951, 3.0492411 36.7645016, 3.049249 36.7645097, 3.0492545 36.764519, 3.0492572 36.7645291, 3.0492571 36.7645394, 3.0492518 36.7646528, 3.0492495 36.7646637, 3.0492443 36.7646739, 3.0492366 36.764683, 3.0492266 36.7646906, 3.0492148 36.7646962, 3.0492017 36.7646997, 3.0488364 36.7647275)",,,
505705100,2,RN 1,شارع ديدوش مراد,primary,50,False,False,14.641,"LINESTRING (3.0488364 36.7647275, 3.0488503 36.7648587)",,,
505705100,2,RN 1,شارع ديدوش مراد,primary,50,False,True,8.849,"LINESTRING (3.0488364 36.7647275, 3.048828 36.7646482)",,,
28919872,,,Rue Frères Alleg,residential,,False,True,96.298,"LINESTRING (3.0488364 36.7647275, 3.0492017 36.7646997, 3.0492148 36.7646962, 3.0492266 36.7646906, 3.0492366 36.764683, 3.0492443 36.7646739, 3.0492495 36.7646637, 3.0492518 36.7646528, 3.0492571 36.7645394, 3.0492572 36.7645291, 3.0492545 36.764519, 3.049249 36.7645097, 3.0492411 36.7645016, 3.0492311 36.7644951, 3.0492196 36.7644906, 3.0492071 36.7644882, 3.0488073 36.7644805)",,,
267207987,3,RN 1,Rue Didouche Mourad,primary,50,True,False,59.866,"LINESTRING (3.0489366 36.7651394, 3.049152 36.7651634, 3.0496016 36.7652172)",,,
505705100,2,RN 1,شارع ديدوش مراد,primary,50,False,True,32.66,"LINESTRING (3.0489366 36.7651394, 3.0488982 36.7650968, 3.0488503 36.7648587)",,,
267207987,3,RN 1,Rue Didouche Mourad,primary,50,True,False,27.228,"LINESTRING (3.0496016 36.7652172, 3.0499022 36.7652616)",,,
28962035,,,Rue Maidi Aichour,residential,,True,False,68.86699999999999,"LINESTRING (3.0496016 36.7652172, 3.0495997 36.7652577, 3.0495918 36.7653342, 3.0496376 36.7654894, 3.0497233 36.7655468, 3.0500214 36.7656306)",,,
