osmid,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,name,junction
312981978,residential,False,False,52.582,,,"LINESTRING (-0.2410854 35.2363329, -0.2407275 35.2359612)",,,
312981978,residential,False,True,136.131,,,"LINESTRING (-0.2410854 35.2363329, -0.2420804 35.2372485)",,,
1095118052,primary,False,False,59.352,RN 17,,"LINESTRING (-0.2410854 35.2363329, -0.2406038 35.2366937)",,,
1095118052,primary,False,True,57.185,RN 17,,"LINESTRING (-0.2410854 35.2363329, -0.2415625 35.2359973)",,,
190025343,trunk_link,True,False,27.018,RN 17C,40,"LINESTRING (-0.2460879 35.232686, -0.2460593 35.2327421, -0.2460244 35.2327957, -0.2459836 35.2328465, -0.2459371 35.2328939)",,,
312979987,primary,False,False,12.058,RN 17C,30,"LINESTRING (-0.2460879 35.232686, -0.2460999 35.2327208, -0.2461157 35.2327546, -0.2461352 35.232787)",,,
312981977,primary,False,True,13.174000000000001,RN 17C,40,"LINESTRING (-0.2460879 35.232686, -0.2460827 35.2326468, -0.2460807 35.2326073, -0.2460821 35.2325678)",2,,
40858565,primary,False,True,48.65,RN 17C,40,"LINESTRING (-0.2460821 35.2325678, -0.2461186 35.2321313)",2,,
312981977,primary,False,False,13.174,RN 17C,40,"LINESTRING (-0.2460821 35.2325678, -0.2460807 35.2326073, -0.2460827 35.2326468, -0.2460879 35.232686)",2,,
40858564,trunk_link,True,False,62.85,RN 17C,30,"LINESTRING (-0.2467661 35.2326409, -0.2463353 35.2325781, -0.2462795 35.2325705, -0.2462227 35.232566, -0.2461714 35.2325644, -0.2460821 35.2325678)",,,
190025342,trunk,True,False,59.93599999999999,RN 7,50,"LINESTRING (-0.2467661 35.2326409, -0.2466154 35.2326556, -0.2464867 35.2326793, -0.2463581 35.2327111, -0.2462509 35.232742, -0.2461352 35.232787)",2,,
198396218,tertiary,False,False,64.969,,40,"LINESTRING (-0.2392315 35.231998, -0.2385865 35.2322506)",2,,
312974151,primary,False,False,20.193,RN 7,40,"LINESTRING (-0.2392315 35.231998, -0.2393773 35.2321351)",2,,
312974151,primary,False,True,54.098,RN 7,40,"LINESTRING (-0.2392315 35.231998, -0.2388472 35.2316263)",2,,
312974148,trunk_link,False,True,12.259,,20,"LINESTRING (-0.247378 35.2327856, -0.2473902 35.2326758)",,,
198396214,trunk,True,False,22.240000000000002,RN 7,50,"LINESTRING (-0.2459371 35.2328939, -0.2460903 35.2328584, -0.2461728 35.2328397)",2,,
436159017,primary,False,True,111.684,RN 7;RN 17C,40,"LINESTRING (-0.2459371 35.2328939, -0.2457552 35.2329794, -0.2456634 35.233029, -0.2455741 35.2330841, -0.2449639 35.2335039)",2,,
312974143,primary,False,True,94.465,RN 7;RN 17C,40,"LINESTRING (-0.2449639 35.2335039, -0.244209 35.2340883)",2,,
312979981,tertiary,False,True,53.853,,40,"LINESTRING (-0.2449639 35.2335039, -0.2445753 35.2331381)",2,,
436159018,tertiary,False,False,140.681,,40,"LINESTRING (-0.2449639 35.2335039, -0.2459983 35.2344456)",2,,
