osmid,highway,junction,oneway,reversed,length,geometry,ref,bridge
40859314,primary,roundabout,True,False,7.588,"LINESTRING (3.3060651 36.2312335, 3.3060912 36.2312067, 3.3061244 36.2311855)",,
220462713,primary,,False,False,11.925,"LINESTRING (3.3136892 36.2322294, 3.3138037 36.2322839)",RN 18,
220462713,primary,,False,True,73.817,"LINESTRING (3.3136892 36.2322294, 3.3134747 36.232172, 3.3132126 36.2321283, 3.3129443 36.2320907, 3.3128875 36.2320865)",RN 18,
740853030,residential,,False,True,144.892,"LINESTRING (3.3136892 36.2322294, 3.3140569 36.2320374, 3.3141978 36.2319786, 3.3144466 36.2319311, 3.3145379 36.2318974, 3.3145747 36.2318294, 3.3145685 36.2317436, 3.3145013 36.2315439, 3.3144437 36.231383)",,
318148720,primary,,False,True,48.839,"LINESTRING (3.3060592 36.2306474, 3.3058268 36.2302502)",RN 18A,
91817619,primary,,True,False,45.0,"LINESTRING (3.3060592 36.2306474, 3.3062245 36.2309222, 3.3062647 36.231016)",RN 18A,
40859313,primary,,True,False,62.337,"LINESTRING (3.3061244 36.2311855, 3.306178 36.2310217, 3.3061858 36.2309531, 3.3060592 36.2306474)",,
40859314,primary,roundabout,True,False,22.206,"LINESTRING (3.3061244 36.2311855, 3.3061819 36.2311669, 3.3062437 36.231165, 3.3063027 36.23118, 3.3063521 36.2312101)",,
40859314,primary,roundabout,True,False,10.292,"LINESTRING (3.3061926 36.2314544, 3.3061379 36.2314404, 3.3060915 36.2314132)",,
40859314,primary,roundabout,True,False,5.9559999999999995,"LINESTRING (3.3063521 36.2312101, 3.3063724 36.2312313, 3.3063876 36.2312551)",,
91817620,primary,,True,False,76.976,"LINESTRING (3.306936 36.2317996, 3.3067905 36.2317419, 3.3061926 36.2314544)",RN 18,
220462713,primary,,False,False,48.479000000000006,"LINESTRING (3.306936 36.2317996, 3.3070901 36.2318567, 3.3073146 36.2319281, 3.3074398 36.2319551)",RN 18,
40859314,primary,roundabout,True,False,34.082,"LINESTRING (3.3063876 36.2312551, 3.3064002 36.2312977, 3.3063966 36.2313414, 3.3063771 36.2313822, 3.3063435 36.2314166, 3.3062987 36.2314414, 3.3062469 36.2314544, 3.3061926 36.2314544)",,
198207387,primary,,True,False,79.334,"LINESTRING (3.3063876 36.2312551, 3.3065648 36.231492, 3.3066441 36.231611, 3.306936 36.2317996)",RN 18A,
243222009,secondary,,False,True,82.778,"LINESTRING (3.3057259 36.2313237, 3.3052679 36.23197)",,
198207386,primary,,True,False,32.096000000000004,"LINESTRING (3.3057259 36.2313237, 3.3058698 36.2312761, 3.3060651 36.2312335)",RN 18,
220395982,residential,,False,False,101.674,"LINESTRING (3.3094183 36.2284164, 3.30829 36.2283287)",,
220395982,residential,,False,True,32.812,"LINESTRING (3.3094183 36.2284164, 3.3097829 36.2284404)",,
220395978,residential,,False,False,80.72300000000001,"LINESTRING (3.3094183 36.2284164, 3.309422 36.2282624, 3.309421 36.2279939, 3.309426 36.2276905)",,
220395954,residential,,False,False,72.02,"LINESTRING (3.3072507 36.229354, 3.3071663 36.2299981)",,
220395954,residential,,False,True,30.397,"LINESTRING (3.3072507 36.229354, 3.3072761 36.2290814)",,
220395959,residential,,False,False,87.652,"LINESTRING (3.3072507 36.229354, 3.3082254 36.2294105)",,
198207388,primary,,True,False,34.269,"LINESTRING (3.3060915 36.2314132, 3.3057259 36.2313237)",RN 18,
40859314,primary,roundabout,True,False,21.598,"LINESTRING (3.3060915 36.2314132, 3.3060566 36.2313737, 3.3060397 36.2313271, 3.3060426 36.2312786, 3.3060651 36.2312335)",,
220395981,residential,,False,True,94.64,"LINESTRING (3.3083368 36.2319923, 3.3083655 36.2311415)",,
220462713,primary,,False,False,187.142,"LINESTRING (3.3083368 36.2319923, 3.310423 36.2320193)",RN 18,
220462713,primary,,False,True,80.713,"LINESTRING (3.3083368 36.2319923, 3.3075993 36.2319788, 3.3074398 36.2319551)",RN 18,
220395965,residential,,False,False,19.901,"LINESTRING (3.3054675 36.2271074, 3.3056888 36.2271201)",,
220395969,residential,,False,False,35.9,"LINESTRING (3.3054675 36.2271074, 3.3054384 36.2274294)",,
220395947,residential,,False,False,51.467,"LINESTRING (3.3107039 36.2288146, 3.3112715 36.2288824)",,
