osmid,ref,highway,oneway,reversed,length,maxspeed,geometry,name,lanes
28774165,CW 59,secondary,False,False,110.31,,"LINESTRING (3.222767 36.6202346, 3.2220001 36.6210126)",,
568308076,RN 29,primary,False,False,26.037,50,"LINESTRING (3.222767 36.6202346, 3.2230044 36.6203707)",,
568308076,RN 29,primary,False,True,24.263,50,"LINESTRING (3.222767 36.6202346, 3.2225552 36.6200978)",,
28774165,CW 59,secondary,False,True,14.918,,"LINESTRING (3.2213374 36.6216515, 3.221448 36.6215509)",,
454239290,CW 118,secondary,False,True,63.922,,"LINESTRING (3.2213374 36.6216515, 3.2210834 36.622189)",,
28774165,CW 59,secondary,False,False,163.277,,"LINESTRING (3.2213374 36.6216515, 3.2207452 36.6221062, 3.2198535 36.6224869)",,
34112687,,residential,False,False,45.259,,"LINESTRING (3.2200116 36.6206329, 3.2204024 36.6208923)",Rue Nifradji Belkacem,
34112860,,residential,False,False,13.328,,"LINESTRING (3.2200116 36.6206329, 3.2198922 36.6205609)",Route du Lycée,
34112868,,residential,False,False,77.999,,"LINESTRING (3.2200116 36.6206329, 3.2205606 36.6200871)",,
34112868,,residential,False,True,111.006,,"LINESTRING (3.2213336 36.619305, 3.2205606 36.6200871)",,
568308076,RN 29,primary,False,False,43.378,50,"LINESTRING (3.2213336 36.619305, 3.2217091 36.6195527)",,
568308076,RN 29,primary,False,True,194.40900000000002,50,"LINESTRING (3.2213336 36.619305, 3.2209218 36.6190683, 3.2195937 36.6182533)",,
34112860,,residential,False,False,87.825,,"LINESTRING (3.2198922 36.6205609, 3.2191056 36.6200863)",Route du Lycée,
34112860,,residential,False,True,13.328,,"LINESTRING (3.2198922 36.6205609, 3.2200116 36.6206329)",Route du Lycée,
34112886,,residential,False,True,116.944,,"LINESTRING (3.2198922 36.6205609, 3.2190781 36.621385)",,
34112886,,residential,False,False,87.816,,"LINESTRING (3.2184667 36.6220038, 3.2190781 36.621385)",,
320358474,,residential,False,False,114.889,,"LINESTRING (3.2184667 36.6220038, 3.217463 36.6213568)",,
320358474,,residential,False,True,116.83,,"LINESTRING (3.2184667 36.6220038, 3.2194498 36.6226976)",,
34112687,,residential,False,False,62.316,,"LINESTRING (3.2229405 36.6224907, 3.2234567 36.6228681)",Rue Nifradji Belkacem,
34112687,,residential,False,True,64.5,,"LINESTRING (3.2229405 36.6224907, 3.2223735 36.622131)",Rue Nifradji Belkacem,
1172971173,,residential,False,False,77.431,,"LINESTRING (3.2229405 36.6224907, 3.2233554 36.622023, 3.2234717 36.6219441)",,
410611780,,residential,False,False,65.552,,"LINESTRING (3.2242587 36.6211677, 3.2237973 36.6216264)",,
410711381,,residential,False,False,62.384,,"LINESTRING (3.2242587 36.6211677, 3.2246839 36.6207224)",,
568308076,RN 29,primary,False,False,88.03,50,"LINESTRING (3.2242587 36.6211677, 3.2250291 36.6216621)",,
568308076,RN 29,primary,False,True,66.58,50,"LINESTRING (3.2242587 36.6211677, 3.223675 36.6207948)",,
39955031,,residential,False,False,44.462,,"LINESTRING (3.2201706 36.6198383, 3.2205606 36.6200871)",,
39955034,,residential,False,True,29.71,,"LINESTRING (3.2192528 36.6180354, 3.2190683 36.6182578)",,
568308076,RN 29,primary,False,True,78.842,50,"LINESTRING (3.2192528 36.6180354, 3.2185587 36.6175968)",,
568308076,RN 29,primary,False,False,38.894000000000005,50,"LINESTRING (3.2192528 36.6180354, 3.2193932 36.6181259, 3.2195937 36.6182533)",,
39955037,,residential,False,True,121.116,,"LINESTRING (3.2205063 36.623357, 3.2215632 36.6240403)",,
454239290,CW 118,secondary,False,False,37.748999999999995,,"LINESTRING (3.2205063 36.623357, 3.2205268 36.6233179, 3.2206698 36.6230439)",,
454239290,CW 118,secondary,False,True,72.116,,"LINESTRING (3.2205063 36.623357, 3.2202674 36.6238143, 3.2201938 36.6239551)",,
39955096,,residential,False,True,111.165,,"LINESTRING (3.2222934 36.619925, 3.2215243 36.6207114)",,
568308076,RN 29,primary,False,False,30.251,50,"LINESTRING (3.2222934 36.619925, 3.2225552 36.6200978)",,
568308076,RN 29,primary,False,True,66.582,50,"LINESTRING (3.2222934 36.619925, 3.2222298 36.6198845, 3.2217091 36.6195527)",,
39956333,,residential,False,False,111.336,,"LINESTRING (3.2232217 36.6205204, 3.2224594 36.621313)",,
568308076,RN 29,primary,False,False,50.671,50,"LINESTRING (3.2232217 36.6205204, 3.223675 36.6207948)",,
568308076,RN 29,primary,False,True,25.557,50,"LINESTRING (3.2232217 36.6205204, 3.2230044 36.6203707)",,
39955472,,residential,False,False,116.629,,"LINESTRING (3.2261745 36.6223907, 3.2269107 36.6215241)",,
568308076,RN 29,primary,False,False,113.819,50,"LINESTRING (3.2261745 36.6223907, 3.2271827 36.6230176)",,
568308076,RN 29,primary,False,True,130.432,50,"LINESTRING (3.2261745 36.6223907, 3.2250291 36.6216621)",,
330397333,,residential,False,False,111.10900000000001,,"LINESTRING (3.2261745 36.6223907, 3.2261072 36.6224892, 3.2256754 36.6231141, 3.2255509 36.6232545)",,
39955472,,residential,False,False,69.582,,"LINESTRING (3.2276024 36.620618, 3.2278954 36.6200381)",,
39955472,,residential,False,True,11.295,,"LINESTRING (3.2276024 36.620618, 3.2275262 36.6206991)",,
39955473,,residential,False,False,177.861,,"LINESTRING (3.2276024 36.620618, 3.226256 36.6194387)",,
1172971197,,residential,False,False,30.883,,"LINESTRING (3.2276024 36.620618, 3.2279009 36.6204775)",,
39955472,,residential,False,True,69.582,,"LINESTRING (3.2278954 36.6200381, 3.2276024 36.620618)",,
398661177,,residential,False,False,120.848,,"LINESTRING (3.2278954 36.6200381, 3.2268266 36.6193708)",,
39955472,,residential,False,False,112.834,,"LINESTRING (3.2278954 36.6200381, 3.2281014 36.619735, 3.2274094 36.6193612)",,
454009929,,residential,False,False,33.138,,"LINESTRING (3.2274094 36.6193612, 3.2270381 36.6193604)",,
