osmid,oneway,ref,highway,reversed,length,geometry,junction,name,maxspeed
259894788,True,CW 21A,secondary,False,25.152,"LINESTRING (4.8473316 36.6749948, 4.8473115 36.6751793, 4.8473109 36.6751998, 4.8473085 36.6752202)",,,
421568692,True,,primary_link,False,37.196,"LINESTRING (4.8473316 36.6749948, 4.8473538 36.6751562, 4.8473887 36.6752024, 4.8475061 36.6752737)",,,
177718468,True,,residential,False,1.715,"LINESTRING (4.8509688 36.6764609, 4.8509677 36.6764455)",roundabout,,
177763827,False,,residential,True,106.489,"LINESTRING (4.8509688 36.6764609, 4.8500562 36.6770785)",,,
177718464,True,,secondary,False,5.147,"LINESTRING (4.8491427 36.677509, 4.8491675 36.6774672)",roundabout,,
265940137,True,,residential,False,19.374,"LINESTRING (4.8491427 36.677509, 4.849018 36.6774311, 4.8489919 36.6773885)",,Contre-Allée,
259894770,True,RN 26,primary,False,34.613,"LINESTRING (4.8476515 36.675451, 4.8472683 36.6754016)",,,40
"[177718448, 259894781]",True,,"['secondary_link', 'secondary']",False,52.078,"LINESTRING (4.8476515 36.675451, 4.8474298 36.6755564, 4.84739 36.6756022, 4.8473724 36.6756441, 4.8473658 36.6757061, 4.8473933 36.6757779, 4.8474149 36.6757949)",,,
177718468,True,,residential,False,2.327,"LINESTRING (4.8510563 36.6764035, 4.8510677 36.6764086, 4.8510775 36.6764155)",roundabout,,
177718464,True,,secondary,False,9.139000000000001,"LINESTRING (4.8491493 36.6775898, 4.8491408 36.6775735, 4.8491427 36.677509)",roundabout,,
177718467,True,,secondary,False,95.913,"LINESTRING (4.8491898 36.6794872, 4.8491067 36.6793087, 4.8489704 36.6790605, 4.8488518 36.6788118, 4.8488341 36.678678)",,,
562727757,True,,residential,False,107.46,"LINESTRING (4.8491898 36.6794872, 4.8490177 36.6793747, 4.8486992 36.6788283, 4.8488341 36.678678)",,,
177718464,True,,secondary,False,2.2,"LINESTRING (4.8494288 36.677458, 4.8494412 36.6774751)",roundabout,,
177718468,True,,residential,False,7.561,"LINESTRING (4.8510775 36.6764155, 4.8510892 36.6764297, 4.8510944 36.6764462, 4.8510926 36.6764631, 4.8510839 36.6764786)",roundabout,,
203509553,False,,residential,False,43.809,"LINESTRING (4.8510775 36.6764155, 4.8512851 36.6763548, 4.8515471 36.6763016)",,,
177718453,True,,secondary,False,2.188,"LINESTRING (4.8495299 36.6799257, 4.8495055 36.6799236)",roundabout,,
473666247,False,,residential,True,2.767,"LINESTRING (4.8495299 36.6799257, 4.8495337 36.6799504)",,,
259894781,True,,secondary,False,257.978,"LINESTRING (4.8474149 36.6757949, 4.8476985 36.6760174, 4.8480713 36.6763164, 4.8485707 36.6767115, 4.8489597 36.6770385, 4.8492193 36.6772694, 4.8493427 36.677364, 4.8494288 36.677458)",,,
177718453,True,,secondary,False,4.405,"LINESTRING (4.8495055 36.6799236, 4.8494833 36.6799148, 4.8494663 36.6799005)",roundabout,,
259894783,True,,secondary,False,29.778000000000002,"LINESTRING (4.8470865 36.6756147, 4.8470615 36.6755141, 4.8470487 36.6754324, 4.8470538 36.675398, 4.8470609 36.6753501)",,,
