osmid,oneway,highway,reversed,length,ref,geometry,maxspeed
167349326,True,residential,False,28.594,,"LINESTRING (4.314046 36.7573988, 4.3140523 36.7571417)",
167349329,True,tertiary,False,75.485,,"LINESTRING (4.3160851 36.7568438, 4.3163455 36.7574898)",
440768457,False,tertiary,True,35.193,,"LINESTRING (4.3160851 36.7568438, 4.3159669 36.7565418)",
223892619,True,primary,False,191.856,RN 73,"LINESTRING (4.3160851 36.7568438, 4.3148403 36.7571859, 4.314046 36.7573988)",
167349326,True,residential,False,70.309,,"LINESTRING (4.3147094 36.7593101, 4.314498 36.7587009)",
167368641,False,residential,False,47.104,,"LINESTRING (4.3147094 36.7593101, 4.314205 36.7594372)",
190908846,False,residential,True,133.87,,"LINESTRING (4.3147094 36.7593101, 4.315839 36.7590269, 4.316141 36.7589443)",
437623597,False,primary,False,6.4,RN 73,"LINESTRING (4.3159669 36.7565418, 4.3159503 36.7564858)",
440768457,False,tertiary,False,35.193,,"LINESTRING (4.3159669 36.7565418, 4.3160851 36.7568438)",
190908853,True,residential,False,57.61,,"LINESTRING (4.3165738 36.7581192, 4.3171924 36.7579682)",
190908845,False,tertiary,False,130.666,,"LINESTRING (4.3165738 36.7581192, 4.316023 36.7582868, 4.3159479 36.7583512, 4.3159479 36.7584071, 4.316141 36.7589443)",
167368633,False,residential,True,70.937,,"LINESTRING (4.3185572 36.7601177, 4.3193247 36.7602877)",
167368633,False,residential,False,165.66,,"LINESTRING (4.3185572 36.7601177, 4.3184075 36.7601293, 4.3181052 36.7601786, 4.316729 36.7603876)",
190908848,False,residential,True,193.708,,"LINESTRING (4.3185572 36.7601177, 4.3184633 36.7599629, 4.3175548 36.7587337, 4.3174742 36.7586079)",
167368633,False,residential,False,47.037,,"LINESTRING (4.3221627 36.7603093, 4.321965 36.7603254, 4.3216499 36.760402)",
190908849,False,tertiary,True,310.036,,"LINESTRING (4.3221627 36.7603093, 4.3221629 36.7593053, 4.322158 36.7588619, 4.3221548 36.7585704, 4.3220368 36.7578484, 4.3219849 36.7576988, 4.3219295 36.757539)",
167368637,False,residential,True,30.367,,"LINESTRING (4.316729 36.7603876, 4.3163943 36.7604394)",
190908845,False,tertiary,True,143.729,,"LINESTRING (4.316729 36.7603876, 4.3162581 36.7591513)",
167368633,False,residential,True,165.66,,"LINESTRING (4.316729 36.7603876, 4.3181052 36.7601786, 4.3184075 36.7601293, 4.3185572 36.7601177)",
167368643,False,residential,True,50.218,,"LINESTRING (4.314498 36.7587009, 4.3139588 36.7588326)",
167349326,True,residential,False,80.088,,"LINESTRING (4.314498 36.7587009, 4.3144583 36.7585864, 4.3143922 36.7583962, 4.3142571 36.758007)",
167368636,False,residential,False,70.716,,"LINESTRING (4.314205 36.7594372, 4.3139588 36.7588326)",
167368641,False,residential,True,47.104,,"LINESTRING (4.314205 36.7594372, 4.3147094 36.7593101)",
167349326,True,residential,False,70.195,,"LINESTRING (4.3142571 36.758007, 4.314046 36.7573988)",
167368636,False,residential,True,70.716,,"LINESTRING (4.3139588 36.7588326, 4.314205 36.7594372)",
167368643,False,residential,False,50.218,,"LINESTRING (4.3139588 36.7588326, 4.314498 36.7587009)",
167370684,True,secondary,False,106.823,,"LINESTRING (4.3188014 36.7561877, 4.3176503 36.7564567)",
190908852,False,residential,False,78.332,,"LINESTRING (4.3188014 36.7561877, 4.3190652 36.7568597)",
190908852,False,residential,True,41.076,,"LINESTRING (4.3188014 36.7561877, 4.3186647 36.7558349)",
190906583,False,secondary,True,139.446,,"LINESTRING (4.3188014 36.7561877, 4.3190847 36.7561099, 4.3191988 36.7560691, 4.3193061 36.7560196, 4.3201751 36.7555963)",
190906583,False,secondary,False,139.446,,"LINESTRING (4.3201751 36.7555963, 4.3193061 36.7560196, 4.3191988 36.7560691, 4.3190847 36.7561099, 4.3188014 36.7561877)",
190906583,False,secondary,True,93.155,,"LINESTRING (4.3201751 36.7555963, 4.3206172 36.7554237, 4.3211128 36.7552256)",
1005879865,False,residential,False,151.28199999999998,,"LINESTRING (4.3201751 36.7555963, 4.3201348 36.7554943, 4.3201134 36.7554685, 4.3200704 36.7554599, 4.3186647 36.7558349)",
190906583,False,secondary,False,93.155,,"LINESTRING (4.3211128 36.7552256, 4.3206172 36.7554237, 4.3201751 36.7555963)",
190908849,False,tertiary,False,271.21999999999997,,"LINESTRING (4.3211128 36.7552256, 4.3214038 36.7556135, 4.3215018 36.7558085, 4.3217364 36.7562754, 4.321739 36.7562922, 4.3217577 36.7564146, 4.3218574 36.7570669, 4.3219295 36.757539)",
190908845,False,tertiary,False,143.729,,"LINESTRING (4.3162581 36.7591513, 4.316729 36.7603876)",
190908845,False,tertiary,True,25.271,,"LINESTRING (4.3162581 36.7591513, 4.316141 36.7589443)",
190908851,False,tertiary,True,125.56200000000001,,"LINESTRING (4.3162581 36.7591513, 4.3166936 36.7589873, 4.3168333 36.7588799, 4.3171337 36.7586994, 4.3174742 36.7586079)",
368199205,False,residential,False,146.133,,"LINESTRING (4.3162581 36.7591513, 4.3161851 36.7593657, 4.3161939 36.7596109, 4.316223 36.7598888, 4.3162726 36.7600873, 4.3163367 36.7602671, 4.3163943 36.7604394)",
