osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,lanes,bridge,name,access
403829196,False,RN 26,primary,50,False,41.3,"LINESTRING (4.6145989 36.5427957, 4.6143437 36.542486)",,,,
263129979,False,,unclassified,,True,159.176,"LINESTRING (4.6145989 36.5427957, 4.6146759 36.5427787, 4.6149873 36.542666, 4.615291 36.5425645, 4.6159625 36.5423977, 4.6162726 36.5423104)",,,,
"[304044985, 304044986, 201864923]",False,RN 26,primary,,True,121.773,"LINESTRING (4.6145989 36.5427957, 4.6146522 36.542866, 4.614847 36.5431225, 4.6151549 36.5435281, 4.6153061 36.5437319)",2,yes,,
122481181,False,CW 251,secondary,30,True,17.189,"LINESTRING (4.609364 36.5448251, 4.6094916 36.5447094)",,,Route du congrès,
122481181,False,CW 251,secondary,30,False,35.704,"LINESTRING (4.6132061 36.5411808, 4.6131163 36.5412706, 4.6129462 36.5414246)",,,Route du congrès,
403829196,False,RN 26,primary,50,False,66.658,"LINESTRING (4.6132061 36.5411808, 4.6130735 36.5410887, 4.6128992 36.5409486, 4.6127061 36.5408085, 4.6126601 36.5407726)",,,,
403829196,False,RN 26,primary,50,True,50.239000000000004,"LINESTRING (4.6132061 36.5411808, 4.6132693 36.5412288, 4.6133275 36.5412765, 4.6135486 36.5415368)",,,,
403829196,False,RN 26,primary,50,False,67.377,"LINESTRING (4.6139739 36.5420372, 4.6135486 36.5415368)",,,,
403829196,False,RN 26,primary,50,True,13.099,"LINESTRING (4.6139739 36.5420372, 4.6140549 36.5421354)",,,,
1014245923,False,,residential,,True,121.57400000000001,"LINESTRING (4.6139739 36.5420372, 4.6143959 36.5417289, 4.614404 36.5417085, 4.6143973 36.5416901, 4.6142672 36.5415447, 4.6142592 36.5415274, 4.6142551 36.5415048, 4.6142685 36.5414876, 4.614636 36.5412926)",,,,
201864923,False,RN 26,primary,,True,5.934,"LINESTRING (4.6159534 36.5445003, 4.615999 36.5445391)",,,,
201864923,False,RN 26,primary,,False,103.19800000000001,"LINESTRING (4.6159534 36.5445003, 4.6158837 36.544427, 4.6157442 36.5442503, 4.6153061 36.5437319)",,,,
304044980,False,,residential,,True,65.446,"LINESTRING (4.6159534 36.5445003, 4.6158626 36.5445383, 4.6157919 36.5445678, 4.6155476 36.5446358, 4.6152578 36.5446646)",,,,
201864923,False,RN 26,primary,,False,5.934,"LINESTRING (4.615999 36.5445391, 4.6159534 36.5445003)",,,,
403829196,False,RN 26,primary,50,False,6.911,"LINESTRING (4.6114945 36.5398626, 4.611439 36.5398193)",,,,
263129980,False,,residential,20,True,180.561,"LINESTRING (4.6114945 36.5398626, 4.6116204 36.539753, 4.6117173 36.5396686, 4.6123207 36.539216, 4.6126399 36.5389725, 4.6128518 36.5388087, 4.612939 36.5387282)",,,,
403829196,False,RN 26,primary,50,True,38.601,"LINESTRING (4.6114945 36.5398626, 4.6115341 36.5398935, 4.6118044 36.5401045)",,,,
"[304044985, 304044986, 201864923]",False,RN 26,primary,,False,121.77300000000001,"LINESTRING (4.6153061 36.5437319, 4.6151549 36.5435281, 4.614847 36.5431225, 4.6146522 36.542866, 4.6145989 36.5427957)",2,yes,,
201864923,False,RN 26,primary,,True,103.19800000000001,"LINESTRING (4.6153061 36.5437319, 4.6157442 36.5442503, 4.6158837 36.544427, 4.6159534 36.5445003)",,,,
263129981,False,,residential,,True,139.18699999999998,"LINESTRING (4.6153061 36.5437319, 4.6151162 36.5438071, 4.6141536 36.5440711, 4.6139149 36.5441336, 4.6138402 36.544152)",,,,
122481181,False,CW 251,secondary,30,False,56.525,"LINESTRING (4.6116283 36.542628, 4.6112285 36.543022)",,,Route du congrès,
122481181,False,CW 251,secondary,30,True,71.462,"LINESTRING (4.6116283 36.542628, 4.6118342 36.5424396, 4.6118564 36.5424193, 4.6121508 36.5421414)",,,Route du congrès,
263129986,False,,residential,,True,33.856,"LINESTRING (4.6116283 36.542628, 4.6114637 36.5425148, 4.6113404 36.54243)",,,Avenue Centrale,
