osmid,oneway,ref,highway,reversed,length,geometry,lanes,name,maxspeed,bridge,junction
500121875,False,CW 12,secondary,True,20.919,"LINESTRING (7.2874701 36.862374, 7.287315 36.8625154)",,,,,
189265470,False,,secondary,False,481.002,"LINESTRING (7.2874701 36.862374, 7.2874441 36.8622216, 7.2873848 36.8618409, 7.2872617 36.861213, 7.2872134 36.8608139, 7.2872402 36.8605692, 7.28731 36.8602773, 7.2874438 36.8599653, 7.2877174 36.8594975, 7.2881307 36.8589382, 7.2885945 36.8583296)",,,,,
500121875,False,CW 12,secondary,False,41.254999999999995,"LINESTRING (7.2874701 36.862374, 7.2875954 36.86231, 7.2877245 36.8622533, 7.2878774 36.862198)",,,,,
189265470,False,,secondary,False,631.858,"LINESTRING (7.2939455 36.856377, 7.2946002 36.8563758, 7.2949808 36.8564243, 7.2952866 36.8564886, 7.2955658 36.8565861, 7.2958177 36.8567719, 7.296172 36.8571011, 7.2965475 36.8575261, 7.2967674 36.8578437, 7.2970247 36.858403, 7.2973522 36.8592215, 7.2974004 36.8594962, 7.2973734 36.8597121, 7.2972932 36.8598954, 7.2969978 36.860446, 7.2969886 36.8604626)",,,,,
189265470,False,,secondary,True,585.946,"LINESTRING (7.2939455 36.856377, 7.2926527 36.8563384, 7.2915744 36.8563169, 7.291097 36.8563212, 7.2906732 36.8563556, 7.290416 36.8564101, 7.2902226 36.8565101, 7.2899329 36.8567033, 7.2895681 36.8570724, 7.2889834 36.8578192, 7.2885945 36.8583296)",,,,,
279273734,False,,tertiary,True,29.347,"LINESTRING (7.2939455 36.856377, 7.2940216 36.8565651, 7.2940455 36.8566285)",2,شارع برحال الساسي,60,,
"[500121875, 279273260, 500121876]",False,CW 12,secondary,False,178.516,"LINESTRING (7.2861672 36.8638268, 7.2862072 36.8637991, 7.2863539 36.8636163, 7.2867572 36.8631135, 7.2869824 36.8628246, 7.2871842 36.8626346, 7.287315 36.8625154)",,,,yes,
279273561,True,CW 12,secondary,False,111.085,"LINESTRING (7.2878774 36.862198, 7.2881721 36.8621194, 7.2885169 36.8620287, 7.288717 36.8619761, 7.2890682 36.8618983)",,,,,
500121875,False,CW 12,secondary,True,41.255,"LINESTRING (7.2878774 36.862198, 7.2877245 36.8622533, 7.2875954 36.86231, 7.2874701 36.862374)",,,,,
279273561,True,CW 12,secondary,False,121.529,"LINESTRING (7.2900995 36.8616655, 7.2914194 36.8613839)",,,,,
346681609,False,,residential,False,6.443,"LINESTRING (7.2900995 36.8616655, 7.2901223 36.8617205)",,,,,
279273561,True,CW 12,secondary,False,46.081,"LINESTRING (7.2915769 36.86135, 7.2920775 36.8612436)",,,,,
