osmid,highway,oneway,reversed,length,maxspeed,junction,geometry,lanes,ref,name
207630058,residential,False,False,149.284,,,"LINESTRING (3.4874484 34.1546192, 3.4873466 34.1559591)",,,
207630058,residential,False,True,10.851,,,"LINESTRING (3.4874484 34.1546192, 3.4874533 34.1545217)",,,
40422887,primary,True,False,12.491,40,roundabout,"LINESTRING (3.4921357 34.153977, 3.4921658 34.1539641, 3.4921985 34.1539564, 3.4922323 34.1539543, 3.492266 34.1539578)",,,
183759502,primary,False,True,36.43,50,,"LINESTRING (3.4916567 34.1518118, 3.4917237 34.1521347)",2,RN 1B,طريق تقرت
268899200,primary,True,False,29.393,50,,"LINESTRING (3.4916567 34.1518118, 3.4916173 34.1517253, 3.4915629 34.1515594)",2,RN 1B,طريق تقرت
204550327,residential,False,False,10.271,,,"LINESTRING (3.4915629 34.1515594, 3.4916648 34.1515217)",,,
268899200,primary,True,False,87.05699999999999,50,,"LINESTRING (3.4915629 34.1515594, 3.4914601 34.151166, 3.4914338 34.1509425, 3.4914394 34.1507867)",2,RN 1B,طريق تقرت
207859361,residential,False,False,59.668,,,"LINESTRING (3.491528 34.150342, 3.4912645 34.1498517)",,,
207859361,residential,False,True,9.308,,,"LINESTRING (3.491528 34.150342, 3.4916112 34.1503896)",,,
207956042,residential,False,True,10.66,,,"LINESTRING (3.4940297 34.1560582, 3.4941422 34.1560353)",,,
701746244,primary,False,False,54.362,40,,"LINESTRING (3.4940297 34.1560582, 3.4943904 34.1564454)",2,RN 89,طريق مسعد - الفيض
701746244,primary,False,True,42.692,40,,"LINESTRING (3.4940297 34.1560582, 3.4937394 34.1557587)",2,RN 89,طريق مسعد - الفيض
272531311,primary,True,False,50.607,40,,"LINESTRING (3.492577 34.1545162, 3.4921581 34.1542213)",,,
701746244,primary,False,False,63.657000000000004,40,,"LINESTRING (3.492577 34.1545162, 3.4927244 34.154677, 3.4930006 34.1549688)",2,RN 89,طريق مسعد - الفيض
