osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,geometry,junction
299985020,False,2,RN 5,primary,40,True,116.7,,"LINESTRING (6.1626371 36.159452, 6.1638993 36.1597029)",
358542902,False,,,residential,,True,147.226,Rue Bouchama Hamou,"LINESTRING (6.1626371 36.159452, 6.1628063 36.1589815, 6.1629035 36.1587927, 6.1630081 36.158665, 6.1634104 36.1583163)",
133025904,False,2,RN 5,primary,40,False,121.248,,"LINESTRING (6.1665345 36.1602269, 6.1652231 36.1599662)",
133025904,False,2,RN 5,primary,40,True,328.182,,"LINESTRING (6.1665345 36.1602269, 6.1700847 36.1609305)",
171170165,False,,,residential,,False,27.178,Chemin des Frères Haifi,"LINESTRING (6.1665345 36.1602269, 6.166606 36.1599894)",
171170165,False,,,residential,,True,61.884,Chemin des Frères Haifi,"LINESTRING (6.1665345 36.1602269, 6.1663697 36.1607673)",
171170172,False,,,residential,,False,78.03,Rue 5 Juillet 1962,"LINESTRING (6.1642526 36.1584897, 6.1634104 36.1583163)",
171170172,False,,,residential,,True,122.993,Rue 5 Juillet 1962,"LINESTRING (6.1642526 36.1584897, 6.1655795 36.1587649)",
171170222,False,,RN 100,primary,,False,138.581,,"LINESTRING (6.1642526 36.1584897, 6.1638993 36.1597029)",
171170222,False,,RN 100,primary,,True,44.21,,"LINESTRING (6.1642526 36.1584897, 6.1644105 36.1581131)",
171170222,False,,RN 100,primary,,False,44.21,,"LINESTRING (6.1644105 36.1581131, 6.1642526 36.1584897)",
272232756,True,,,primary,,False,44.171,,"LINESTRING (6.1644105 36.1581131, 6.1642943 36.1577271)",
133025904,False,2,RN 5,primary,40,True,122.399,,"LINESTRING (6.1638993 36.1597029, 6.1652231 36.1599662)",
171170222,False,,RN 100,primary,,True,138.581,,"LINESTRING (6.1638993 36.1597029, 6.1642526 36.1584897)",
171170224,False,,,primary,,False,61.215,,"LINESTRING (6.1638993 36.1597029, 6.163735 36.1602372)",
299985020,False,2,RN 5,primary,40,False,116.7,,"LINESTRING (6.1638993 36.1597029, 6.1626371 36.159452)",
