osmid,oneway,highway,reversed,length,geometry,bridge,lanes,maxspeed,name,ref,junction
26250343,True,primary,False,26.075,"LINESTRING (3.0400416 36.7509844, 3.0402532 36.7511464)",,,,,,
26250424,True,primary,False,92.92500000000001,"LINESTRING (3.0400416 36.7509844, 3.0398614 36.7508813, 3.0391824 36.7505107)",,,,,,
"[579414009, 579414010]",True,primary,False,89.566,"LINESTRING (3.0402532 36.7511464, 3.0409226 36.7517091, 3.0409488 36.7517278)",yes,2,40,,,
27317761,True,secondary,False,34.739000000000004,"LINESTRING (3.0409488 36.7517278, 3.0410019 36.7517578, 3.041063 36.7517755, 3.0411278 36.7517797, 3.0411916 36.75177, 3.04125 36.7517471, 3.0412988 36.7517127)",,1,,,,
51036562,False,primary,True,24.559,"LINESTRING (3.0386606 36.7503894, 3.0388256 36.7503447, 3.0389222 36.7503198)",,,,نهج العربي عليق,,
51036836,False,primary,False,194.94299999999998,"LINESTRING (3.0386606 36.7503894, 3.038329 36.7504739, 3.0380744 36.7505236, 3.0379345 36.7505327, 3.0377648 36.7505153, 3.0373829 36.7504356, 3.0371847 36.7503618, 3.0370477 36.7502794, 3.0369292 36.750153, 3.0367702 36.7499637)",,,,Avenue Larbi Allik,,
26250552,True,tertiary,False,31.433,"LINESTRING (3.0391824 36.7505107, 3.0389222 36.7503198)",,,,,,
26250438,True,primary_link,False,49.118,"LINESTRING (3.0391824 36.7505107, 3.0390264 36.7504491, 3.0388659 36.7504004, 3.0386606 36.7503894)",,,,,,
26250487,True,primary_link,False,31.068,"LINESTRING (3.0391824 36.7505107, 3.0391358 36.7503957, 3.0391439 36.750327, 3.0391546 36.7502818, 3.0391905 36.7502492)",,,,,,
26250476,True,primary,False,93.83500000000001,"LINESTRING (3.0402153 36.750137, 3.040312 36.7502644, 3.0403473 36.7504336, 3.0403421 36.7505858, 3.0402738 36.750752, 3.0401818 36.7509336)",,,,Avenue Larbi Allik,,
