osmid,highway,oneway,reversed,length,ref,geometry,lanes,name,maxspeed,junction
173667634,residential,False,False,12.999,,"LINESTRING (2.1950537 36.6088266, 2.1951076 36.608718)",,,,
193640666,primary,False,False,41.099,RN 11,"LINESTRING (2.1950537 36.6088266, 2.1946106 36.6087261)",,,,
193640666,primary,False,False,16.464,RN 11,"LINESTRING (2.1926928 36.6082938, 2.1925181 36.6082463)",,,,
193640666,primary,False,True,15.062,RN 11,"LINESTRING (2.1926928 36.6082938, 2.1928548 36.6083317)",,,,
389226981,residential,True,False,274.988,,"LINESTRING (2.1926928 36.6082938, 2.1932314 36.6072388, 2.1937425 36.6061565, 2.1938295 36.6059956)",,,,
193640666,primary,False,False,13.94,RN 11,"LINESTRING (2.1903198 36.6075227, 2.1901802 36.6074665)",,,,
448134345,residential,False,False,45.605,,"LINESTRING (2.1903198 36.6075227, 2.1904918 36.6071365)",1,Rue Frère Sadoun,20,
193640666,primary,False,True,66.194,RN 11,"LINESTRING (2.1903198 36.6075227, 2.1906735 36.6076582, 2.1909938 36.6077708)",,,,
"[448354293, 448134341]",primary,True,False,31.799,,"LINESTRING (2.1903198 36.6075227, 2.1901497 36.607526, 2.1899666 36.6075527)",,,,
171562648,primary,True,False,64.127,RN 11,"LINESTRING (2.1894017 36.6071551, 2.1900424 36.607416)",,Rue Abdelhak,,
172029377,tertiary,False,True,44.228,,"LINESTRING (2.1894017 36.6071551, 2.1892014 36.6075189)",,Youcef Khoudja,,
172032823,tertiary,False,False,43.614,,"LINESTRING (2.1894017 36.6071551, 2.1896302 36.6068084)",,Youcef Khoudja,,
171562648,primary,True,False,24.682,RN 11,"LINESTRING (2.1884804 36.6067729, 2.1887228 36.6068797)",,Rue Abdelhak,,
448123723,residential,True,False,65.288,,"LINESTRING (2.1884804 36.6067729, 2.1882227 36.6073224)",,Rue Sid Ali,,
171562606,primary,False,True,16.692,,"LINESTRING (2.1862867 36.6058574, 2.1863695 36.6057228)",,,,
171562637,primary,True,False,38.891,RN 11,"LINESTRING (2.1862867 36.6058574, 2.1861406 36.6057905, 2.1860585 36.6057272, 2.185971 36.6056258)",,,,
173667630,residential,True,False,49.03,,"LINESTRING (2.1858757 36.6047785, 2.186206 36.6051308)",,,,
284339347,secondary,False,True,76.459,,"LINESTRING (2.1858757 36.6047785, 2.1852064 36.6052076)",,ghezal,,
767476496,secondary,False,True,17.147,,"LINESTRING (2.1858757 36.6047785, 2.1860274 36.6046839)",,,,
171562636,residential,False,False,50.035,,"LINESTRING (2.1868872 36.6035793, 2.1872248 36.6039385)",,,,
171562636,residential,False,True,67.087,,"LINESTRING (2.1868872 36.6035793, 2.1864243 36.603104)",,,,
173667608,residential,False,False,57.574,,"LINESTRING (2.1868872 36.6035793, 2.1863842 36.6039034)",,,,
171562607,primary,False,True,18.999000000000002,,"LINESTRING (2.1865424 36.6079255, 2.1864866 36.6079008, 2.1864355 36.6078788, 2.1863615 36.6078361)",,,,
171562642,residential,True,False,132.081,,"LINESTRING (2.1865424 36.6079255, 2.1866864 36.6079224, 2.1880083 36.6077688)",,,,
448184922,residential,False,False,30.671,,"LINESTRING (2.1920639 36.6081149, 2.1919273 36.608368)",,Rue Si Djelloul ben Miloud,50,
448184922,residential,False,True,46.188,,"LINESTRING (2.1920639 36.6081149, 2.1922606 36.6077307)",,Rue Si Djelloul ben Miloud,50,
193640666,primary,False,False,102.897,RN 11,"LINESTRING (2.1920639 36.6081149, 2.1913316 36.607882, 2.1909938 36.6077708)",,,,
