osmid,highway,oneway,reversed,length,ref,geometry,name,junction,lanes
189615315,residential,False,False,79.298,,"LINESTRING (2.5635221 36.2315828, 2.563449 36.2322935)",,,
189615315,residential,False,True,79.344,,"LINESTRING (2.5635221 36.2315828, 2.5635823 36.2308709)",,,
1206030183,secondary,False,False,75.256,CW 18,"LINESTRING (2.5635221 36.2315828, 2.5626847 36.2315406)",,,
1206030183,secondary,False,True,41.384,CW 18,"LINESTRING (2.5635221 36.2315828, 2.563983 36.2316)",,,
1206030183,secondary,False,True,40.222,CW 18,"LINESTRING (2.5616548 36.2317755, 2.561971 36.231519)",,,
189615268,residential,False,True,139.815,,"LINESTRING (2.5616548 36.2317755, 2.5616387 36.2317053, 2.5616521 36.2308464, 2.5616517 36.2307736, 2.5616333 36.2307231, 2.561511 36.2305473)",,,
1206030183,secondary,False,False,34.267,CW 18,"LINESTRING (2.5616548 36.2317755, 2.5614718 36.2319149, 2.5613511 36.2319546)",,,
1206030183,secondary,False,False,16.275,CW 18,"LINESTRING (2.5612499 36.2319879, 2.5610685 36.2319844)",,,
1206030183,secondary,False,True,9.803,CW 18,"LINESTRING (2.5612499 36.2319879, 2.5613511 36.2319546)",,,
189615268,residential,False,False,144.671,,"LINESTRING (2.5612499 36.2319879, 2.5612873 36.2318611, 2.5612873 36.2318049, 2.5612578 36.2317659, 2.5611769 36.2317364, 2.5611183 36.2317227, 2.5610378 36.231595, 2.5610191 36.2315431, 2.5610176 36.2307924)",,,
1206030183,secondary,False,True,16.275,CW 18,"LINESTRING (2.5610685 36.2319844, 2.5612499 36.2319879)",,,
1206030183,secondary,False,False,62.946,CW 18,"LINESTRING (2.5610685 36.2319844, 2.5608552 36.2319363, 2.5605794 36.2318742, 2.5603856 36.2318807)",,,
189615290,residential,False,False,115.507,,"LINESTRING (2.5603856 36.2318807, 2.5609613 36.2328099)",,,
1206030183,secondary,False,True,62.946,CW 18,"LINESTRING (2.5603856 36.2318807, 2.5605794 36.2318742, 2.5608552 36.2319363, 2.5610685 36.2319844)",,,
189615298,residential,False,False,82.864,,"LINESTRING (2.5655115 36.2316677, 2.5654403 36.2324107)",,,
1206030183,secondary,False,False,59.458,CW 18,"LINESTRING (2.5655115 36.2316677, 2.5648496 36.2316384)",,,
189615298,residential,False,True,78.073,,"LINESTRING (2.5655115 36.2316677, 2.5655254 36.2314492, 2.565538 36.2312517, 2.5655501 36.231062, 2.5655562 36.2309665)",,,
1206030183,secondary,False,True,54.787,CW 18,"LINESTRING (2.5655115 36.2316677, 2.5658987 36.2316809, 2.5661217 36.2316899)",,,
189615255,residential,False,True,46.859,,"LINESTRING (2.5684228 36.2317849, 2.5686312 36.2318481, 2.5687944 36.2318987, 2.5689021 36.2319498)",,,
1206030183,secondary,False,False,51.247,CW 18,"LINESTRING (2.5684228 36.2317849, 2.5681296 36.2318079, 2.5678535 36.2317923)",,,
1206030183,secondary,False,True,146.146,CW 18,"LINESTRING (2.5684228 36.2317849, 2.5686704 36.2317623, 2.5689187 36.2317478, 2.5692281 36.231769, 2.5698988 36.2318387, 2.5699464 36.2318425, 2.5699891 36.2318441, 2.570043 36.2318426)",,,
189615313,residential,False,False,138.665,,"LINESTRING (2.5624215 36.2334521, 2.5609208 36.2331524)",,,
189615318,residential,False,False,86.968,,"LINESTRING (2.5624215 36.2334521, 2.5628104 36.233928, 2.5628828 36.2340016, 2.5629833 36.2340876)",,,
189615318,residential,False,True,50.501000000000005,,"LINESTRING (2.5624215 36.2334521, 2.5621503 36.2331457, 2.5620989 36.23308)",,,
189615275,residential,False,True,3.398,,"LINESTRING (2.5639829 36.2304951, 2.5639959 36.2304664)",شارع الشهيد بونوة جيلالي,,
189615275,residential,False,False,44.31,,"LINESTRING (2.5639829 36.2304951, 2.5639639 36.2305372, 2.5639347 36.2308901)",شارع الشهيد بونوة جيلالي,,
189615305,residential,False,False,59.095,,"LINESTRING (2.5639829 36.2304951, 2.5645431 36.230527, 2.56461 36.2305333, 2.5646397 36.2305361)",,,
189615275,residential,False,True,5.355,,"LINESTRING (2.5625716 36.2302823, 2.5625604 36.2303296)",شارع الشهيد بونوة جيلالي,,
189615259,residential,False,False,46.768,,"LINESTRING (2.5625716 36.2302823, 2.5626981 36.2303315, 2.5628318 36.2303733, 2.563064 36.2304139)",,,
189615275,residential,False,False,88.616,,"LINESTRING (2.5625716 36.2302823, 2.5625848 36.2300646, 2.5626092 36.2297632, 2.5626146 36.2294863)",شارع الشهيد بونوة جيلالي,,
189615286,residential,False,False,36.899,,"LINESTRING (2.5685236 36.2349546, 2.5689165 36.2348562)",,,
189615286,residential,False,True,53.777,,"LINESTRING (2.5685236 36.2349546, 2.5679389 36.2350617)",,,
189615294,residential,False,True,166.837,,"LINESTRING (2.5685236 36.2349546, 2.5681362 36.2334871)",,,
189615313,residential,False,True,28.639,,"LINESTRING (2.5611175 36.2337456, 2.5607985 36.2337569)",,,
189615292,residential,True,False,17.018,,"LINESTRING (2.5611175 36.2337456, 2.5611081 36.2337048, 2.5611165 36.233664, 2.5611324 36.2336382, 2.5611676 36.2336081)",,roundabout,
189615313,residential,False,True,138.665,,"LINESTRING (2.5609208 36.2331524, 2.5624215 36.2334521)",,,
189615324,residential,False,False,38.666000000000004,,"LINESTRING (2.5609208 36.2331524, 2.5609087 36.2330778, 2.5609194 36.2329523, 2.5609402 36.2328607, 2.5609613 36.2328099)",,,
189615324,residential,False,True,56.096000000000004,,"LINESTRING (2.5609208 36.2331524, 2.5609279 36.233196, 2.5609597 36.2333093, 2.5610191 36.2334275, 2.5610963 36.2335157, 2.5611676 36.2336081)",,,
189615256,residential,False,True,71.946,,"LINESTRING (2.5669034 36.2336381, 2.5669193 36.234285)",,,
189615288,residential,False,False,132.075,,"LINESTRING (2.5669034 36.2336381, 2.5654318 36.2336807)",,,
189615288,residential,False,True,56.525,,"LINESTRING (2.5669034 36.2336381, 2.5675311 36.2335927)",,,
189615266,residential,False,True,31.68,,"LINESTRING (2.5635823 36.2308709, 2.5639347 36.2308901)",,,
189615315,residential,False,False,79.344,,"LINESTRING (2.5635823 36.2308709, 2.5635221 36.2315828)",,,
189615266,residential,False,False,76.444,,"LINESTRING (2.5635823 36.2308709, 2.5632586 36.2308483, 2.5627332 36.2308117)",,,
1206030183,secondary,False,False,34.706,CW 18,"LINESTRING (2.5672738 36.2317614, 2.5668877 36.2317408)",,,
189615283,residential,False,True,45.94,,"LINESTRING (2.5672738 36.2317614, 2.567456 36.231691, 2.5677161 36.2315547)",,,
1206030183,secondary,False,True,52.108999999999995,CW 18,"LINESTRING (2.5672738 36.2317614, 2.5678152 36.2317902, 2.5678535 36.2317923)",,,
1206030201,residential,True,False,15.972999999999999,,"LINESTRING (2.562078 36.2322542, 2.5620954 36.2322654, 2.5621078 36.2322803, 2.5621141 36.2322976, 2.5621138 36.2323155, 2.5621069 36.2323326, 2.562094 36.2323472, 2.5620763 36.2323581, 2.5620554 36.2323642)",,roundabout,
1206030207,residential,True,False,12.292,,"LINESTRING (2.562078 36.2322542, 2.5621342 36.2322205, 2.5621994 36.232208)",,,
189615254,residential,False,True,62.565,,"LINESTRING (2.5640371 36.2323253, 2.5639904 36.2328867)",,,
189615307,residential,False,False,126.215,,"LINESTRING (2.5640371 36.2323253, 2.5654403 36.2324107)",,,
189615307,residential,False,True,9.232,,"LINESTRING (2.5640371 36.2323253, 2.5639344 36.2323198)",,,
189615276,residential,False,False,82.344,,"LINESTRING (2.561779 36.2344505, 2.5613199 36.2338092)",,,
189615271,residential,False,False,201.559,,"LINESTRING (2.561779 36.2344505, 2.5618984 36.2344235, 2.5619789 36.234417, 2.5622042 36.2344148, 2.5631457 36.2344235, 2.563248 36.2344162, 2.563328 36.2343954, 2.5633924 36.2343543, 2.5634192 36.234298, 2.5634005 36.2342482, 2.5633575 36.2342115, 2.5630652 36.2341098, 2.5629833 36.2340876)",,,
189615276,residential,False,True,200.369,,"LINESTRING (2.561779 36.2344505, 2.5618931 36.2346182, 2.5614911 36.2348381, 2.5610348 36.2341877, 2.5609006 36.2339692, 2.5607985 36.2337569)",,,
1206030176,secondary,True,False,4.087,,"LINESTRING (2.5703425 36.2318192, 2.5703198 36.2318199, 2.5702972 36.2318172)",,roundabout,
189615298,residential,False,True,34.833,,"LINESTRING (2.5654953 36.2344668, 2.5654682 36.2341543)",,,
189615254,residential,False,False,224.00499999999997,,"LINESTRING (2.5654953 36.2344668, 2.5654022 36.2344129, 2.5651734 36.2342807, 2.5650451 36.2341891, 2.5649293 36.234073, 2.5645753 36.2336511, 2.5641689 36.2331232, 2.5640671 36.2329964, 2.5640343 36.2329506, 2.5639904 36.2328867)",,,
189615300,unclassified,False,True,143.434,,"LINESTRING (2.5654953 36.2344668, 2.5659297 36.23472, 2.5661925 36.2348671, 2.5663749 36.2350315, 2.5664983 36.235196, 2.5665787 36.2353711)",,,
1206854405,residential,False,False,39.532,,"LINESTRING (2.5676028 36.230997, 2.5673615 36.2306995)",,,
189615278,residential,False,False,43.757000000000005,,"LINESTRING (2.5676028 36.230997, 2.5673514 36.2311111, 2.5674613 36.2312453)",,,
"[189615265, 189615278]",residential,False,True,58.832,,"LINESTRING (2.5676028 36.230997, 2.5677353 36.2311147, 2.5677765 36.2311144, 2.5680274 36.2313837)",,,
189615266,residential,False,False,22.582,,"LINESTRING (2.5625106 36.2308006, 2.5622589 36.230796)",,,
189615266,residential,False,True,20.004,,"LINESTRING (2.5625106 36.2308006, 2.5627332 36.2308117)",,,
189615275,residential,False,False,52.563,,"LINESTRING (2.5625106 36.2308006, 2.5625604 36.2303296)",شارع الشهيد بونوة جيلالي,,
189615288,residential,False,True,132.075,,"LINESTRING (2.5654318 36.2336807, 2.5669034 36.2336381)",,,
189615298,residential,False,True,72.526,,"LINESTRING (2.5654318 36.2336807, 2.5653883 36.2330294)",,,
189615298,residential,False,False,52.765,,"LINESTRING (2.5654318 36.2336807, 2.565447 36.2339086, 2.5654682 36.2341543)",,,
189615262,residential,False,False,130.906,,"LINESTRING (2.5653883 36.2330294, 2.5668402 36.2331494)",,,
189615298,residential,False,False,72.526,,"LINESTRING (2.5653883 36.2330294, 2.5654318 36.2336807)",,,
189615298,residential,False,True,7.254,,"LINESTRING (2.5653883 36.2330294, 2.5653853 36.2329848, 2.5653873 36.2329643)",,,
189615265,residential,False,False,10.635,,"LINESTRING (2.5680974 36.2314609, 2.5680274 36.2313837)",,,
189615265,residential,False,True,32.882,,"LINESTRING (2.5680974 36.2314609, 2.5679103 36.2317152)",,,
