osmid,oneway,ref,highway,maxspeed,reversed,length,geometry
385932772,False,CW 132,secondary,80,False,32.158,"LINESTRING (6.5135794 37.0041522, 6.5134579 37.0040394, 6.5133626 37.0039214)"
385932772,False,CW 132,secondary,80,True,140.631,"LINESTRING (6.5135794 37.0041522, 6.5136616 37.0041942, 6.5137733 37.0042257, 6.5139408 37.0042572, 6.5143449 37.0043201, 6.5144895 37.0043516, 6.514772 37.0044435, 6.5150447 37.0045904)"
385932796,False,,residential,,True,159.60799999999998,"LINESTRING (6.5135794 37.0041522, 6.5135011 37.0041574, 6.513135 37.0043503, 6.5128957 37.0044427, 6.5126843 37.0044713, 6.5123811 37.0044522, 6.5119065 37.0043375)"
1018738923,False,CW 7,secondary,,False,125.61500000000001,"LINESTRING (6.5135794 37.0041522, 6.5135059 37.0050417, 6.5134536 37.0051691, 6.5133879 37.0052591)"
385932772,False,CW 132,secondary,80,True,129.186,"LINESTRING (6.5119762 37.0029978, 6.5122818 37.003276, 6.5124 37.003373, 6.5125183 37.0034412, 6.5126628 37.0035068, 6.5129618 37.003638, 6.5131031 37.0037115)"
385932798,False,,unclassified,,False,222.57800000000003,"LINESTRING (6.5119762 37.0029978, 6.5117485 37.0028314, 6.5114494 37.0026626, 6.5111981 37.0025766, 6.5109947 37.0025671, 6.5108192 37.0026021, 6.5107115 37.0026817, 6.5106596 37.0027996, 6.510536 37.0034876)"
385932772,False,CW 132,secondary,80,False,215.23000000000002,"LINESTRING (6.5159678 37.0054299, 6.515804 37.0054791, 6.5155993 37.0055483, 6.5152681 37.0056883, 6.515204 37.0057001, 6.5151399 37.0056988, 6.5150874 37.0056805, 6.5150315 37.0056437, 6.5150151 37.0056057, 6.5150151 37.0055322, 6.5151169 37.0053565, 6.5151482 37.0052974, 6.5151712 37.0052108, 6.5151958 37.0049498, 6.5151827 37.0048003, 6.5151268 37.0046743, 6.5150447 37.0045904)"
385932772,False,CW 132,secondary,80,True,203.763,"LINESTRING (6.5159678 37.0054299, 6.5160631 37.0054076, 6.516165 37.0053997, 6.5163801 37.0054024, 6.5166183 37.0054273, 6.5168532 37.0054758, 6.5170783 37.0055585, 6.5172392 37.0056149, 6.5174117 37.0056647, 6.5175136 37.005691, 6.5176384 37.0057172, 6.5177287 37.0057277, 6.5178437 37.0057277, 6.5181854 37.0056857)"
297015258,False,,residential,,False,363.081,"LINESTRING (6.5150447 37.0045904, 6.5146831 37.0042985, 6.5145466 37.0042482, 6.5144023 37.0041623, 6.514279 37.0040596, 6.5141871 37.0039758, 6.514006 37.0039443, 6.5137594 37.0038961, 6.5136833 37.0037264, 6.5136728 37.0036069, 6.5136623 37.0034204, 6.5137673 37.0027813, 6.5138066 37.0026052, 6.5138565 37.0024585, 6.5139195 37.0023433, 6.5139509 37.002163, 6.5139562 37.0020289, 6.5139733 37.0019477)"
385932772,False,CW 132,secondary,80,False,140.631,"LINESTRING (6.5150447 37.0045904, 6.514772 37.0044435, 6.5144895 37.0043516, 6.5143449 37.0043201, 6.5139408 37.0042572, 6.5137733 37.0042257, 6.5136616 37.0041942, 6.5135794 37.0041522)"
