osmid,oneway,ref,highway,reversed,length,geometry,lanes,name
381500283,True,CW 12,secondary,False,57.418,"LINESTRING (0.1610385 35.2490935, 0.1605331 35.2494038)",,
448506575,False,CW 12,secondary,True,53.204,"LINESTRING (0.1610385 35.2490935, 0.1613985 35.249471)",,
190447776,False,,residential,False,91.924,"LINESTRING (0.1605331 35.2494038, 0.1597237 35.2499003)",,
381500284,True,CW 12,secondary,False,76.521,"LINESTRING (0.1605331 35.2494038, 0.1600092 35.2488648)",,
1257688079,False,,residential,True,53.014,"LINESTRING (0.1605331 35.2494038, 0.1608521 35.2498031)",,
190447790,False,,residential,True,89.897,"LINESTRING (0.1591033 35.2479013, 0.158312 35.2483871)",,
381500282,False,,residential,False,60.829,"LINESTRING (0.1591033 35.2479013, 0.1596519 35.2475874)",,
460592789,False,,residential,True,58.032,"LINESTRING (0.1591033 35.2479013, 0.1594924 35.2483153)",,
190562233,False,,residential,True,126.104,"LINESTRING (0.1591033 35.2479013, 0.1589251 35.2476568, 0.1580857 35.2481586)",,
190447791,False,,residential,False,61.707,"LINESTRING (0.1596519 35.2475874, 0.1601898 35.2472483)",,
190562127,False,,secondary,True,55.045,"LINESTRING (0.1596519 35.2475874, 0.1600271 35.2479762)",,
363962748,False,CW 12,secondary,False,83.859,"LINESTRING (0.1596519 35.2475874, 0.1591009 35.2469822)",,
381500282,False,,residential,True,60.829,"LINESTRING (0.1596519 35.2475874, 0.1591033 35.2479013)",,
363962748,False,CW 12,secondary,False,11.427,"LINESTRING (0.1586648 35.2464398, 0.1585492 35.2463992)",,
363962748,False,CW 12,secondary,True,60.27,"LINESTRING (0.1586648 35.2464398, 0.159023 35.2468961)",,
460575347,False,,residential,False,111.45599999999999,"LINESTRING (0.1586648 35.2464398, 0.1584241 35.2464508, 0.1576471 35.2469469)",,
190562235,False,,residential,False,48.158,"LINESTRING (0.1564943 35.245446, 0.1562133 35.2458133)",,
190562235,False,,residential,True,38.03,"LINESTRING (0.1564943 35.245446, 0.1566945 35.2451456)",,
363962748,False,CW 12,secondary,False,15.959,"LINESTRING (0.1564943 35.245446, 0.1563422 35.2453741)",,
363962748,False,CW 12,secondary,True,63.845,"LINESTRING (0.1564943 35.245446, 0.1571085 35.2457254)",,
381500284,True,CW 12,secondary,False,77.044,"LINESTRING (0.1600092 35.2488648, 0.1594924 35.2483153)",,
1016450375,False,CW 31,secondary,False,121.147,"LINESTRING (0.1600092 35.2488648, 0.1610774 35.2482121)",2,
1016450375,False,CW 31,secondary,True,88.626,"LINESTRING (0.1600092 35.2488648, 0.1592334 35.2493484)",2,
190447786,False,,residential,True,21.486,"LINESTRING (0.1616848 35.2445808, 0.1618489 35.2444416)",,
460575346,False,,residential,False,5.552,"LINESTRING (0.1616848 35.2445808, 0.1616333 35.2445539)",,
