osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,bridge
195062094,False,2,tertiary,40,False,33.297,"LINESTRING (2.4731121 36.3698709, 2.4733066 36.3699511, 2.4734499 36.3699951)",,
437220196,False,2,primary,40,False,22.698,"LINESTRING (2.4731121 36.3698709, 2.4731641 36.3700159, 2.4731635 36.3700691)",RN 125,
437220196,False,2,primary,40,True,37.761,"LINESTRING (2.4731121 36.3698709, 2.4729238 36.3697203, 2.4728136 36.369631)",RN 125,
195062095,False,,residential,,False,74.136,"LINESTRING (2.4770827 36.3698238, 2.4764697 36.3693756)",,
195062095,False,,residential,,True,74.324,"LINESTRING (2.4770827 36.3698238, 2.4776845 36.3702842)",,
437220196,False,2,primary,40,False,87.447,"LINESTRING (2.4770827 36.3698238, 2.4777364 36.3692395)",RN 125,
437220196,False,2,primary,40,True,50.616,"LINESTRING (2.4770827 36.3698238, 2.476699 36.3701581)",RN 125,
437220196,False,2,primary,40,True,70.268,"LINESTRING (2.4782617 36.36877, 2.4777364 36.3692395)",RN 125,
195062089,False,,residential,,False,101.613,"LINESTRING (2.4782617 36.36877, 2.4778648 36.3685113, 2.4772709 36.3686661)",,
195062089,False,,residential,,True,145.809,"LINESTRING (2.4782617 36.36877, 2.4788814 36.36925, 2.4783574 36.3697028)",,
195062103,False,2,tertiary,40,False,17.895,"LINESTRING (2.472842 36.3721693, 2.4728345 36.3722491, 2.4728679 36.3723254)",,
437220196,False,2,primary,40,False,14.768999999999998,"LINESTRING (2.472842 36.3721693, 2.4729171 36.3722409, 2.4729569 36.3722633)",RN 125,
437220196,False,2,primary,40,True,222.97099999999998,"LINESTRING (2.472842 36.3721693, 2.4727831 36.372037, 2.4727314 36.3718045, 2.4727095 36.3717191, 2.4727284 36.3714567, 2.4727061 36.3709825, 2.472715 36.370808, 2.4727544 36.3706838, 2.4728423 36.3705803, 2.4730634 36.3703657, 2.4731226 36.3702814)",RN 125,
195062089,False,,residential,,True,70.865,"LINESTRING (2.474682 36.3719153, 2.4741154 36.3714703)",,
437220196,False,2,primary,40,False,71.814,"LINESTRING (2.474682 36.3719153, 2.4752264 36.371441)",RN 125,
195062089,False,,residential,,False,149.49200000000002,"LINESTRING (2.474682 36.3719153, 2.4752253 36.3723717, 2.4753638 36.372378, 2.4758362 36.3719133)",,
