osmid,oneway,highway,reversed,length,ref,geometry,maxspeed,junction,tunnel
581725373,True,primary,False,21.223,,"LINESTRING (3.447942 36.754668, 3.4477221 36.7547414)",,,
28839881,False,primary,False,56.934,RN 24,"LINESTRING (3.4424411 36.7557936, 3.4418037 36.7557566)",,,
28839881,False,primary,True,54.052,RN 24,"LINESTRING (3.4424411 36.7557936, 3.4430457 36.7558342)",,,
67805678,False,secondary,True,196.644,,"LINESTRING (3.4424411 36.7557936, 3.4426206 36.754031)",,,
28839881,False,primary,False,61.30500000000001,RN 24,"LINESTRING (3.4473781 36.7551084, 3.4472487 36.7552332, 3.4471925 36.7552874, 3.4468596 36.7554617)",,,
28840202,True,primary,False,43.348,,"LINESTRING (3.4473781 36.7551084, 3.4474802 36.7548619, 3.4475321 36.7547386)",,,
28840175,True,primary,False,51.156000000000006,,"LINESTRING (3.4477221 36.7547414, 3.4475719 36.754876, 3.4473781 36.7551084)",,,
28840179,True,primary,False,20.2,,"LINESTRING (3.4477221 36.7547414, 3.4476965 36.7547642, 3.4476626 36.7547788, 3.4476077 36.7547817, 3.4475717 36.7547709, 3.4475321 36.7547386)",30,roundabout,
28840179,True,primary,False,8.45,,"LINESTRING (3.4475321 36.7547386, 3.4475191 36.7547097, 3.447524 36.7546646)",30,roundabout,
28840179,True,primary,False,13.895000000000001,,"LINESTRING (3.447524 36.7546646, 3.4475431 36.7546379, 3.4475724 36.754618, 3.4476108 36.7546071, 3.4476492 36.7546076)",30,roundabout,
28840190,True,motorway_link,False,193.20999999999998,,"LINESTRING (3.447524 36.7546646, 3.447507 36.7544493, 3.4475242 36.753741, 3.4474493 36.7529298)",,,
67805678,False,secondary,False,196.644,,"LINESTRING (3.4426206 36.754031, 3.4424411 36.7557936)",,,
67805678,False,secondary,True,7.729,,"LINESTRING (3.4426206 36.754031, 3.4426124 36.7539618)",,,
123937205,False,residential,False,54.013,,"LINESTRING (3.4426206 36.754031, 3.4432259 36.7540584)",,,
123937205,False,residential,True,56.408,,"LINESTRING (3.4426206 36.754031, 3.4419889 36.7539967)",,,
180989086,False,residential,False,75.315,,"LINESTRING (3.4430029 36.7515577, 3.4424691 36.7520829)",,,
180989086,False,residential,True,88.082,,"LINESTRING (3.4430029 36.7515577, 3.4436257 36.7509425)",,,
180989088,False,residential,False,39.854,,"LINESTRING (3.4430029 36.7515577, 3.4433535 36.7517803)",,,
180989076,False,residential,True,73.351,,"LINESTRING (3.4440475 36.7522268, 3.4445427 36.7516998)",,,
180989088,False,residential,True,41.891,,"LINESTRING (3.4440475 36.7522268, 3.4436804 36.7519914)",,,
180989076,False,residential,False,86.667,,"LINESTRING (3.4440475 36.7522268, 3.443613 36.7526673, 3.4434678 36.7528516)",,,
180989039,False,residential,False,37.434,,"LINESTRING (3.4443015 36.7513715, 3.4439738 36.7511608)",,,
180989039,False,residential,True,38.825,,"LINESTRING (3.4443015 36.7513715, 3.4446413 36.7515901)",,,
180989090,False,residential,False,88.393,,"LINESTRING (3.4443015 36.7513715, 3.4436804 36.7519914)",,,
180989039,False,residential,False,5.785,,"LINESTRING (3.4439738 36.7511608, 3.4439227 36.7511287)",,,
180989039,False,residential,True,37.434,,"LINESTRING (3.4439738 36.7511608, 3.4443015 36.7513715)",,,
180989061,False,residential,False,88.314,,"LINESTRING (3.4439738 36.7511608, 3.4433535 36.7517803)",,,
