osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,ref,width,junction,tunnel
26002780,Rue Saadi et Mokhtar Ben Hafidh,residential,False,True,60.562,,,"LINESTRING (3.0634418 36.7846303, 3.0640069 36.7849333)",,,,
82561327,Avenue du 1e Novembre,primary,True,False,64.344,2,30,"LINESTRING (3.0634418 36.7846303, 3.0633422 36.7847945, 3.0633161 36.7848571, 3.0632987 36.7849217, 3.0632903 36.7849873, 3.0632909 36.7850534, 3.0633006 36.7851189, 3.0633193 36.7851832)",,,,
26002651,Avenue du 1e Novembre,primary,True,False,155.243,2,40,"LINESTRING (3.0634782 36.7858514, 3.0634778 36.7858732, 3.0632077 36.7872304)",,,,
82561321,Boulevard Amara Rachid,primary,False,False,38.329,3,40,"LINESTRING (3.0628059 36.7890649, 3.0630919 36.7888073)",RN 11,,,
26002651,Avenue du 1e Novembre,primary,True,False,106.477,2,40,"LINESTRING (3.0632077 36.7872304, 3.0629978 36.7881731)",,,,
"[26002941, 342152829]",Rue Mohamed Aliouane,residential,False,False,91.988,,30,"LINESTRING (3.0632077 36.7872304, 3.0632788 36.7872353, 3.0635666 36.7872715, 3.0637141 36.7873016, 3.0639759 36.7874054, 3.0641422 36.7875279)",,,,
26002696,,residential,True,False,66.485,,30,"LINESTRING (3.0640069 36.7849333, 3.0636232 36.7854462)",,8,,
26002780,Rue Saadi et Mokhtar Ben Hafidh,residential,False,False,60.562,,,"LINESTRING (3.0640069 36.7849333, 3.0634418 36.7846303)",,,,
26002780,Rue Saadi et Mokhtar Ben Hafidh,residential,False,True,74.92500000000001,,,"LINESTRING (3.0640069 36.7849333, 3.0644808 36.7851806, 3.064567 36.7852456, 3.0646627 36.7853456)",,,,
781149442,Rue Benyoucef Bouguerra,residential,False,False,35.937,,,"LINESTRING (3.0647668 36.7860075, 3.0650809 36.7858046)",,,,
26002697,Rue El Mourabitoune,residential,True,False,48.515,,,"LINESTRING (3.0647668 36.7860075, 3.0644807 36.7857965, 3.064365 36.7857438, 3.0643452 36.7857348)",,,,
26002696,,residential,True,False,47.081,,30,"LINESTRING (3.0636232 36.7854462, 3.0635899 36.7854949, 3.063575 36.7855281, 3.0635366 36.7856683, 3.0635081 36.7857695, 3.0634782 36.7858514)",,8,,
555963054,Avenue du 1er Novembre,secondary,False,True,15.018,2,30,"LINESTRING (3.0629978 36.7881731, 3.062836 36.7882112)",,,,
231926625,Avenue du 1er Novembre,secondary,False,False,94.62299999999999,4,30,"LINESTRING (3.0629978 36.7881731, 3.0631185 36.7881441, 3.0638856 36.78794, 3.064009 36.7879121)",,,,
231926639,Avenue du 1e Novembre,primary,True,False,65.338,2,40,"LINESTRING (3.0629978 36.7881731, 3.0629663 36.7883171, 3.0628713 36.7887519)",,,,
26002780,Rue Saadi et Mokhtar Ben Hafidh,residential,False,True,63.182,,,"LINESTRING (3.0646627 36.7853456, 3.0650809 36.7858046)",,,,
1267559569,,residential,True,False,51.695,,,"LINESTRING (3.0646627 36.7853456, 3.0643452 36.7857348)",,,,
26002780,Rue Saadi et Mokhtar Ben Hafidh,residential,False,False,74.92500000000001,,,"LINESTRING (3.0646627 36.7853456, 3.064567 36.7852456, 3.0644808 36.7851806, 3.0640069 36.7849333)",,,,
231926625,Avenue du 1er Novembre,secondary,False,True,21.53,4,30,"LINESTRING (3.064237 36.7878477, 3.064009 36.7879121)",,,,
82561321,Boulevard Amara Rachid,primary,False,True,147.706,3,40,"LINESTRING (3.064237 36.7878477, 3.0635682 36.7883752, 3.0633134 36.7885943, 3.0630919 36.7888073)",RN 11,,,
26026721,Rue Freres Kara,primary,True,False,83.748,,,"LINESTRING (3.062489 36.7812851, 3.0624413 36.7810648, 3.0623284 36.780543)",,,,
"[26023411, 26023428]","['شارع علي بومنجل', 'شارع عبان رمضان']",secondary,True,False,10.081,2,30,"LINESTRING (3.0604054 36.7806091, 3.060348 36.7806313, 3.0603012 36.7806441)",,,,
26023413,Rue de la Liberté,residential,False,False,41.369,,,"LINESTRING (3.0609588 36.7805485, 3.0607777 36.7802059)",,,,
26023455,Rue Kessentini,secondary,True,False,58.842,2,40,"LINESTRING (3.0609588 36.7805485, 3.0614637 36.7803842, 3.0615728 36.7803533)",,,,
26023450,Rue Cdt Djouadi,tertiary,True,False,140.88500000000002,,,"LINESTRING (3.0591636 36.7805343, 3.0592002 36.7806017, 3.0594162 36.7811317, 3.0594984 36.7813167, 3.0595756 36.7814831, 3.0596922 36.781728)",,,,
26609700,Rue Debbih Cherif,tertiary,False,True,39.54,2,,"LINESTRING (3.0591636 36.7805343, 3.059071 36.780607, 3.058989 36.7806531, 3.0588994 36.7806652, 3.0587809 36.780638)",,,,
26023454,Place Ahmed Bouzrina,residential,True,False,15.522,,,"LINESTRING (3.0596922 36.781728, 3.0595305 36.7817801)",,,,
"[26023452, 1243451180]",Rue Arezki Bouzrina,tertiary,True,False,283.1359999999999,,,"LINESTRING (3.0596922 36.781728, 3.0598732 36.782076, 3.0599424 36.7822283, 3.0600955 36.7825644, 3.0601313 36.7826426, 3.0602291 36.782886, 3.0602758 36.7829864, 3.0603291 36.7831012, 3.0603385 36.7831215, 3.0604289 36.7833084, 3.0604389 36.7833295, 3.0606038 36.7836766, 3.0606378 36.7837512, 3.0607113 36.7839185, 3.0607956 36.7841153)",,,,
1072524488,شارع عبان رمضان,secondary,True,False,18.702,2,,"LINESTRING (3.0611497 36.7813922, 3.0610003 36.781274)",,,,
26023458,شارع عبان رمضان,secondary,True,False,14.805,2,,"LINESTRING (3.0605109 36.780712, 3.0604054 36.7806091)",,,,
26023455,Rue Kessentini,secondary,True,False,43.992000000000004,2,40,"LINESTRING (3.0605109 36.780712, 3.0606123 36.7806593, 3.0606352 36.7806519, 3.0606794 36.7806378, 3.0609588 36.7805485)",,,,
"[25966398, 26002687]","['Boulevard Ernesto Che Guevara', 'Boulevard Zighoud Youcef']",primary,False,True,95.62400000000001,4,,"LINESTRING (3.0615728 36.7803533, 3.0617721 36.7808246, 3.0618095 36.7809196, 3.0618348 36.7809841, 3.0619036 36.7811713)",,,,
26002687,Boulevard Ernesto Che Guevara,primary,False,True,61.105,4,,"LINESTRING (3.0619036 36.7811713, 3.0620779 36.7817028)",,,,
"[25966398, 26002687]","['Boulevard Ernesto Che Guevara', 'Boulevard Zighoud Youcef']",primary,False,False,95.62400000000001,4,,"LINESTRING (3.0619036 36.7811713, 3.0618348 36.7809841, 3.0618095 36.7809196, 3.0617721 36.7808246, 3.0615728 36.7803533)",,,,
26023459,Rue Frères Oukid,secondary,True,False,36.596000000000004,2,,"LINESTRING (3.0619036 36.7811713, 3.0618225 36.7811996, 3.061518 36.7812846)",,,,
26023975,Rue Aroub Rabah,residential,False,False,57.593,,,"LINESTRING (3.0608348 36.7818269, 3.0607918 36.7816242, 3.060758 36.7814931, 3.0607275 36.7813163)",,,,
26024127,Rue Mohamed Touri,residential,False,False,64.988,,,"LINESTRING (3.0600211 36.781459, 3.0604971 36.7813468, 3.0607275 36.7813163)",,,,
1072524488,شارع عبان رمضان,secondary,True,False,8.863,2,,"LINESTRING (3.0610003 36.781274, 3.0609395 36.7812109)",,,,
26024127,Rue Mohamed Touri,residential,False,True,24.75,,,"LINESTRING (3.0610003 36.781274, 3.060954 36.7812827, 3.0607275 36.7813163)",,,,
26023975,Rue Aroub Rabah,residential,False,True,57.593,,,"LINESTRING (3.0607275 36.7813163, 3.060758 36.7814931, 3.0607918 36.7816242, 3.0608348 36.7818269)",,,,
26024127,Rue Mohamed Touri,residential,False,False,24.75,,,"LINESTRING (3.0607275 36.7813163, 3.060954 36.7812827, 3.0610003 36.781274)",,,,
26024127,Rue Mohamed Touri,residential,False,True,64.988,,,"LINESTRING (3.0607275 36.7813163, 3.0604971 36.7813468, 3.0600211 36.781459)",,,,
26025116,Rue Azouz Ben Bachir,residential,True,False,54.244,,,"LINESTRING (3.0602035 36.7803686, 3.0607777 36.7802059)",,,,
26023411,شارع عبان رمضان,secondary,True,False,32.370000000000005,2,30,"LINESTRING (3.0602035 36.7803686, 3.060316 36.7804821, 3.0603586 36.7805318, 3.0604054 36.7806091)",,,,
26023413,Rue de la Liberté,residential,False,True,41.369,,,"LINESTRING (3.0607777 36.7802059, 3.0609588 36.7805485)",,,,
26025882,Rue Saïd Bekel,residential,False,False,30.497,,,"LINESTRING (3.0596867 36.7805405, 3.0598115 36.7807959)",,,,
26025937,Rue parc,residential,False,False,36.719,,,"LINESTRING (3.0596867 36.7805405, 3.0600488 36.7803826)",,,,
26025882,Rue Saïd Bekel,residential,False,True,30.497,,,"LINESTRING (3.0598115 36.7807959, 3.0596867 36.7805405)",,,,
26025925,Rue Mohamed Khennache,residential,False,False,45.497,,,"LINESTRING (3.0598115 36.7807959, 3.0602831 36.7806386)",,,,
"[26025912, 26025882]","['Rue Abderrahmane Nait Merzouk', 'Rue Saïd Bekel']",residential,False,"[False, True]",93.59899999999999,,,"LINESTRING (3.0598115 36.7807959, 3.0599269 36.7810457, 3.0599552 36.7810836, 3.0600016 36.7810831, 3.060535 36.7809113, 3.0605751 36.7809014)",,,,
26026025,Rue Aïboud Abderahmane,residential,False,False,59.334,,,"LINESTRING (3.061518 36.7812846, 3.0617111 36.7817953)",,,,
26023459,Rue Frères Oukid,secondary,True,False,34.914,2,,"LINESTRING (3.061518 36.7812846, 3.0612429 36.781365, 3.0611497 36.7813922)",,,,
268729636,Rue Aïboud Abderahmane,residential,False,False,39.614,,30,"LINESTRING (3.0620028 36.7827171, 3.062118 36.7830612)",,,,
268729636,Rue Aïboud Abderahmane,residential,False,True,36.466,,30,"LINESTRING (3.0620028 36.7827171, 3.0619073 36.7823982)",,,,
312718389,Rue Makhlouf,residential,True,False,35.19,,,"LINESTRING (3.0620028 36.7827171, 3.0623752 36.7826113)",,,,
26026142,Rue Boukheloufa,residential,False,False,15.691,,30,"LINESTRING (3.0623777 36.7838954, 3.0625538 36.7839)",,,,
26026142,Rue Boukheloufa,residential,False,True,22.044,,30,"LINESTRING (3.0623777 36.7838954, 3.0621302 36.7838923)",,,,
268729636,Rue Aïboud Abderahmane,residential,False,True,41.776,,30,"LINESTRING (3.0623777 36.7838954, 3.0622702 36.7835297)",,,,
26023537,Rue Bab Azzoun,tertiary,True,False,35.351,2,,"LINESTRING (3.0613723 36.7818788, 3.0612357 36.7815803)",,,,
26026025,Rue Aïboud Abderahmane,residential,False,True,59.334,,,"LINESTRING (3.0617111 36.7817953, 3.061518 36.7812846)",,,,
26026075,Rue Smaïl Kerrar,residential,True,False,31.569,,,"LINESTRING (3.0617111 36.7817953, 3.0613723 36.7818788)",,,,
268729633,Rue Aïboud Abderahmane,residential,False,False,35.873,,,"LINESTRING (3.0617111 36.7817953, 3.0618131 36.7821074)",,,,
268729634,Rue Smaïl Kerrar,residential,True,False,34.248,,,"LINESTRING (3.0617111 36.7817953, 3.0620779 36.7817028)",,,,
26002687,Boulevard Ernesto Che Guevara,primary,False,False,61.105,4,,"LINESTRING (3.0620779 36.7817028, 3.0619036 36.7811713)",,,,
26002687,Boulevard Ernesto Che Guevara,primary,False,True,35.297,4,,"LINESTRING (3.0620779 36.7817028, 3.0621753 36.7820105)",,,,
26026109,Rue Silkhider,residential,True,False,29.745,,,"LINESTRING (3.0614949 36.7821887, 3.0618131 36.7821074)",,,,
26023537,Rue Bab Azzoun,tertiary,True,False,36.147999999999996,2,,"LINESTRING (3.0614949 36.7821887, 3.0614379 36.7820447, 3.0613723 36.7818788)",,,,
26026109,Rue Silkhider,residential,True,False,34.009,,,"LINESTRING (3.0618131 36.7821074, 3.0621753 36.7820105)",,,,
268729633,Rue Aïboud Abderahmane,residential,False,False,33.406,,,"LINESTRING (3.0618131 36.7821074, 3.0619073 36.7823982)",,,,
268729633,Rue Aïboud Abderahmane,residential,False,True,35.873,,,"LINESTRING (3.0618131 36.7821074, 3.0617111 36.7817953)",,,,
