osmid,ref,highway,oneway,reversed,length,geometry,maxspeed,name
508496169,RN 74,primary,False,False,124.947,"LINESTRING (4.8603559 36.4444678, 4.8600125 36.4446641, 4.8597819 36.4447396, 4.8595968 36.4447526, 4.8593983 36.4447289, 4.8590738 36.4446469)",,
508496169,RN 74,primary,False,True,223.68900000000002,"LINESTRING (4.8603559 36.4444678, 4.8605597 36.4442628, 4.8606348 36.4441312, 4.8606697 36.4439435, 4.8606563 36.4437277, 4.8604953 36.4432811, 4.8604417 36.4430998, 4.8604417 36.4429855, 4.8604766 36.4428495, 4.8605865 36.4426575, 4.8606428 36.4425884)",,
508496169,RN 74,primary,False,False,408.17499999999995,"LINESTRING (4.8590738 36.4446469, 4.8587921 36.4445066, 4.8585936 36.4443728, 4.8584354 36.4442455, 4.8581888 36.4440463, 4.8581082 36.4440017, 4.8580411 36.4439823, 4.8579526 36.443965, 4.8578051 36.4439413, 4.8576683 36.4439197, 4.8574537 36.4438701, 4.857282 36.4438183, 4.8571077 36.4437406, 4.8569655 36.4436543, 4.8558229 36.4430178, 4.8557076 36.442966, 4.8556164 36.4429445, 4.8554984 36.4429294, 4.8551711 36.4429013)",,
508496169,RN 74,primary,False,True,124.947,"LINESTRING (4.8590738 36.4446469, 4.8593983 36.4447289, 4.8595968 36.4447526, 4.8597819 36.4447396, 4.8600125 36.4446641, 4.8603559 36.4444678)",,
508496169,RN 74,primary,False,False,179.00500000000002,"LINESTRING (4.8551711 36.4429013, 4.8549646 36.4428776, 4.8541197 36.4427999, 4.853932 36.4427891, 4.8538327 36.4427913, 4.8537442 36.4428021, 4.8536503 36.4428366, 4.8532619 36.4430377)",,
508496169,RN 74,primary,False,True,408.17499999999995,"LINESTRING (4.8551711 36.4429013, 4.8554984 36.4429294, 4.8556164 36.4429445, 4.8557076 36.442966, 4.8558229 36.4430178, 4.8569655 36.4436543, 4.8571077 36.4437406, 4.857282 36.4438183, 4.8574537 36.4438701, 4.8576683 36.4439197, 4.8578051 36.4439413, 4.8579526 36.443965, 4.8580411 36.4439823, 4.8581082 36.4440017, 4.8581888 36.4440463, 4.8584354 36.4442455, 4.8585936 36.4443728, 4.8587921 36.4445066, 4.8590738 36.4446469)",,
97883993,,residential,True,False,132.58499999999998,"LINESTRING (4.8532619 36.4430377, 4.853846 36.4426621, 4.8540606 36.4425231, 4.8542033 36.4423883, 4.8543279 36.4422244)",,
508496169,RN 74,primary,False,False,68.826,"LINESTRING (4.8532619 36.4430377, 4.8531606 36.4430868, 4.8529074 36.4432142, 4.8527008 36.4433091, 4.8525935 36.4433415)",,
508496169,RN 74,primary,False,True,179.005,"LINESTRING (4.8532619 36.4430377, 4.8536503 36.4428366, 4.8537442 36.4428021, 4.8538327 36.4427913, 4.853932 36.4427891, 4.8541197 36.4427999, 4.8549646 36.4428776, 4.8551711 36.4429013)",,
97883990,,residential,False,False,22.445,"LINESTRING (4.850622 36.4414182, 4.850474 36.4412552)",40,
