osmid,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,junction
431860240,residential,False,True,66.315,,,,"LINESTRING (6.928892 35.4918519, 6.9283566 35.4914449)",
825769936,primary,False,False,109.166,2,RN 88,40,"LINESTRING (6.928892 35.4918519, 6.9279836 35.4924975)",
431860237,residential,False,True,56.132000000000005,,,,"LINESTRING (6.9244162 35.4949153, 6.9245617 35.495345, 6.9245922 35.4953986)",
825769936,primary,False,True,104.947,2,RN 88,40,"LINESTRING (6.9244162 35.4949153, 6.9246663 35.4947975, 6.9249481 35.494654, 6.9253693 35.4943816)",
1211246903,primary,True,False,16.677,2,RN 88,,"LINESTRING (6.9244162 35.4949153, 6.924392 35.4949473, 6.9243705 35.4949804, 6.924352 35.4950147, 6.9243365 35.49505)",
330423193,residential,False,False,67.62,,,,"LINESTRING (6.9249908 35.4923683, 6.9255237 35.4927944)",
330423193,residential,False,True,72.246,,,,"LINESTRING (6.9249908 35.4923683, 6.9247144 35.4929778)",
330423195,residential,False,True,24.046,,,,"LINESTRING (6.9249908 35.4923683, 6.9248279 35.4921975)",
330423193,residential,False,True,88.402,,,,"LINESTRING (6.926485 35.4935834, 6.9257973 35.493019)",
825769936,primary,False,False,74.563,2,RN 88,40,"LINESTRING (6.926485 35.4935834, 6.9258664 35.4940261)",
825769936,primary,False,True,23.73,2,RN 88,40,"LINESTRING (6.926485 35.4935834, 6.9266789 35.4934398)",
330423195,residential,False,False,24.046,,,,"LINESTRING (6.9248279 35.4921975, 6.9249908 35.4923683)",
330529690,residential,False,True,18.726,,,,"LINESTRING (6.9248279 35.4921975, 6.9246211 35.4922007)",
330540565,residential,False,False,101.1,,,,"LINESTRING (6.9248279 35.4921975, 6.9238228 35.4925937)",
330423195,residential,False,True,99.39,,,,"LINESTRING (6.9248279 35.4921975, 6.9242992 35.4917336, 6.9240952 35.4915323)",
330423198,residential,False,False,13.934,,,,"LINESTRING (6.9235978 35.4926839, 6.923472 35.4927561)",
330540565,residential,False,True,22.705,,,,"LINESTRING (6.9235978 35.4926839, 6.9238228 35.4925937)",
"[330423196, 330423197]",residential,False,False,115.398,,,,"LINESTRING (6.9235978 35.4926839, 6.9235546 35.4926187, 6.9246211 35.4922007)",
330529690,residential,False,False,18.726,,,,"LINESTRING (6.9246211 35.4922007, 6.9248279 35.4921975)",
497469502,residential,False,False,88.266,,,,"LINESTRING (6.9246211 35.4922007, 6.9240952 35.4915323)",
"[330423196, 330423197]",residential,False,True,115.398,,,,"LINESTRING (6.9246211 35.4922007, 6.9235546 35.4926187, 6.9235978 35.4926839)",
330423198,residential,False,False,39.174,,,,"LINESTRING (6.9231265 35.4930184, 6.9235469 35.492935)",
