osmid,oneway,highway,maxspeed,reversed,length,geometry,ref,name,junction
192992517,True,tertiary,30,False,19.909,"LINESTRING (3.2729965 32.9414472, 3.2731231 32.941414, 3.2731701 32.9414039, 3.2732016 32.9413983)",,,
380272577,False,tertiary,,True,60.218,"LINESTRING (3.2740218 32.9414315, 3.2746668 32.941415)",,,
363642354,True,tertiary,30,False,17.91,"LINESTRING (3.2740218 32.9414315, 3.2739026 32.9414666, 3.2738708 32.9414728, 3.2738381 32.9414762)",,,
384999991,True,tertiary,30,False,22.076999999999998,"LINESTRING (3.273228 32.9414867, 3.2731774 32.9414821, 3.2731298 32.9414748, 3.2729965 32.9414472)",,,
384999988,True,secondary,30,False,25.888,"LINESTRING (3.2734499 32.9417595, 3.2734466 32.9415267)",CW 232,حاسي الرمل,
363642363,True,secondary_link,30,False,37.394999999999996,"LINESTRING (3.2734499 32.9417595, 3.2734238 32.9416959, 3.2733878 32.9416358, 3.2733427 32.9415802, 3.2732891 32.9415302, 3.273228 32.9414867)",,,
240380176,False,secondary,50,True,64.838,"LINESTRING (3.2734988 32.9419881, 3.2734988 32.9425712)",CW 232,حاسي الرمل,
384999988,True,secondary,30,False,25.872,"LINESTRING (3.2734988 32.9419881, 3.2734604 32.9418439, 3.2734537 32.9418051, 3.2734499 32.9417595)",CW 232,حاسي الرمل,
240380176,False,secondary,50,False,309.901,"LINESTRING (3.2735 32.9455431, 3.2734988 32.9427561)",CW 232,حاسي الرمل,
240380176,False,secondary,50,True,23.585,"LINESTRING (3.2735 32.9455431, 3.273502 32.9457552)",CW 232,حاسي الرمل,
192992533,True,secondary_link,,False,50.05900000000001,"LINESTRING (3.2731191 32.9458482, 3.2732369 32.9457958, 3.2732764 32.9457711, 3.2733342 32.9457285, 3.2733757 32.9456918, 3.2734155 32.9456505, 3.27345 32.945608, 3.2735 32.9455431)",,,
192992539,True,tertiary,,False,28.723,"LINESTRING (3.2731191 32.9458482, 3.2732441 32.9458435, 3.2732984 32.9458493, 3.2733394 32.9458636, 3.2733794 32.945889, 3.2734008 32.9459105)",,,
240380176,False,secondary,50,False,36.44,"LINESTRING (3.2735052 32.9460829, 3.273502 32.9457552)",CW 232,حاسي الرمل,
240380176,False,secondary,50,True,12.855,"LINESTRING (3.2735052 32.9460829, 3.2735063 32.9461985)",CW 232,حاسي الرمل,
192992539,True,tertiary,,False,109.724,"LINESTRING (3.2716221 32.9459808, 3.2719243 32.9459406, 3.2727908 32.9458761)",,,
