osmid,oneway,highway,reversed,length,lanes,ref,maxspeed,geometry
206260535,False,residential,False,78.456,,,,"LINESTRING (0.7744599 35.9061627, 0.7739342 35.9067253)"
206263335,False,residential,True,78.201,,,,"LINESTRING (0.7744599 35.9061627, 0.7749666 35.9055916)"
294182413,False,primary,False,49.663,2,RN 4,80,"LINESTRING (0.7744599 35.9061627, 0.7748966 35.9064354)"
294182413,False,primary,True,131.993,2,RN 4,80,"LINESTRING (0.7744599 35.9061627, 0.7733035 35.9054335)"
89757728,False,secondary,True,49.669,2,CW 20,,"LINESTRING (0.7766055 35.9046033, 0.7769376 35.9042467)"
206263319,False,residential,False,49.661,,,,"LINESTRING (0.7766055 35.9046033, 0.7761698 35.9043296)"
89757728,False,secondary,False,138.715,2,CW 20,,"LINESTRING (0.7766055 35.9046033, 0.7760163 35.9052465, 0.7756802 35.9056005)"
206260575,False,residential,False,40.654,,,,"LINESTRING (0.7724565 35.9049143, 0.7721907 35.9052098)"
206263846,False,residential,True,65.434,,,,"LINESTRING (0.7724565 35.9049143, 0.7729027 35.9044499)"
294182413,False,primary,False,95.67,2,RN 4,80,"LINESTRING (0.7724565 35.9049143, 0.7733035 35.9054335)"
294182413,False,primary,True,49.949,2,RN 4,80,"LINESTRING (0.7724565 35.9049143, 0.7720203 35.9046369)"
206260558,False,residential,False,78.513,,,,"LINESTRING (0.7733035 35.9054335, 0.7727774 35.9059965)"
206260568,False,residential,True,79.203,,,,"LINESTRING (0.7733035 35.9054335, 0.7738441 35.9048717)"
294182413,False,primary,False,131.993,2,RN 4,80,"LINESTRING (0.7733035 35.9054335, 0.7744599 35.9061627)"
294182413,False,primary,True,95.67,2,RN 4,80,"LINESTRING (0.7733035 35.9054335, 0.7724565 35.9049143)"
89757728,False,secondary,False,79.222,2,CW 20,,"LINESTRING (0.7754271 35.9058671, 0.7748966 35.9064354)"
89757728,False,secondary,True,30.819,2,CW 20,,"LINESTRING (0.7754271 35.9058671, 0.7756357 35.9056474)"
206263327,False,residential,False,51.562,,,,"LINESTRING (0.7754271 35.9058671, 0.7749666 35.9055916)"
206263327,False,residential,True,133.671,,,,"LINESTRING (0.7754271 35.9058671, 0.7766057 35.9065977)"
89757728,False,secondary,True,79.222,2,CW 20,,"LINESTRING (0.7748966 35.9064354, 0.7754271 35.9058671)"
206260556,False,residential,True,77.118,,,,"LINESTRING (0.7748966 35.9064354, 0.7743702 35.9069824)"
294182413,False,primary,True,49.663,2,RN 4,80,"LINESTRING (0.7748966 35.9064354, 0.7744599 35.9061627)"
294182413,False,primary,False,134.553,2,RN 4,80,"LINESTRING (0.7748966 35.9064354, 0.7749347 35.9064592, 0.7760797 35.9071743)"
206260555,False,residential,False,35.677,,,,"LINESTRING (0.7775014 35.9038118, 0.777277 35.9040762)"
206263293,False,residential,False,44.207,,,,"LINESTRING (0.7775014 35.9038118, 0.7778909 35.9040537)"
"[206260555, 206260540]",False,residential,True,116.52499999999999,,,,"LINESTRING (0.7775014 35.9038118, 0.7776269 35.9036401, 0.7782718 35.9039906, 0.7781309 35.9041779)"
206260550,False,residential,True,49.161,,,,"LINESTRING (0.7787519 35.9039745, 0.7784535 35.9043447)"
206260537,False,residential,True,32.89,,,,"LINESTRING (0.7778909 35.9040537, 0.7777005 35.9043061)"
206263293,False,residential,False,25.651,,,,"LINESTRING (0.7778909 35.9040537, 0.7781309 35.9041779)"
206263293,False,residential,True,44.207,,,,"LINESTRING (0.7778909 35.9040537, 0.7775014 35.9038118)"
206260555,False,residential,False,32.451,,,,"LINESTRING (0.777277 35.9040762, 0.7770729 35.9043167)"
206260555,False,residential,True,35.677,,,,"LINESTRING (0.777277 35.9040762, 0.7775014 35.9038118)"
206260561,False,residential,True,45.918,,,,"LINESTRING (0.777277 35.9040762, 0.7777005 35.9043061)"
206263293,False,residential,False,34.471,,,,"LINESTRING (0.7781309 35.9041779, 0.7784535 35.9043447)"
206263293,False,residential,True,25.651,,,,"LINESTRING (0.7781309 35.9041779, 0.7778909 35.9040537)"
"[206260555, 206260540]",False,residential,False,116.52499999999999,,,,"LINESTRING (0.7781309 35.9041779, 0.7782718 35.9039906, 0.7776269 35.9036401, 0.7775014 35.9038118)"
89757728,False,secondary,False,49.669,2,CW 20,,"LINESTRING (0.7769376 35.9042467, 0.7766055 35.9046033)"
206260568,False,residential,False,36.053,,,,"LINESTRING (0.7769376 35.9042467, 0.7766241 35.9040451)"
206260568,False,residential,True,14.46,,,,"LINESTRING (0.7769376 35.9042467, 0.7770729 35.9043167)"
89757728,False,secondary,True,88.545,2,CW 20,,"LINESTRING (0.7769376 35.9042467, 0.7770177 35.9041608, 0.7773819 35.9037552, 0.7774628 35.9036651, 0.7775152 35.9036024)"
206260537,False,residential,False,32.89,,,,"LINESTRING (0.7777005 35.9043061, 0.7778909 35.9040537)"
206260537,False,residential,True,33.139,,,,"LINESTRING (0.7777005 35.9043061, 0.7774797 35.9045445)"
206260561,False,residential,False,45.918,,,,"LINESTRING (0.7777005 35.9043061, 0.777277 35.9040762)"
206260561,False,residential,True,57.096,,,,"LINESTRING (0.7777005 35.9043061, 0.7782198 35.9046006)"
206260555,False,residential,True,32.451,,,,"LINESTRING (0.7770729 35.9043167, 0.777277 35.9040762)"
206260568,False,residential,False,14.46,,,,"LINESTRING (0.7770729 35.9043167, 0.7769376 35.9042467)"
206260568,False,residential,True,44.543,,,,"LINESTRING (0.7770729 35.9043167, 0.7774797 35.9045445)"
206260550,False,residential,False,49.161,,,,"LINESTRING (0.7784535 35.9043447, 0.7787519 35.9039745)"
206260550,False,residential,True,35.394,,,,"LINESTRING (0.7784535 35.9043447, 0.7782198 35.9046006)"
206263293,False,residential,False,56.787,,,,"LINESTRING (0.7784535 35.9043447, 0.7789686 35.9046392)"
206263293,False,residential,True,34.471,,,,"LINESTRING (0.7784535 35.9043447, 0.7781309 35.9041779)"
206260520,False,residential,False,35.079,,,,"LINESTRING (0.7708929 35.9043812, 0.7712026 35.9045725)"
206260520,False,residential,True,41.454,,,,"LINESTRING (0.7708929 35.9043812, 0.7708674 35.9043256, 0.7711084 35.9040803)"
206260537,False,residential,False,33.139,,,,"LINESTRING (0.7774797 35.9045445, 0.7777005 35.9043061)"
206260568,False,residential,False,44.543,,,,"LINESTRING (0.7774797 35.9045445, 0.7770729 35.9043167)"
206260568,False,residential,True,57.781,,,,"LINESTRING (0.7774797 35.9045445, 0.7779991 35.9048495)"
206260562,False,residential,True,38.489,,,,"LINESTRING (0.7718444 35.904534, 0.7715767 35.9048038)"
294182413,False,primary,False,19.543,2,RN 4,80,"LINESTRING (0.7718444 35.904534, 0.7720203 35.9046369)"
294182413,False,primary,True,40.04,2,RN 4,80,"LINESTRING (0.7718444 35.904534, 0.7714992 35.9043071)"
206260520,False,residential,True,35.079,,,,"LINESTRING (0.7712026 35.9045725, 0.7708929 35.9043812)"
206260547,False,residential,True,82.156,,,,"LINESTRING (0.7712026 35.9045725, 0.770638 35.9051528)"
206260520,False,residential,False,42.389,,,,"LINESTRING (0.7712026 35.9045725, 0.7715686 35.9047987, 0.7715767 35.9048038)"
206260550,False,residential,False,35.394,,,,"LINESTRING (0.7782198 35.9046006, 0.7784535 35.9043447)"
206260550,False,residential,True,34.075,,,,"LINESTRING (0.7782198 35.9046006, 0.7779991 35.9048495)"
206260561,False,residential,False,57.096,,,,"LINESTRING (0.7782198 35.9046006, 0.7777005 35.9043061)"
206260561,False,residential,True,58.602,,,,"LINESTRING (0.7782198 35.9046006, 0.7787651 35.9048881)"
206260538,False,residential,True,33.195,,,,"LINESTRING (0.7789686 35.9046392, 0.7787651 35.9048881)"
206263293,False,residential,False,49.717,,,,"LINESTRING (0.7789686 35.9046392, 0.7794288 35.9048861)"
206263293,False,residential,True,56.787,,,,"LINESTRING (0.7789686 35.9046392, 0.7784535 35.9043447)"
206260520,False,residential,False,36.786,,,,"LINESTRING (0.7715767 35.9048038, 0.771893 35.9050131)"
206260562,False,residential,False,38.489,,,,"LINESTRING (0.7715767 35.9048038, 0.7718444 35.904534)"
206260562,False,residential,True,81.608,,,,"LINESTRING (0.7715767 35.9048038, 0.7710276 35.9053876)"
206260520,False,residential,True,42.389,,,,"LINESTRING (0.7715767 35.9048038, 0.7715686 35.9047987, 0.7712026 35.9045725)"
206260550,False,residential,False,34.075,,,,"LINESTRING (0.7779991 35.9048495, 0.7782198 35.9046006)"
206260568,False,residential,False,57.781,,,,"LINESTRING (0.7779991 35.9048495, 0.7774797 35.9045445)"
206260568,False,residential,True,14.597,,,,"LINESTRING (0.7779991 35.9048495, 0.7781333 35.9049231)"
206260538,False,residential,False,33.195,,,,"LINESTRING (0.7787651 35.9048881, 0.7789686 35.9046392)"
206260538,False,residential,True,35.681,,,,"LINESTRING (0.7787651 35.9048881, 0.7785376 35.9051508)"
206260561,False,residential,False,58.602,,,,"LINESTRING (0.7787651 35.9048881, 0.7782198 35.9046006)"
206260561,False,residential,True,49.078,,,,"LINESTRING (0.7787651 35.9048881, 0.7792161 35.9051358)"
206260553,False,residential,False,66.981,,,,"LINESTRING (0.7781333 35.9049231, 0.7776914 35.9054076)"
206260568,False,residential,False,14.597,,,,"LINESTRING (0.7781333 35.9049231, 0.7779991 35.9048495)"
206260568,False,residential,True,44.351,,,,"LINESTRING (0.7781333 35.9049231, 0.7785376 35.9051508)"
206260520,False,residential,False,34.602,,,,"LINESTRING (0.771893 35.9050131, 0.7721907 35.9052098)"
206260520,False,residential,True,36.786,,,,"LINESTRING (0.771893 35.9050131, 0.7715767 35.9048038)"
206260557,False,residential,True,81.654,,,,"LINESTRING (0.771893 35.9050131, 0.7713175 35.9055805)"
206260561,False,residential,False,49.078,,,,"LINESTRING (0.7792161 35.9051358, 0.7787651 35.9048881)"
206263843,False,residential,False,36.259,,,,"LINESTRING (0.7792161 35.9051358, 0.7789781 35.9053988)"
206263843,False,residential,True,33.733,,,,"LINESTRING (0.7792161 35.9051358, 0.7794288 35.9048861)"
206260538,False,residential,False,35.681,,,,"LINESTRING (0.7785376 35.9051508, 0.7787651 35.9048881)"
206260568,False,residential,False,44.351,,,,"LINESTRING (0.7785376 35.9051508, 0.7781333 35.9049231)"
206260568,False,residential,True,48.317,,,,"LINESTRING (0.7785376 35.9051508, 0.7789781 35.9053988)"
206260547,False,residential,False,82.156,,,,"LINESTRING (0.770638 35.9051528, 0.7712026 35.9045725)"
206260565,False,residential,True,43.737,,,,"LINESTRING (0.770638 35.9051528, 0.7710276 35.9053876)"
206260520,False,residential,True,34.602,,,,"LINESTRING (0.7721907 35.9052098, 0.771893 35.9050131)"
