osmid,lanes,name,highway,oneway,reversed,length,ref,geometry,junction,bridge,maxspeed
179300023,2,Rue Bouakkaz Abdelmadjid,secondary,False,False,191.858,,"LINESTRING (6.1803647 35.5511869, 6.1818076 35.5524514)",,,
179295097,2,,primary,False,False,198.559,RN 31,"LINESTRING (6.1803647 35.5511869, 6.1800378 35.5514357, 6.1798828 35.5515537, 6.1796138 35.5517606, 6.1787515 35.5523976)",,,
182086282,,Rue Abdessalam Hocine,secondary,False,True,193.315,,"LINESTRING (6.1803647 35.5511869, 6.1791484 35.5501806, 6.1788587 35.5499537)",,,
179293069,,Rue des Fidayines,residential,True,False,70.346,,"LINESTRING (6.1767658 35.5540005, 6.1772999 35.5544603)",,,
179295097,2,,primary,False,False,62.115,RN 31,"LINESTRING (6.1767658 35.5540005, 6.1762723 35.5543889)",,,
179295097,2,,primary,False,True,102.496,RN 31,"LINESTRING (6.1767658 35.5540005, 6.1775542 35.5533385)",,,
179051405,,,primary,True,False,3.632,,"LINESTRING (6.1822227 35.5574376, 6.1821877 35.5574536)",roundabout,,
179051399,,Route de Constantine,primary,False,False,3.761,,"LINESTRING (6.182102 35.5579766, 6.1821056 35.5580103)",,,
825387470,,,primary,True,False,63.715,,"LINESTRING (6.182102 35.5579766, 6.1820821 35.5578984, 6.182068 35.5577936, 6.1820559 35.5575978, 6.1820433 35.5574064)",,,
179051405,,,primary,True,False,3.67,,"LINESTRING (6.1820433 35.5574064, 6.1820316 35.5573748)",roundabout,,
179051395,,نهج الاستقلال,primary,False,False,166.063,,"LINESTRING (6.1818707 35.5571254, 6.1806638 35.5560001)",,,
179051391,,,primary,True,False,28.856,,"LINESTRING (6.1818707 35.5571254, 6.1820331 35.557187, 6.1820888 35.5572192, 6.1821238 35.5572699)",,,
179051405,,,primary,True,False,15.299000000000001,,"LINESTRING (6.1821877 35.5574536, 6.182146 35.5574591, 6.1821046 35.5574522, 6.1820688 35.5574339, 6.1820433 35.5574064)",roundabout,,
179051415,,,primary,True,False,58.722,,"LINESTRING (6.1821877 35.5574536, 6.1821771 35.5574847, 6.1821733 35.557522, 6.1821478 35.5576649, 6.182131 35.5577964, 6.1821169 35.5579, 6.182102 35.5579766)",,,
179051394,,Avenue de l'Indépendance,primary,True,False,70.558,,"LINESTRING (6.1775542 35.5533385, 6.1770058 35.5528873)",,,
179295097,2,,primary,False,False,102.496,RN 31,"LINESTRING (6.1775542 35.5533385, 6.1767658 35.5540005)",,,
179295097,2,,primary,False,True,75.65,RN 31,"LINESTRING (6.1775542 35.5533385, 6.1777934 35.553148, 6.1781518 35.5528626)",,,
179051392,,Avenue de l'ANP,primary,True,False,111.319,,"LINESTRING (6.1744044 35.5507014, 6.173556 35.5499763)",,,
179279844,2,Rue Hadj Abdelmadjid Abdessamed,secondary,False,False,50.707,RN 88,"LINESTRING (6.1744044 35.5507014, 6.1740168 35.5510308)",,,
179279844,2,Rue Hadj Abdelmadjid Abdessamed,secondary,False,True,101.822,RN 88,"LINESTRING (6.1744044 35.5507014, 6.1751639 35.5501162, 6.1752153 35.5500669)",,,
179051391,,,primary,True,False,28.228,,"LINESTRING (6.1820339 35.5573417, 6.1819922 35.5572896, 6.1819405 35.557223, 6.1818707 35.5571254)",,,
179051405,,,primary,True,False,12.01,,"LINESTRING (6.1820339 35.5573417, 6.1820409 35.5573246, 6.1820518 35.5573089, 6.182066 35.5572952, 6.1820832 35.5572839, 6.1821027 35.5572753, 6.1821238 35.5572699)",roundabout,,
179051405,,,primary,True,False,3.686,,"LINESTRING (6.1820316 35.5573748, 6.1820339 35.5573417)",roundabout,,
187537674,,,residential,False,True,122.124,,"LINESTRING (6.1820316 35.5573748, 6.1811119 35.5581788)",,,
179051405,,,primary,True,False,10.978,,"LINESTRING (6.1822646 35.5573491, 6.1822637 35.557382, 6.1822492 35.5574127, 6.1822227 35.5574376)",roundabout,,
179051394,,Avenue de l'Indépendance,primary,True,False,32.443,,"LINESTRING (6.1761243 35.5521696, 6.1758812 35.5519551)",,,
179279856,,Rue Grine Belkacem,residential,False,False,69.995,,"LINESTRING (6.1761243 35.5521696, 6.1766782 35.5517301)",,,
179279856,,Rue Grine Belkacem,residential,False,True,103.478,,"LINESTRING (6.1761243 35.5521696, 6.1753168 35.5528287)",,,
179051405,,,primary,True,False,15.306999999999999,,"LINESTRING (6.1821457 35.5572678, 6.1821678 35.5572691, 6.1821891 35.5572737, 6.1822167 35.5572856, 6.1822395 35.557303, 6.1822558 35.5573247, 6.1822599 35.5573359, 6.1822646 35.5573491)",roundabout,,
179279849,,,secondary,True,False,28.532,,"LINESTRING (6.1756512 35.5500152, 6.1755812 35.5500446, 6.1755032 35.5500541, 6.1754256 35.5500426, 6.1753567 35.5500114)",roundabout,,
179279854,2,Rue Benflis,tertiary,False,False,54.828,,"LINESTRING (6.1746204 35.5530014, 6.1741908 35.5533492)",,,
179279854,2,Rue Benflis,tertiary,False,True,59.182,,"LINESTRING (6.1746204 35.5530014, 6.1750802 35.5526228)",,,
179279854,2,Rue Benflis,tertiary,False,False,42.223,,"LINESTRING (6.1726912 35.5545632, 6.172358 35.5548291)",,,
179279854,2,Rue Benflis,tertiary,False,True,30.203,,"LINESTRING (6.1726912 35.5545632, 6.1729179 35.5543638)",,,
182086311,,Rue des frères Lamrani,residential,True,False,31.062,,"LINESTRING (6.1726912 35.5545632, 6.1729272 35.5547661)",,,
179279856,,Rue Grine Belkacem,residential,False,False,74.384,,"LINESTRING (6.172346 35.5552393, 6.1729272 35.5547661)",,,
179279856,,Rue Grine Belkacem,residential,False,True,40.865,,"LINESTRING (6.172346 35.5552393, 6.1720286 35.5555008)",,,
179293074,,Rue Sahraoui Said,residential,True,False,31.666,,"LINESTRING (6.172346 35.5552393, 6.1721024 35.5550348)",,,
179279856,,Rue Grine Belkacem,residential,False,False,103.478,,"LINESTRING (6.1753168 35.5528287, 6.1761243 35.5521696)",,,
