osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,lanes,junction,name
325383619,False,RN 78,primary,80,False,22.804,"LINESTRING (5.6114216 35.5572344, 5.6113537 35.5570369)",,,
325383619,False,RN 78,primary,80,True,0.226,"LINESTRING (5.6114216 35.5572344, 5.6114225 35.5572363)",,,
325382752,True,,primary,,False,12.543,"LINESTRING (5.6102751 35.5556841, 5.6103371 35.555785)",,,
325382753,False,RN 78,primary,80,False,59.128,"LINESTRING (5.6102751 35.5556841, 5.6102773 35.5555936, 5.6103043 35.555496, 5.6103601 35.5553358, 5.6104434 35.5551748)",,,
329184235,False,,residential,,True,17.041,"LINESTRING (5.6120904 35.5590989, 5.6120243 35.5591503, 5.6119349 35.5591808)",,,
1218977164,False,RN 78,primary,80,False,176.191,"LINESTRING (5.6120904 35.5590989, 5.6120238 35.5585756, 5.611856 35.5581018, 5.6115894 35.5575797)",2,,
325383619,False,RN 78,primary,80,False,41.061,"LINESTRING (5.6115894 35.5575797, 5.6114225 35.5572363)",,,
325383621,True,,residential,,False,16.6,"LINESTRING (5.6115894 35.5575797, 5.6115181 35.5575291, 5.6114421 35.5574916)",,,
325819444,True,,residential,,False,28.772,"LINESTRING (5.6115894 35.5575797, 5.6115174 35.5575569, 5.6114423 35.5575591, 5.6113699 35.5575722, 5.611284 35.5575978)",,,
1218977164,False,RN 78,primary,80,True,176.191,"LINESTRING (5.6115894 35.5575797, 5.611856 35.5581018, 5.6120238 35.5585756, 5.6120904 35.5590989)",2,,
325383619,False,RN 78,primary,80,False,36.416,"LINESTRING (5.6110049 35.5565216, 5.6107514 35.5562672)",,,
325383619,False,RN 78,primary,80,True,67.13,"LINESTRING (5.6110049 35.5565216, 5.6112689 35.5567716, 5.6113537 35.5570369)",,,
325816779,False,,residential,,False,71.872,"LINESTRING (5.6110049 35.5565216, 5.6108457 35.5565588, 5.6107116 35.5565719, 5.6105373 35.556537, 5.6103602 35.5565261, 5.6102369 35.5564781)",,,
329184255,True,,primary,,False,2.406,"LINESTRING (5.6121887 35.5508718, 5.612182 35.5508625, 5.6121786 35.550852)",,roundabout,
129767916,False,CW 40,secondary,,False,165.582,"LINESTRING (5.6119773 35.5570566, 5.6123145 35.5571101, 5.6125143 35.5571647, 5.6125814 35.5571767, 5.6126578 35.5571897, 5.6127208 35.5571919, 5.6129046 35.5571876, 5.613787 35.5571876)",,,
129767916,False,CW 40,secondary,,True,56.458,"LINESTRING (5.6119773 35.5570566, 5.6118713 35.557051, 5.6113537 35.5570369)",,,
325811866,False,,residential,,False,248.67999999999998,"LINESTRING (5.6119773 35.5570566, 5.6121691 35.5568904, 5.6123435 35.5567151, 5.6124769 35.556384, 5.6129728 35.5560557, 5.6131301 35.5558971, 5.6131985 35.5557858, 5.6132293 35.5557024, 5.6132361 35.5555994, 5.6132566 35.5555243, 5.6134858 35.5552655)",,,
325383619,False,RN 78,primary,80,True,22.804,"LINESTRING (5.6113537 35.5570369, 5.6114216 35.5572344)",,,
129767916,False,CW 40,secondary,,False,56.458,"LINESTRING (5.6113537 35.5570369, 5.6118713 35.557051, 5.6119773 35.5570566)",,,
325383619,False,RN 78,primary,80,False,67.13,"LINESTRING (5.6113537 35.5570369, 5.6112689 35.5567716, 5.6110049 35.5565216)",,,
325382751,True,,primary,,False,3.333,"LINESTRING (5.6103371 35.555785, 5.6103505 35.5557953, 5.6103592 35.5558085)",,roundabout,
325813815,True,RN 78,primary,80,False,13.255,"LINESTRING (5.6102543 35.5558021, 5.6102751 35.5556841)",,,
325382751,True,,primary,,False,8.678,"LINESTRING (5.6102543 35.5558021, 5.6102657 35.5557899, 5.6102819 35.555781, 5.6103008 35.5557772, 5.6103203 35.5557787, 5.6103371 35.555785)",,roundabout,
325382751,True,,primary,,False,1.68,"LINESTRING (5.6103592 35.5558085, 5.6103623 35.5558234)",,roundabout,
325382756,False,,residential,,True,67.238,"LINESTRING (5.6103592 35.5558085, 5.6103958 35.5557979, 5.61044 35.555808, 5.6104825 35.5558282, 5.610614 35.5559907, 5.6106259 35.5560204, 5.6106258 35.5560527, 5.6107514 35.5562672)",,,
