osmid,oneway,highway,reversed,length,name,maxspeed,geometry,lanes,ref,tunnel,junction
129796887,True,secondary,False,44.182,,,"LINESTRING (2.7648609 36.6398955, 2.7650932 36.6395446)",,,,
272519028,False,secondary,True,8.832,شارع دحمان علي - طريق فوكة,50,"LINESTRING (2.7648609 36.6398955, 2.7647882 36.6399494)",,,,
201869814,False,secondary,False,14.179,,,"LINESTRING (2.7677496 36.638966, 2.7678884 36.6390281)",,,,
201869814,False,secondary,True,38.768,,,"LINESTRING (2.7677496 36.638966, 2.7676857 36.6389292, 2.7676279 36.638878, 2.7675245 36.6387737, 2.767467 36.6387045)",,,,
305565963,True,secondary,False,92.658,شارع دحمان علي - طريق فوكة,50,"LINESTRING (2.7677496 36.638966, 2.7675247 36.6390164, 2.7673845 36.6390621, 2.7667737 36.6392489)",,,,
89068409,False,secondary,True,32.193,,,"LINESTRING (2.7667312 36.6379263, 2.7669581 36.6381514)",,,,
201871017,True,secondary,False,36.847,,,"LINESTRING (2.7667312 36.6379263, 2.7671321 36.6378468)",,,,
89062302,False,secondary,True,51.265,Rue Mohamed Belheouane شارع محمد بلهوان - طريق بواسماعيل,40,"LINESTRING (2.7667312 36.6379263, 2.7663253 36.6379954, 2.76617 36.638025)",2,CW,,
703515559,False,residential,True,65.506,Rue Mostefa Ben Boulaïd شارع مصطفى بن بولعيد - طريق الملعب,30,"LINESTRING (2.7667312 36.6379263, 2.7666375 36.6378031, 2.7664117 36.6373969)",,,,
160405253,True,residential,False,82.063,Rue Mohamed Khemisti شارع محمد خميستي,,"LINESTRING (2.7680124 36.6390704, 2.768286 36.6383658)",1,,,
201869814,False,secondary,False,29.309,,,"LINESTRING (2.7680124 36.6390704, 2.7683012 36.639196)",,,,
201869814,False,secondary,True,12.022,,,"LINESTRING (2.7680124 36.6390704, 2.7678884 36.6390281)",,,,
83803093,False,primary,True,74.501,Route d'Alger طريق الجزائر,50,"LINESTRING (2.771077 36.6403655, 2.7703336 36.6400604)",,RN 69,,
160404607,True,residential,False,42.632,,,"LINESTRING (2.771077 36.6403655, 2.7713164 36.6400337)",,,,
83803093,False,primary,False,129.402,Route d'Alger طريق الجزائر,50,"LINESTRING (2.771077 36.6403655, 2.7715432 36.6405651, 2.7719821 36.640783, 2.772108 36.6408613, 2.7722938 36.6409913)",,RN 69,,
337421843,False,residential,True,71.002,,,"LINESTRING (2.771077 36.6403655, 2.7707352 36.6408392, 2.7706893 36.6409226)",,,,
201869814,False,secondary,True,5.446,,,"LINESTRING (2.7683564 36.6392169, 2.7683012 36.639196)",,,,
83803093,False,primary,False,30.474,Route d'Alger طريق الجزائر,50,"LINESTRING (2.7683564 36.6392169, 2.7685027 36.6392863, 2.7685897 36.6393215, 2.7686552 36.6393494)",,RN 69,,
374829391,False,tertiary,False,49.545,,,"LINESTRING (2.7678848 36.6346259, 2.7676213 36.6342337)",,,,
201849997,False,residential,False,85.605,rue frères mokrani شارع الاخوة مقراني,,"LINESTRING (2.7678848 36.6346259, 2.7677758 36.6347189, 2.7672353 36.6351925)",,,,
513178800,False,tertiary,False,57.109,,,"LINESTRING (2.7678848 36.6346259, 2.7679538 36.6347217, 2.7681464 36.6349888, 2.7682179 36.6350637)",,,,
