osmid,ref,highway,oneway,reversed,length,geometry,lanes,junction
379766432,,tertiary,False,True,52.371,"LINESTRING (6.9531823 33.2800833, 6.9535129 33.2797531, 6.953544 33.2797222)",,
469406850,,residential,False,False,136.024,"LINESTRING (6.9531823 33.2800833, 6.9529027 33.2797326, 6.952774 33.2795689, 6.9526613 33.2794029, 6.9524601 33.2791406, 6.9523948 33.2790527)",,
379766504,,tertiary,False,False,35.431,"LINESTRING (6.9495219 33.2805177, 6.9495744 33.2802021)",,
379766504,,tertiary,False,True,27.431,"LINESTRING (6.9495219 33.2805177, 6.9494776 33.2807616)",,
469408797,,residential,False,False,49.123,"LINESTRING (6.9495219 33.2805177, 6.9490028 33.280435)",,
469405167,,secondary,True,False,51.934,"LINESTRING (6.9519066 33.2771372, 6.9522455 33.2775085)",2,
469405174,,secondary,True,False,7.523,"LINESTRING (6.9519066 33.2771372, 6.9518896 33.2771679, 6.9518577 33.2771887)",,roundabout
469403130,,residential,False,True,40.302,"LINESTRING (6.9521534 33.2767625, 6.9517399 33.2766536)",,
469405175,CW 405,secondary,True,False,19.234,"LINESTRING (6.9521534 33.2767625, 6.9522927 33.2766346)",,
469410709,,residential,False,True,6.492,"LINESTRING (6.9521534 33.2767625, 6.95221 33.2767967)",,
469403130,,residential,False,False,24.863,"LINESTRING (6.9505544 33.2764849, 6.9508182 33.2765217)",,
469403130,,residential,False,True,48.806,"LINESTRING (6.9505544 33.2764849, 6.9500381 33.2764053)",,
724496155,,residential,False,True,25.565,"LINESTRING (6.9505544 33.2764849, 6.9505933 33.2762573)",,
345629041,,tertiary,False,False,18.117,"LINESTRING (6.9494748 33.27631, 6.9494399 33.2764703)",,
345629041,,tertiary,False,True,24.796,"LINESTRING (6.9494748 33.27631, 6.9495392 33.2760936)",,
469403130,,residential,False,False,53.427,"LINESTRING (6.9494748 33.27631, 6.9500381 33.2764053)",,
143114477,CW 405,secondary,False,True,9.315,"LINESTRING (6.9546213 33.2742738, 6.9546696 33.2742004)",,
143114477,CW 405,secondary,False,False,44.589,"LINESTRING (6.9546213 33.2742738, 6.9545361 33.2743691, 6.9544415 33.2744732, 6.954341 33.274599)",,
469403131,,unclassified,False,True,78.048,"LINESTRING (6.9546213 33.2742738, 6.9543135 33.2742122, 6.9537974 33.2741412)",,
469403131,,unclassified,False,False,7.2,"LINESTRING (6.9495499 33.2735164, 6.9496273 33.2735186)",,
724496150,,unclassified,True,False,28.198,"LINESTRING (6.9495499 33.2735164, 6.9494976 33.27354, 6.9494487 33.2735708, 6.9494051 33.2736078, 6.9493514 33.2736527, 6.9493192 33.2736785)",,
345629041,,tertiary,False,False,44.348,"LINESTRING (6.9489108 33.2734739, 6.9491047 33.2735585, 6.9492146 33.2736145, 6.9493192 33.2736785)",,
724496149,,unclassified,True,False,59.808,"LINESTRING (6.9489108 33.2734739, 6.949043 33.2734755, 6.949269 33.2734856, 6.9493548 33.273489, 6.9494822 33.2734985, 6.9495499 33.2735164)",,
143114477,CW 405,secondary,False,False,43.062,"LINESTRING (6.955326 33.273055, 6.955139 33.2734093)",,
143114477,CW 405,secondary,False,True,30.692,"LINESTRING (6.955326 33.273055, 6.9554615 33.2728033)",,
469403132,,tertiary,False,True,110.31099999999999,"LINESTRING (6.955326 33.273055, 6.954445 33.2728936, 6.9541683 33.2728377)",,
469406757,,residential,False,False,75.901,"LINESTRING (6.9518781 33.2723868, 6.951716 33.2730558)",,
469403132,,tertiary,False,False,51.182,"LINESTRING (6.9518781 33.2723868, 6.9519532 33.272398, 6.9521222 33.2724384, 6.9524131 33.2724943)",,
469403132,,tertiary,False,True,49.217,"LINESTRING (6.9518781 33.2723868, 6.9519183 33.2722837, 6.9519532 33.2721401, 6.9520097 33.2719585)",,
469405165,,tertiary,True,False,32.198,"LINESTRING (6.9538198 33.2795483, 6.9537234 33.279621, 6.9536283 33.2796782, 6.953544 33.2797222)",,
469405166,,secondary,True,False,12.803,"LINESTRING (6.9538198 33.2795483, 6.9537608 33.2795186, 6.9537239 33.27947)",2,roundabout
143115206,,secondary,True,False,37.568,"LINESTRING (6.9539917 33.2794962, 6.9540983 33.2796124, 6.9542367 33.2797649)",2,
469405166,,secondary,True,False,13.234,"LINESTRING (6.9539917 33.2794962, 6.9539737 33.2795155, 6.9539277 33.2795429, 6.9538727 33.2795541)",2,roundabout
469405166,,secondary,True,False,12.536999999999999,"LINESTRING (6.95374 33.2793607, 6.9537886 33.2793216, 6.9538528 33.2793044)",2,roundabout
469405168,,secondary,True,False,68.36,"LINESTRING (6.95374 33.2793607, 6.9536148 33.2792138, 6.9534016 33.2789537, 6.9533157 33.2788587)",2,
469405166,,secondary,True,False,4.96,"LINESTRING (6.9538727 33.2795541, 6.9538198 33.2795483)",2,roundabout
469405166,,secondary,True,False,14.585,"LINESTRING (6.9539971 33.2793696, 6.9540149 33.279422, 6.9539917 33.2794962)",2,roundabout
