osmid,oneway,ref,highway,reversed,length,geometry,name,lanes,maxspeed
94814913,False,RN 19,primary,False,29.966,"LINESTRING (1.3069704 36.5079594, 1.3073 36.5080088)",,,
108743018,False,,tertiary,False,71.948,"LINESTRING (1.3069704 36.5079594, 1.3068277 36.5085962)",,,
108743019,False,RN 19,primary,True,65.863,"LINESTRING (1.3069704 36.5079594, 1.3067813 36.5079274, 1.3065567 36.5079044, 1.3064027 36.5078974, 1.3062397 36.5078994)",,,
1172758245,False,,tertiary,True,65.24600000000001,"LINESTRING (1.3069704 36.5079594, 1.3069492 36.5077068, 1.3065469 36.5076248)",,,
108743018,False,,tertiary,False,84.338,"LINESTRING (1.3068277 36.5085962, 1.3064321 36.5092848)",,,
108743018,False,,tertiary,True,71.948,"LINESTRING (1.3068277 36.5085962, 1.3069704 36.5079594)",,,
168514282,False,,residential,False,30.086,"LINESTRING (1.3068277 36.5085962, 1.3071589 36.5086446)",Rue de Jérusalem,,
108743018,False,,tertiary,True,97.371,"LINESTRING (1.3048749 36.511997, 1.3053287 36.5112009)",,,
248324666,False,,tertiary,True,79.755,"LINESTRING (1.3048749 36.511997, 1.3057536 36.5121222)",,,
108743018,False,,tertiary,False,202.714,"LINESTRING (1.3048749 36.511997, 1.3047734 36.5119824, 1.3046801 36.5119479, 1.3046323 36.5119264, 1.3045959 36.5119043, 1.304562 36.5118713, 1.3045419 36.5118352, 1.3045371 36.5117966, 1.3045305 36.5117489, 1.3045342 36.5117, 1.3045739 36.5116421, 1.3046364 36.511562, 1.3047912 36.5114067, 1.305026 36.5111501, 1.3051856 36.5109597, 1.3052622 36.5108575, 1.3052799 36.5107751, 1.3052687 36.5106679, 1.3052695 36.5106156, 1.3052473 36.5105584, 1.305233 36.5105325)",,,
"[210590041, 108743020]",False,RN 11,primary,False,57.888999999999996,"LINESTRING (1.3038133 36.5114695, 1.3039007 36.5112824, 1.303974 36.5111737, 1.3040394 36.511089, 1.3040681 36.5110467, 1.3040708 36.5109975)",,,
210590041,False,RN 11,primary,True,51.363,"LINESTRING (1.3038133 36.5114695, 1.3036994 36.5117438, 1.3036193 36.5119041)",,,
168514736,True,,tertiary,False,72.522,"LINESTRING (1.3078016 36.5080758, 1.3076643 36.5087186)",Rue de la Révolution,,
94814913,False,RN 19,primary,False,141.23999999999998,"LINESTRING (1.3078016 36.5080758, 1.3080836 36.5069213, 1.3080877 36.5068277)",,,
94814913,False,RN 19,primary,True,45.446,"LINESTRING (1.3078016 36.5080758, 1.3075245 36.5080378, 1.3073 36.5080088)",,,
168514130,False,RN 11,primary,True,59.013999999999996,"LINESTRING (1.3078016 36.5080758, 1.3082472 36.5081338, 1.3084534 36.5081606)",,,
108743018,False,,tertiary,True,143.801,"LINESTRING (1.3040708 36.5109975, 1.3041424 36.5109406, 1.3042135 36.5108798, 1.3042907 36.5107831, 1.3043868 36.5106584, 1.3044697 36.5105656, 1.3045706 36.5104645, 1.3046504 36.5104167, 1.3047319 36.5103844, 1.3048059 36.5103739, 1.3049141 36.5103632, 1.3049916 36.5103707, 1.3050622 36.5103953, 1.305117 36.5104215, 1.3051779 36.5104686, 1.3052177 36.5105048, 1.305233 36.5105325)",,,
108743020,False,RN 11,primary,False,120.80699999999999,"LINESTRING (1.3040708 36.5109975, 1.3040414 36.5109443, 1.3039865 36.5108945, 1.3038859 36.5108193, 1.3038207 36.5107717, 1.3037714 36.5107145, 1.3037229 36.5106645, 1.3036912 36.5106097, 1.3036432 36.510546, 1.3035422 36.5104752, 1.3033423 36.5103478, 1.3031625 36.5102098)",,,
