osmid,ref,highway,oneway,reversed,length,geometry,name,lanes,maxspeed,junction
157661415,554,tertiary,False,True,105.614,"LINESTRING (25.8336891 42.0296472, 25.8335799 42.0297674, 25.8335416 42.0298227, 25.8335395 42.0298891, 25.8335717 42.0299513, 25.8336336 42.030007, 25.8341583 42.0303769)",,,,
351899270,554,tertiary,False,False,469.875,"LINESTRING (25.8336891 42.0296472, 25.8343346 42.0299688, 25.8351334 42.0303828, 25.8362854 42.031012, 25.836439 42.0310988, 25.8365925 42.0312226, 25.8366923 42.0313471, 25.8367945 42.0314941, 25.8369663 42.0317784, 25.8372778 42.0323117, 25.837462 42.0326314)",Пейо К. Яворов,,,
205500049,,residential,False,True,88.511,"LINESTRING (25.8274594 42.0293784, 25.8263883 42.0293538)",,,,
217864044,,residential,False,False,52.811,"LINESTRING (25.8274594 42.0293784, 25.8277925 42.0297838)",,2,50,
157661422,,residential,False,False,131.899,"LINESTRING (25.8292437 42.0297115, 25.8302534 42.0306305)",,,,
699715446,,residential,False,True,109.812,"LINESTRING (25.8292437 42.0297115, 25.8282641 42.0303792)",,,,
205500050,,residential,False,True,110.702,"LINESTRING (25.8277925 42.0297838, 25.8264543 42.0298395)",,,,
217864044,,residential,False,False,68.797,"LINESTRING (25.8277925 42.0297838, 25.8282157 42.0303167)",,2,50,
217864044,,residential,False,True,52.811,"LINESTRING (25.8277925 42.0297838, 25.8274594 42.0293784)",,2,50,
157661425,,residential,False,True,100.591,"LINESTRING (25.8311473 42.0300161, 25.8302534 42.0306305)",,,,
217864045,,residential,False,True,148.857,"LINESTRING (25.8311473 42.0300161, 25.8317833 42.0304307, 25.8325018 42.0308992)",,,,
205500048,,residential,False,True,139.097,"LINESTRING (25.8282157 42.0303167, 25.826544 42.0304682)",,,,
217864044,,residential,False,False,8.017,"LINESTRING (25.8282157 42.0303167, 25.8282641 42.0303792)",,2,50,
217864044,,residential,False,True,68.797,"LINESTRING (25.8282157 42.0303167, 25.8277925 42.0297838)",,2,50,
