osmid,oneway,ref,highway,maxspeed,junction,reversed,length,geometry,lanes,name,bridge
24856742,True,84,secondary,50,roundabout,False,17.792,"LINESTRING (23.9951215 42.0251113, 23.9950953 42.0250764, 23.9950863 42.0250369, 23.9950956 42.0249975, 23.9951221 42.0249627)",,,
157671738,False,84,secondary,50,,False,95.864,"LINESTRING (23.9951215 42.0251113, 23.9950614 42.0251381, 23.994921 42.0252006, 23.9946787 42.0252936, 23.9942082 42.0254787, 23.9941007 42.025521)",2,Алекасандър Стамболийски,
24856742,True,84,secondary,50,roundabout,False,41.668,"LINESTRING (23.9951221 42.0249627, 23.9951791 42.02493, 23.9952498 42.0249195, 23.9953194 42.0249332, 23.9953737 42.0249684, 23.9954014 42.0250178, 23.9953969 42.0250713, 23.995361 42.0251177)",,,
24856742,True,84,secondary,50,roundabout,False,22.325000000000003,"LINESTRING (23.995361 42.0251177, 23.9953179 42.0251419, 23.9952664 42.0251541, 23.9952124 42.0251526, 23.9951621 42.0251378, 23.9951215 42.0251113)",,,
945999570,False,84,secondary,50,,True,78.25200000000001,"LINESTRING (23.995361 42.0251177, 23.9953889 42.0251417, 23.9954482 42.0251872, 23.9955489 42.0252825, 23.9959218 42.0256837)",2,,
447143576,False,,unclassified,,,False,288.823,"LINESTRING (23.9997085 42.029629, 23.9995024 42.029965, 23.9994168 42.0301732, 23.9993599 42.0304125, 23.9993192 42.0307548, 23.9993591 42.0310072, 23.9993826 42.0310821, 23.9994193 42.0311992, 23.9995205 42.0314327, 23.9996723 42.0317473, 23.9997679 42.0319244, 23.9999168 42.0320938)",,,
"[157671904, 157434489, 851414277]",False,84,secondary,50,,False,44.935,"LINESTRING (23.9997085 42.029629, 23.9996146 42.029587, 23.9993908 42.0294893, 23.9992416 42.0294216)",2,,yes
157452012,False,,residential,,,False,242.558,"LINESTRING (23.9937083 42.031806, 23.9910208 42.0309265)",,Борислав,
526416129,False,,residential,,,False,69.441,"LINESTRING (23.9937083 42.031806, 23.9933381 42.0323667)",,Искра,
526416129,False,,residential,,,True,67.486,"LINESTRING (23.9937083 42.031806, 23.9938814 42.0315644, 23.9940921 42.0312702)",,Искра,
157452012,False,,residential,,,True,242.558,"LINESTRING (23.9910208 42.0309265, 23.9937083 42.031806)",,Борислав,
500755074,False,,tertiary,50,,False,52.242000000000004,"LINESTRING (23.9910208 42.0309265, 23.9908536 42.0310837, 23.9906331 42.0312977)",,Съединение,
500755074,False,,tertiary,50,,True,34.211,"LINESTRING (23.9910208 42.0309265, 23.9910765 42.0308638, 23.9912238 42.0306586)",,Съединение,
157671789,False,,tertiary,50,,False,16.273,"LINESTRING (23.9904132 42.0324309, 23.9905696 42.0325199)",,Христо Смирненски,
500755074,False,,tertiary,50,,True,11.968,"LINESTRING (23.9904132 42.0324309, 23.990406 42.0323234)",,Съединение,
276432151,False,,residential,,,False,223.873,"LINESTRING (23.9904132 42.0324309, 23.9911356 42.0325129, 23.9913671 42.0325368, 23.9921422 42.0325823, 23.9923184 42.0325983, 23.9930699 42.0327818)",,Ивайло,
157671738,False,84,secondary,50,,True,140.682,"LINESTRING (23.9924859 42.0261166, 23.9940114 42.025554)",2,Алекасандър Стамболийски,
193131998,False,,tertiary,,,False,45.394,"LINESTRING (23.9924859 42.0261166, 23.9922534 42.0257467)",,Св. Св. Кирил и Методий,
157671738,False,84,secondary,50,,False,106.78600000000002,"LINESTRING (23.9924859 42.0261166, 23.9921911 42.0262222, 23.9920195 42.0262869, 23.9915735 42.0264591, 23.9915246 42.0264725, 23.991496 42.0264803, 23.9914142 42.0264953, 23.9913108 42.0265)",2,Алекасандър Стамболийски,
157671783,False,,tertiary,50,,False,64.07600000000001,"LINESTRING (23.9924859 42.0261166, 23.992686 42.0264871, 23.9927137 42.0265483, 23.992762 42.0266549)",,Св. Св. Кирил и Методий,
157671897,False,,residential,,,True,109.562,"LINESTRING (23.9927787 42.0243629, 23.9915932 42.0248048)",,,
193131999,False,,residential,,,True,64.127,"LINESTRING (23.9927787 42.0243629, 23.9931297 42.0248773)",,Раковски,
157671796,False,,residential,,,False,13.998,"LINESTRING (23.9887369 42.0241422, 23.9887629 42.0242666)",,Николай Хрелков,
157671897,False,,residential,,,False,109.562,"LINESTRING (23.9915932 42.0248048, 23.9927787 42.0243629)",,,
193131998,False,,tertiary,,,False,69.18,"LINESTRING (23.9915932 42.0248048, 23.991203 42.0242543)",,Св. Св. Кирил и Методий,
193131998,False,,tertiary,,,True,76.808,"LINESTRING (23.9915932 42.0248048, 23.9920305 42.0254144)",,Св. Св. Кирил и Методий,
157671897,False,,residential,,,True,73.839,"LINESTRING (23.9915932 42.0248048, 23.9914688 42.0248529, 23.991335 42.0248843, 23.991214 42.0248961, 23.9907227 42.0248947)",,,
157671897,False,,residential,,,False,73.839,"LINESTRING (23.9907227 42.0248947, 23.991214 42.0248961, 23.991335 42.0248843, 23.9914688 42.0248529, 23.9915932 42.0248048)",,,
701961066,False,,residential,,,False,106.31300000000002,"LINESTRING (23.9907227 42.0248947, 23.990686 42.0249431, 23.9906835 42.0249796, 23.9906612 42.0253024, 23.9908796 42.0253023, 23.9908931 42.0256807)",,,
157671738,False,84,secondary,50,,False,8.239,"LINESTRING (23.9941007 42.025521, 23.9940114 42.025554)",2,Алекасандър Стамболийски,
157671856,False,,residential,,,False,85.223,"LINESTRING (23.9941007 42.025521, 23.9948354 42.0260591)",,Раковски,
157671738,False,84,secondary,50,,True,95.864,"LINESTRING (23.9941007 42.025521, 23.9942082 42.0254787, 23.9946787 42.0252936, 23.994921 42.0252006, 23.9950614 42.0251381, 23.9951215 42.0251113)",2,Алекасандър Стамболийски,
276237489,False,,residential,,,False,35.035,"LINESTRING (23.9959218 42.0256837, 23.9955429 42.0258253)",,,
"[157671904, 945999569]",False,84,secondary,50,,True,287.475,"LINESTRING (23.9959218 42.0256837, 23.9960055 42.025802, 23.9961394 42.026068, 23.9962249 42.026238, 23.9963487 42.0265205, 23.9964148 42.0266892, 23.996458 42.0268561, 23.9964699 42.026902, 23.9964969 42.027083, 23.9965502 42.0278434, 23.9965627 42.0280623, 23.9965824 42.0281956)",2,,
945999570,False,84,secondary,50,,False,78.252,"LINESTRING (23.9959218 42.0256837, 23.9955489 42.0252825, 23.9954482 42.0251872, 23.9953889 42.0251417, 23.995361 42.0251177)",2,,
157671856,False,,residential,,,False,83.19,"LINESTRING (23.9948354 42.0260591, 23.9954871 42.0266295)",,Раковски,
157671856,False,,residential,,,True,85.223,"LINESTRING (23.9948354 42.0260591, 23.9941007 42.025521)",,Раковски,
