osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes,tunnel,access
157627378,False,Дондуков-Корсаков,residential,False,61.836,"LINESTRING (24.7468061 42.1442503, 24.7460664 42.1443422)",,,,
157627378,False,Дондуков-Корсаков,residential,True,37.484,"LINESTRING (24.7468061 42.1442503, 24.7472595 42.1442253)",,,,
381454821,False,Йосиф Шнитер,residential,True,42.86,"LINESTRING (24.7468061 42.1442503, 24.746625 42.1441911, 24.7463491 42.1440681)",,,,
157627378,False,Дондуков-Корсаков,residential,False,77.945,"LINESTRING (24.7482049 42.1442276, 24.7472595 42.1442253)",,,,
504515673,False,Найден Геров,residential,True,71.192,"LINESTRING (24.7482049 42.1442276, 24.7477179 42.1436989)",,,,
136100489,True,Петко Д.Петков,tertiary,False,10.333,"LINESTRING (24.7545869 42.1447445, 24.7545713 42.1448367)",,,,
35952018,True,Отец Паисий,residential,False,107.984,"LINESTRING (24.7499304 42.1458591, 24.7503207 42.1449321)",,,,
35952017,True,Д-р Георги Вълкович,residential,False,70.745,"LINESTRING (24.7499304 42.1458591, 24.7503396 42.1459552, 24.7507647 42.1459972)",,,,
"[847968161, 35974132]",True,Патриарх Евтимий,residential,False,92.77699999999999,"LINESTRING (24.7503207 42.1449321, 24.7508348 42.1450943, 24.7509195 42.1451111, 24.7510229 42.1451317, 24.7513054 42.1451201, 24.7513942 42.1451165)",,,,
405025433,False,Отец Паисий,residential,False,150.353,"LINESTRING (24.7503207 42.1449321, 24.7504375 42.1446891, 24.7507013 42.1441441, 24.7507366 42.1440657, 24.7508163 42.143958, 24.7510176 42.1436867)",,,,
615690095,True,Патриарх Евтимий,tertiary,False,50.763,"LINESTRING (24.7541453 42.1462702, 24.7540912 42.1462316, 24.7536981 42.1459564)",30,,,
615690095,True,Патриарх Евтимий,tertiary,False,56.346,"LINESTRING (24.7536981 42.1459564, 24.7532044 42.145606)",30,,,
334324795,True,Зора,residential,False,35.334,"LINESTRING (24.7532044 42.145606, 24.7531334 42.1456646, 24.752918 42.1458424)",,,,
