osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,access,width
17673898,True,2,2,бул. Владислав Варненчик,primary,50,False,12.434,"LINESTRING (27.9108484 43.2048152, 27.910818 43.2049248)",,
35001834,True,2,9,бул. Мария Луиза,trunk,50,False,113.018,"LINESTRING (27.9108484 43.2048152, 27.9110147 43.2048542, 27.9111383 43.2048995, 27.9120495 43.2052338, 27.9121042 43.2052539)",,
"[311160248, 35001834]",True,"['2', '4']",9,бул. Мария Луиза,trunk,50,False,130.656,"LINESTRING (27.9133162 43.2057068, 27.9138093 43.2059019, 27.9140729 43.2060047, 27.9146026 43.2062039, 27.9147433 43.206253)",,
311160242,True,3,9,бул. 8-ми Приморски полк,trunk,50,False,125.777,"LINESTRING (27.9188983 43.2083443, 27.9189827 43.2084108, 27.9190234 43.2084401, 27.9190933 43.2084907, 27.9195156 43.2088028, 27.9199754 43.2091585)",,
111567426,True,3,9,бул. 8-ми Приморски полк,trunk,,False,12.209,"LINESTRING (27.92078 43.2097601, 27.9208811 43.2098415)",,
111567641,True,2,,бул. Цар Освободител,secondary,50,False,82.282,"LINESTRING (27.92078 43.2097601, 27.9208706 43.209697, 27.9210743 43.209555, 27.9215164 43.2092507)",,
111567725,True,3,9,бул. 8-ми Приморски полк,trunk,50,False,126.37899999999999,"LINESTRING (27.9198749 43.2092412, 27.9189155 43.20852, 27.9188742 43.208489, 27.9187878 43.2084264)",,
54616661,True,,,Братя Миладинови,residential,,False,94.215,"LINESTRING (27.9204731 43.2072543, 27.9196314 43.2078387)",,
387442449,True,,,Любен Каравелов,residential,,False,124.584,"LINESTRING (27.9204731 43.2072543, 27.921537 43.208063)",,
387442449,True,,,Любен Каравелов,residential,,False,92.398,"LINESTRING (27.921537 43.208063, 27.9223214 43.208666)",,
54616660,True,,,Македония,residential,,False,75.639,"LINESTRING (27.921537 43.208063, 27.9221536 43.2076288, 27.9222104 43.2075921)",,
24512968,True,2,,Братя Миладинови,residential,,False,71.955,"LINESTRING (27.9211551 43.206789, 27.9216401 43.2064497, 27.9217956 43.2063409)",,
"[1164470501, 1163801068, 27493906, 387442450, 24513246]",False,2,,"['бул. Княз Борис I', 'бул. Сливница']",secondary,50,"[False, True]",237.156,"LINESTRING (27.9211551 43.206789, 27.9211291 43.2067697, 27.9210334 43.2066959, 27.9204131 43.2062155, 27.9200699 43.205953, 27.9198848 43.2058097, 27.9198085 43.2057661, 27.9197484 43.2057529, 27.919691 43.2057474, 27.9195949 43.2057597, 27.9194679 43.2058147, 27.9193892 43.2058645, 27.9190911 43.2060766, 27.919024 43.2061239)",,
54616661,True,,,Братя Миладинови,residential,,False,75.713,"LINESTRING (27.9211551 43.206789, 27.9211082 43.206821, 27.9209364 43.2069399, 27.9204731 43.2072543)",,
