osmid,lanes,highway,maxspeed,oneway,reversed,length,name,geometry,bridge,access
688519758,2,unclassified,50,False,False,21.291,,"LINESTRING (23.554339 41.9486334, 23.5543462 41.9488248)",,
688519758,2,unclassified,50,False,True,55.459,,"LINESTRING (23.554339 41.9486334, 23.5537816 41.9483561)",,
1126223434,2,residential,50,False,True,13.642,,"LINESTRING (23.554339 41.9486334, 23.5544553 41.9485464)",,
688519758,2,unclassified,50,False,True,71.215,,"LINESTRING (23.554438 41.9494616, 23.5543462 41.9488248)",,
1126223415,2,residential,50,False,False,46.365,,"LINESTRING (23.554438 41.9494616, 23.5549943 41.9494098)",,
25476641,,residential,,False,True,78.599,,"LINESTRING (23.5549943 41.9494098, 23.5551712 41.9487153)",,
1126223415,2,residential,50,False,False,38.795,,"LINESTRING (23.5549943 41.9494098, 23.5554631 41.9493973)",,
1126223415,2,residential,50,False,True,46.365,,"LINESTRING (23.5549943 41.9494098, 23.554438 41.9494616)",,
248693483,2,residential,50,False,False,9.502,Димо Хаджидимов,"LINESTRING (23.5554631 41.9493973, 23.5554945 41.9493151)",,
1126223415,2,residential,50,False,True,38.795,,"LINESTRING (23.5554631 41.9493973, 23.5549943 41.9494098)",,
248693482,2,residential,50,False,True,35.881,,"LINESTRING (23.5554631 41.9493973, 23.5554754 41.9495503, 23.5554786 41.9497197)",,
129299820,,residential,,False,False,29.24,,"LINESTRING (23.5546965 41.9507046, 23.5543485 41.9506581)",,
248693602,,residential,,False,True,23.363,,"LINESTRING (23.5546965 41.9507046, 23.5546627 41.9509132)",,
25476207,,residential,,False,False,84.295,,"LINESTRING (23.5546965 41.9507046, 23.555337 41.9507734, 23.5554924 41.9508038, 23.5556893 41.9508612)",,
25476207,,residential,,False,True,84.295,,"LINESTRING (23.5556893 41.9508612, 23.5554924 41.9508038, 23.555337 41.9507734, 23.5546965 41.9507046)",,
25476631,2,residential,50,False,False,48.518,,"LINESTRING (23.5556893 41.9508612, 23.5557276 41.9510061, 23.5557671 41.9510945, 23.5558378 41.9512828)",,
25476700,2,residential,50,False,False,66.503,,"LINESTRING (23.5556893 41.9508612, 23.5556765 41.950771, 23.5556542 41.9505636, 23.5555945 41.9502676)",,
25476700,2,residential,50,False,True,34.372,,"LINESTRING (23.5555329 41.9499619, 23.5555945 41.9502676)",,
248694001,2,residential,50,False,False,103.184,,"LINESTRING (23.5555329 41.9499619, 23.556553 41.9500552, 23.5567699 41.9500822)",,
248694001,2,residential,50,False,True,55.522999999999996,,"LINESTRING (23.5555329 41.9499619, 23.5550475 41.9499247, 23.5548644 41.9499168)",,
"[688519753, 1126223438, 1126223439]",2,residential,50,False,False,27.304,,"LINESTRING (23.5555329 41.9499619, 23.5555138 41.9498767, 23.5554888 41.9497654, 23.5554786 41.9497197)",yes,
248524923,2,residential,50,False,True,151.25699999999998,,"LINESTRING (23.5554786 41.9497197, 23.5556987 41.949745, 23.5565932 41.9498458, 23.5569526 41.9499036, 23.5572718 41.9499764)",,
248693482,2,residential,50,False,False,35.881,,"LINESTRING (23.5554786 41.9497197, 23.5554754 41.9495503, 23.5554631 41.9493973)",,
"[688519753, 1126223438, 1126223439]",2,residential,50,False,True,27.304,,"LINESTRING (23.5554786 41.9497197, 23.5554888 41.9497654, 23.5555138 41.9498767, 23.5555329 41.9499619)",yes,
248693483,2,residential,50,False,False,74.301,Димо Хаджидимов,"LINESTRING (23.5563495 41.9486187, 23.5569092 41.948096)",,
248693484,2,residential,50,False,True,46.096,,"LINESTRING (23.5563495 41.9486187, 23.5558718 41.9484051)",,
248693483,2,residential,50,False,True,104.952,Димо Хаджидимов,"LINESTRING (23.5563495 41.9486187, 23.5558881 41.9489963, 23.5556423 41.9491763, 23.5554945 41.9493151)",,
248693484,2,residential,50,False,False,83.899,,"LINESTRING (23.5563495 41.9486187, 23.5565476 41.9487614, 23.5571189 41.9491097)",,
25476264,2,residential,50,False,False,99.831,,"LINESTRING (23.5569092 41.948096, 23.5577103 41.9487676)",,
