osmid,bridge,highway,oneway,reversed,length,name,geometry,ref,lanes,maxspeed,access,junction
"[101925523, 101925549]",yes,residential,False,True,45.891,Тракия,"LINESTRING (25.0901467 41.385201, 25.0898801 41.3849933, 25.0897613 41.3849066)",,,,,
173875593,,tertiary,False,True,136.189,България,"LINESTRING (25.0901467 41.385201, 25.0903612 41.3851007, 25.0905319 41.3850209, 25.0915812 41.3846183)",867,,,,
256322393,,tertiary,False,False,27.93,бул.България,"LINESTRING (25.10094 41.38058, 25.100611 41.3805336)",867,,,,
173875593,,tertiary,False,False,176.72899999999998,България,"LINESTRING (25.0947936 41.3802787, 25.0945297 41.3805233, 25.0943659 41.3807564, 25.0942684 41.380938, 25.0940541 41.3815358, 25.0939858 41.3817253)",867,,,,
173875593,,tertiary,False,True,43.247,България,"LINESTRING (25.0947936 41.3802787, 25.0951541 41.3801531, 25.0952713 41.3801309)",867,,,,
"[256234229, 805513276, 805513277]",yes,residential,False,True,79.304,Крайречна,"LINESTRING (25.0947936 41.3802787, 25.0946719 41.3801956, 25.0945299 41.3801014, 25.0945097 41.3800849, 25.0943791 41.3800017, 25.0941344 41.3799161, 25.0940261 41.3798689)",,,,,
74534085,,residential,False,False,13.869,Ахрида,"LINESTRING (25.0898472 41.3807276, 25.0900133 41.3807325)",,,,,
74534085,,residential,False,False,37.205,Ахрида,"LINESTRING (25.0905137 41.3812866, 25.0903949 41.3816091)",,,,,
74534085,,residential,False,True,76.53099999999999,Ахрида,"LINESTRING (25.0905137 41.3812866, 25.0904784 41.3811996, 25.0904071 41.3811061, 25.0902357 41.380872, 25.0901227 41.3807711, 25.0900133 41.3807325)",,,,,
101925540,,residential,False,False,55.539,Ахрида,"LINESTRING (25.0905137 41.3812866, 25.09098 41.3811007, 25.0911029 41.3810542)",,,,,
101925555,,tertiary,False,False,72.211,Хан Аспарух,"LINESTRING (25.0962644 41.3792817, 25.0961931 41.3786345)",,,,,
1222563223,,tertiary,True,False,57.719,Беловидово,"LINESTRING (25.0962644 41.3792817, 25.0955844 41.3793771)",,,,,
74534065,,residential,False,True,56.44800000000001,Беловидово,"LINESTRING (25.0962644 41.3792817, 25.0964006 41.3792711, 25.0969355 41.3792177)",,,,,
"[101925553, 101925555, 101925534]",yes,tertiary,False,True,58.738,Хан Аспарух,"LINESTRING (25.0962644 41.3792817, 25.0962679 41.3793296, 25.0962807 41.3796957, 25.0962829 41.3797424, 25.0963052 41.3798076)",,,,,
101925493,,residential,False,False,120.38299999999998,,"LINESTRING (25.0953955 41.3786828, 25.0952803 41.3781834, 25.0952046 41.3780078, 25.0950867 41.3778244, 25.0949784 41.3776553)",,,,,
101925493,,residential,False,True,78.83500000000001,,"LINESTRING (25.0953955 41.3786828, 25.095514 41.37917, 25.0955844 41.3793771)",,,,,
803736209,,tertiary,False,False,66.769,Хан Аспарух,"LINESTRING (25.0953955 41.3786828, 25.0957134 41.3786669, 25.0961931 41.3786345)",,,,,
803736209,,tertiary,False,True,98.18599999999999,Хан Аспарух,"LINESTRING (25.0953955 41.3786828, 25.0949742 41.3786941, 25.0946364 41.3786934, 25.0942255 41.3786383)",,,,,
173875593,,tertiary,False,False,56.295,България,"LINESTRING (25.0959178 41.379986, 25.0952713 41.3801309)",867,,,,
173875593,,tertiary,False,True,8.77,България,"LINESTRING (25.0959178 41.379986, 25.0960178 41.3799617)",867,,,,
101925543,,residential,False,False,70.618,Освобождение,"LINESTRING (25.0959178 41.379986, 25.0960792 41.3804058, 25.0961524 41.3805962)",,,,,
"[101925528, 101925525]",yes,residential,False,False,39.625,,"LINESTRING (25.0941904 41.3795353, 25.0941324 41.3796852, 25.0940261 41.3798689)",,,,,
101925528,,residential,False,True,99.86,,"LINESTRING (25.0941904 41.3795353, 25.0941986 41.3792397, 25.0941958 41.3788871, 25.0942255 41.3786383)",,,,,
1222563222,,tertiary,False,False,124.12299999999999,Беловидово,"LINESTRING (25.0941904 41.3795353, 25.0939778 41.3795202, 25.0933929 41.379472, 25.0931679 41.3794403, 25.0930379 41.3794219, 25.092731 41.3793429)",,,,,
256228787,,residential,False,True,68.828,Велико Търново,"LINESTRING (25.0984683 41.3822871, 25.098412 41.3821767, 25.098268 41.3819871, 25.0981871 41.3819344, 25.097936 41.3818611)",,,,,
256322491,,residential,False,False,136.989,Здравец,"LINESTRING (25.0984683 41.3822871, 25.0990369 41.381866, 25.0994614 41.381524, 25.0995823 41.3814347, 25.0996219 41.3814112)",,,,,
74534065,,residential,False,True,68.032,Беловидово,"LINESTRING (25.0969355 41.3792177, 25.0977467 41.3791558)",,,,,
74534065,,residential,False,False,56.44800000000001,Беловидово,"LINESTRING (25.0969355 41.3792177, 25.0964006 41.3792711, 25.0962644 41.3792817)",,,,,
101925522,,residential,False,False,72.917,Константин Фердинандов,"LINESTRING (25.0969355 41.3792177, 25.0968908 41.3789461, 25.0968261 41.3785671)",,,,,
101925543,,residential,False,True,80.761,Освобождение,"LINESTRING (25.0965875 41.3815772, 25.0962661 41.3808921)",,,,,
256228784,,residential,False,False,90.207,Пейо Яворов,"LINESTRING (25.0965875 41.3815772, 25.0976296 41.381361)",,,,,
256228784,,residential,False,True,122.531,Пейо Яворов,"LINESTRING (25.0965875 41.3815772, 25.0958424 41.3817142, 25.0953746 41.3817867, 25.0951886 41.3818801)",,,,,
101925522,,residential,False,True,9.449,Константин Фердинандов,"LINESTRING (25.0980101 41.3772546, 25.0979378 41.37732)",,,,,
"[101925546, 101925522, 101925559]",yes,residential,False,False,40.709999999999994,Константин Фердинандов,"LINESTRING (25.0980101 41.3772546, 25.098116 41.3772188, 25.0982627 41.3771606, 25.0983712 41.3771286, 25.0984553 41.3771062)",,,,,
101925494,,residential,False,False,24.319,Възраждане,"LINESTRING (25.0992405 41.3786757, 25.0995294 41.3786467)",,,,,
101925494,,residential,False,True,59.82299999999999,Възраждане,"LINESTRING (25.0992405 41.3786757, 25.0989855 41.3789319, 25.0988996 41.3791404)",,,,,
256234221,,residential,False,True,208.984,,"LINESTRING (25.0992405 41.3786757, 25.0991095 41.3785501, 25.0988932 41.3785378, 25.0986741 41.3785027, 25.098154 41.3784983, 25.0968261 41.3785671)",,,,,
"[101925528, 101925525]",yes,residential,False,True,39.625,,"LINESTRING (25.0940261 41.3798689, 25.0941324 41.3796852, 25.0941904 41.3795353)",,,,,
