osmid,oneway,name,highway,reversed,length,ref,maxspeed,geometry,bridge,access
157659894,False,23 септември,residential,False,131.057,,,"LINESTRING (25.9331817 42.2887306, 25.931603 42.2888895)",,
236589349,False,Митьо Станев,tertiary,False,119.133,554,50,"LINESTRING (25.9331817 42.2887306, 25.9331534 42.2885838, 25.9331441 42.2885346, 25.9331325 42.2884736, 25.9330917 42.2882584, 25.9329786 42.2876698)",,
236589349,False,Митьо Станев,tertiary,True,60.857,554,50,"LINESTRING (25.9331817 42.2887306, 25.9332571 42.2892109, 25.9332728 42.2892736)",,
87836597,False,Тачо Даскалов,residential,True,52.442,,50,"LINESTRING (25.931219 42.2897666, 25.9318396 42.2896586)",,
"[157659875, 157659884, 87836597, 1082452655]",False,Тачо Даскалов,residential,False,189.94000000000003,,50,"LINESTRING (25.931219 42.2897666, 25.9311407 42.289778, 25.9306284 42.2898656, 25.9304149 42.2898973, 25.9301635 42.2899346, 25.9296925 42.2900044, 25.9289581 42.2901132)",yes,
157659859,False,Крайречна,residential,False,197.766,,50,"LINESTRING (25.931219 42.2897666, 25.9315371 42.2902306, 25.9323606 42.2913316)",,yes
"[157659859, 157659894]",False,"['Крайречна', '23 септември']",residential,True,127.253,,50,"LINESTRING (25.931219 42.2897666, 25.9312239 42.2896613, 25.9311047 42.2891605, 25.9312256 42.2889285, 25.931603 42.2888895)",,yes
100507094,False,Георги Димитров,tertiary,False,13.075,554,20,"LINESTRING (25.934739 42.2904576, 25.9348583 42.2905353)",,
100507094,False,Георги Димитров,tertiary,True,180.098,554,20,"LINESTRING (25.934739 42.2904576, 25.9337494 42.2897302, 25.9335266 42.2895811, 25.933433 42.2895096, 25.933367 42.2894382, 25.9333018 42.2893435, 25.9332728 42.2892736)",,
157659851,False,Димитър Благоев,residential,False,78.744,,,"LINESTRING (25.934739 42.2904576, 25.9351202 42.2903332, 25.9356119 42.2901669)",,
100507094,False,Георги Димитров,tertiary,False,73.613,554,20,"LINESTRING (25.9350536 42.2906662, 25.9357052 42.29112)",,
100507094,False,Георги Димитров,tertiary,True,21.68,554,20,"LINESTRING (25.9350536 42.2906662, 25.9349025 42.2905632, 25.9348583 42.2905353)",,
157659850,False,Димитър Благоев,residential,False,191.057,,,"LINESTRING (25.9350536 42.2906662, 25.9358274 42.2904026, 25.935908 42.290375, 25.9367924 42.2900722, 25.9369088 42.2900332, 25.9371636 42.2899479)",,
"[157659875, 157659884, 87836597, 1082452655]",False,Тачо Даскалов,residential,True,189.94,,50,"LINESTRING (25.9289581 42.2901132, 25.9296925 42.2900044, 25.9301635 42.2899346, 25.9304149 42.2898973, 25.9306284 42.2898656, 25.9311407 42.289778, 25.931219 42.2897666)",yes,
87836597,False,Тачо Даскалов,residential,False,125.423,,50,"LINESTRING (25.9332728 42.2892736, 25.9318396 42.2896586)",,
100507094,False,Георги Димитров,tertiary,False,180.098,554,20,"LINESTRING (25.9332728 42.2892736, 25.9333018 42.2893435, 25.933367 42.2894382, 25.933433 42.2895096, 25.9335266 42.2895811, 25.9337494 42.2897302, 25.934739 42.2904576)",,
236589349,False,Митьо Станев,tertiary,False,60.857,554,50,"LINESTRING (25.9332728 42.2892736, 25.9332571 42.2892109, 25.9331817 42.2887306)",,
236589349,False,Митьо Станев,tertiary,False,60.399,554,50,"LINESTRING (25.9326675 42.2857788, 25.9325295 42.2852453)",,
157659880,False,Рашо Костов,residential,False,162.54000000000002,,50,"LINESTRING (25.9326675 42.2857788, 25.9330127 42.2857436, 25.9333907 42.285705, 25.9337412 42.2857018, 25.9346312 42.2857738)",,
236589349,False,Митьо Станев,tertiary,True,193.953,554,50,"LINESTRING (25.9326675 42.2857788, 25.9328137 42.286783, 25.9328914 42.2872429, 25.9329463 42.2875106)",,
100507094,False,Георги Димитров,tertiary,True,50.972,554,20,"LINESTRING (25.9361433 42.2914442, 25.9357052 42.29112)",,
100507094,False,Георги Димитров,tertiary,False,38.909000000000006,554,20,"LINESTRING (25.9361433 42.2914442, 25.9363202 42.2915823, 25.936465 42.2917007)",,
157659882,False,Спортна,residential,True,165.88,,50,"LINESTRING (25.9361433 42.2914442, 25.9358184 42.2915362, 25.9342346 42.2919251)",,
