osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,lanes,junction
275265626,Сокола,residential,False,True,63.737,"LINESTRING (24.3088466 42.0337182, 24.3081057 42.0338786)",,,,
275530055,Хан Пресиян,tertiary,False,False,134.781,"LINESTRING (24.3088466 42.0337182, 24.3088615 42.0335094, 24.3089288 42.0331752, 24.3090339 42.0325147)",,,,
274135633,Георги Кьосеиванов,residential,False,False,162.598,"LINESTRING (24.3090339 42.0325147, 24.3100842 42.0330808, 24.3106395 42.0333606)",,,,
"[275303825, 274135661]","['3-ти Март', 'Георги Кьосеиванов']",tertiary,False,True,535.4699999999999,"LINESTRING (24.3090339 42.0325147, 24.3086411 42.0324219, 24.3085318 42.0324058, 24.3080868 42.0323751, 24.3076152 42.0323737, 24.3073912 42.0323844, 24.3062105 42.0324399, 24.304842 42.0325042, 24.3036093 42.0325579, 24.3034486 42.0325943, 24.3033869 42.0326536, 24.3033671 42.032762, 24.3033525 42.0328491, 24.3033381 42.0332153)",377,,,
"[275303859, 275303860, 275303862]",Хан Пресиян,tertiary,False,False,153.478,"LINESTRING (24.3090339 42.0325147, 24.3090529 42.0320651, 24.3090666 42.0318097, 24.3090758 42.0314119, 24.3090923 42.0311352)",377,yes,,
275530055,Хан Пресиян,tertiary,False,True,134.781,"LINESTRING (24.3090339 42.0325147, 24.3089288 42.0331752, 24.3088615 42.0335094, 24.3088466 42.0337182)",,,,
175866933,Васил Петлешков,tertiary,False,True,57.21,"LINESTRING (24.3046195 42.0299528, 24.3050342 42.0295407)",,,,
275303820,Васил Петлешков,residential,False,False,82.363,"LINESTRING (24.3046195 42.0299528, 24.3043053 42.0303143, 24.3040245 42.0305442)",,,,
275303834,Йордан Ковачев,residential,False,False,76.545,"LINESTRING (24.3046195 42.0299528, 24.3047485 42.0299799, 24.3050155 42.0300757, 24.3051531 42.0301401, 24.3054309 42.0302772)",,,,
275303835,Йордан Ковачев,tertiary,False,False,124.77199999999999,"LINESTRING (24.3046195 42.0299528, 24.3042174 42.0298542, 24.3033925 42.0296329, 24.3031993 42.0295715)",,,,
275303821,Веселин Стайков,residential,False,True,57.832,"LINESTRING (24.3017073 42.0292012, 24.3016416 42.029719)",,,,
275303835,Йордан Ковачев,tertiary,False,False,85.58699999999999,"LINESTRING (24.3017073 42.0292012, 24.3013018 42.0292487, 24.301054 42.0293019, 24.3007383 42.029442)",,,,
275303835,Йордан Ковачев,tertiary,False,True,90.55799999999999,"LINESTRING (24.3017073 42.0292012, 24.301798 42.0291989, 24.3026078 42.0293835, 24.3027536 42.0294298)",,,,
275303835,Йордан Ковачев,tertiary,False,True,95.00399999999999,"LINESTRING (24.2997178 42.0297944, 24.3000128 42.0297769, 24.3004747 42.0295697, 24.3007383 42.029442)",,,,
24912966,Михаил Такев,secondary,False,True,94.474,"LINESTRING (24.3046023 42.0366605, 24.3051488 42.0374069)",37,,2,
274930910,Оборище,residential,False,False,70.502,"LINESTRING (24.3046023 42.0366605, 24.3051528 42.0361759)",,,,
274930910,Оборище,residential,False,True,75.823,"LINESTRING (24.3046023 42.0366605, 24.3037732 42.0369534)",,,,
24912966,Михаил Такев,secondary,False,False,125.494,"LINESTRING (24.3046023 42.0366605, 24.3042684 42.0361738, 24.303984 42.0356311)",37,,2,
24912966,Михаил Такев,secondary,False,True,42.805,"LINESTRING (24.3035545 42.0347082, 24.3037352 42.035069)",37,,2,
693833903,Михаил Такев,secondary,True,False,27.421,"LINESTRING (24.3035545 42.0347082, 24.3033798 42.0344985)",37,,,
116526824,,secondary,True,False,14.501999999999999,"LINESTRING (24.3033798 42.0344985, 24.3033071 42.0344544, 24.3032557 42.0344072)",37,,,roundabout
274135646,Михаил Такев,secondary,False,True,34.256,"LINESTRING (24.302868 42.0341025, 24.3024903 42.0339752)",37,,,
275303641,Михаил Такев,secondary,True,False,28.444,"LINESTRING (24.302868 42.0341025, 24.3032051 42.0341549)",37,,,
275265628,Георги Раковски,residential,False,False,65.818,"LINESTRING (24.3062691 42.0334104, 24.3058307 42.0339047)",,,,
274135659,Георги Зафиров,residential,False,False,83.03,"LINESTRING (24.3062691 42.0334104, 24.306563 42.0334221, 24.3071673 42.0335715, 24.3072376 42.0335889)",,,,
274135659,Георги Зафиров,residential,False,True,128.293,"LINESTRING (24.3062691 42.0334104, 24.3050095 42.033361, 24.3047179 42.0333496)",,,,
116526824,,secondary,True,False,9.342,"LINESTRING (24.3032051 42.0341549, 24.3032424 42.0341219, 24.3032947 42.034109)",37,,,roundabout
657850652,,secondary,True,False,32.125,"LINESTRING (24.3032947 42.034109, 24.3033765 42.0341418, 24.3034405 42.0341871, 24.3034986 42.0342523, 24.3035276 42.0343252)",37,,,roundabout
1106080367,3-ти Март,tertiary,False,False,87.068,"LINESTRING (24.3032947 42.034109, 24.3033344 42.0338095, 24.3033457 42.0333275)",377,,,
116526824,,secondary,True,False,13.207,"LINESTRING (24.3032557 42.0344072, 24.3031833 42.0343013)",37,,,roundabout
26262518,Свети Константин,residential,False,False,91.28099999999999,"LINESTRING (24.3032557 42.0344072, 24.3030117 42.0345008, 24.302289 42.0348049)",,,,
274135636,Дойранска епопея,residential,False,False,54.494,"LINESTRING (24.3009387 42.0317452, 24.3003146 42.0315862)",,,,
