osmid,highway,oneway,reversed,length,ref,name,geometry,lanes,tunnel
462879973,tertiary,False,False,8.589,,,"LINESTRING (105.2916228 27.2867785, 105.2916135 27.2868553)",,
462879973,tertiary,False,False,18.265,,,"LINESTRING (105.2892785 27.2899156, 105.289133 27.2900169)",,
462879973,tertiary,False,True,411.146,,,"LINESTRING (105.2892785 27.2899156, 105.2916135 27.2868553)",,
462879941,trunk,True,False,14.59,G246;G326,碧阳大道,"LINESTRING (105.2886678 27.2847349, 105.2885695 27.2848328)",,
462879965,tertiary,True,False,263.16499999999996,,,"LINESTRING (105.2886678 27.2847349, 105.2904598 27.2858628, 105.2908399 27.2861041)",,
591246790,secondary,True,False,167.225,,百里杜鹃路,"LINESTRING (105.2861001 27.2878914, 105.2874756 27.2887674)",2,
637229910,trunk,True,False,15.727,G246;G326,碧阳大道,"LINESTRING (105.2861001 27.2878914, 105.2859563 27.287952)",,
853008893,secondary,True,False,15.144,,百里杜鹃路,"LINESTRING (105.2859563 27.287952, 105.2858331 27.287871)",2,
503175818,trunk,True,False,259.097,G246;G326,,"LINESTRING (105.2859563 27.287952, 105.2852487 27.2882237, 105.2845492 27.2884613, 105.2838313 27.2887002, 105.2835142 27.288798)",3,
503175759,trunk,True,False,12.873,G246;G326,碧阳大道,"LINESTRING (105.2902901 27.2824322, 105.2904156 27.2824012)",,
462879965,tertiary,True,False,16.528,,,"LINESTRING (105.288518 27.2846688, 105.2886678 27.2847349)",,
503175759,trunk,True,False,304.958,G246;G326,碧阳大道,"LINESTRING (105.288518 27.2846688, 105.2900317 27.2826585, 105.2901361 27.2825474, 105.2902901 27.2824322)",,
503175808,trunk,True,False,13.844,G246;G326,碧阳大道,"LINESTRING (105.2858331 27.287871, 105.285945 27.2877961)",3,
591246789,secondary,True,False,392.15,,百里杜鹃路,"LINESTRING (105.2858331 27.287871, 105.2826833 27.2857259)",2,
462879972,secondary,True,False,123.662,,百里杜鹃路,"LINESTRING (105.2827466 27.285643, 105.2837441 27.2863145)",2,
503175740,tertiary,False,False,220.093,,,"LINESTRING (105.2827466 27.285643, 105.2839969 27.284005)",,
1208440926,tertiary,False,True,11.14,,,"LINESTRING (105.2827466 27.285643, 105.2826833 27.2857259)",,
1208440926,tertiary,False,False,11.14,,,"LINESTRING (105.2826833 27.2857259, 105.2827466 27.285643)",,
591246790,secondary,True,False,18.634,,百里杜鹃路,"LINESTRING (105.285945 27.2877961, 105.2861001 27.2878914)",2,
"[503175808, 637229908, 503175759]",trunk,True,False,420.3,G246;G326,碧阳大道,"LINESTRING (105.285945 27.2877961, 105.2863171 27.2874994, 105.2865805 27.2872154, 105.2870712 27.286576, 105.2874295 27.2860973, 105.288462 27.2847639)",3,yes
462879972,secondary,True,False,87.155,,百里杜鹃路,"LINESTRING (105.285242 27.2873228, 105.285945 27.2877961)",2,
462879980,tertiary,False,False,117.78800000000001,,,"LINESTRING (105.285242 27.2873228, 105.2853383 27.2870802, 105.2854977 27.2866373, 105.2856308 27.2863217)",,
462879983,tertiary,False,False,177.011,,,"LINESTRING (105.2856308 27.2863217, 105.2841645 27.2854074)",,
462879980,tertiary,False,False,177.43099999999998,,,"LINESTRING (105.2856308 27.2863217, 105.2857398 27.2860906, 105.285824 27.2859471, 105.2858607 27.2858845, 105.2858904 27.2858413, 105.2860453 27.2856155, 105.2862183 27.2854108, 105.2862483 27.2853753, 105.286303 27.2853185, 105.2864436 27.2851797, 105.286627 27.2850095)",,
462879980,tertiary,False,True,117.788,,,"LINESTRING (105.2856308 27.2863217, 105.2854977 27.2866373, 105.2853383 27.2870802, 105.285242 27.2873228)",,
462879982,tertiary,False,True,175.592,,,"LINESTRING (105.286627 27.2850095, 105.2851857 27.284086)",,
