osmid,name,highway,oneway,reversed,length,lanes,bridge,geometry
467128434,幸福路,secondary,False,True,15.517,,,"LINESTRING (81.2816781 40.5391499, 81.2816958 40.5392888)"
305916353,金银川路,secondary,False,True,15.66,4,,"LINESTRING (81.2719638 40.539902, 81.2719952 40.5400408)"
"[705880256, 941181179, 705880255]",塔里木大道,primary,True,False,825.211,2,yes,"LINESTRING (81.2719638 40.539902, 81.2757338 40.5396529, 81.277907 40.5394842, 81.2816781 40.5391499)"
305916353,金银川路,secondary,False,False,433.443,4,,"LINESTRING (81.2727726 40.5459185, 81.2722596 40.54204)"
283804526,胜利大道,secondary,False,True,822.496,,,"LINESTRING (81.2727726 40.5459185, 81.2752691 40.5457214, 81.279953 40.5453515, 81.2824546 40.5451539)"
305916353,金银川路,secondary,False,False,15.66,4,,"LINESTRING (81.2719952 40.5400408, 81.2719638 40.539902)"
305916353,金银川路,secondary,False,True,223.421,4,,"LINESTRING (81.2719952 40.5400408, 81.2722596 40.54204)"
467128434,幸福路,secondary,False,False,318.51,,,"LINESTRING (81.282059 40.5421399, 81.2816958 40.5392888)"
467128434,幸福路,secondary,False,True,336.805,,,"LINESTRING (81.282059 40.5421399, 81.2824546 40.5451539)"
305916353,金银川路,secondary,False,False,223.421,4,,"LINESTRING (81.2722596 40.54204, 81.2719952 40.5400408)"
305916353,金银川路,secondary,False,True,433.443,4,,"LINESTRING (81.2722596 40.54204, 81.2727726 40.5459185)"
467128434,幸福路,secondary,False,False,15.517,,,"LINESTRING (81.2816958 40.5392888, 81.2816781 40.5391499)"
467128434,幸福路,secondary,False,True,318.51,,,"LINESTRING (81.2816958 40.5392888, 81.282059 40.5421399)"
"[705880257, 941181180, 283804535]",塔里木大道,primary,True,False,823.9929999999999,2,yes,"LINESTRING (81.2816958 40.5392888, 81.2779058 40.539581, 81.2757799 40.5397569, 81.2719952 40.5400408)"
467128434,幸福路,secondary,False,False,336.805,,,"LINESTRING (81.2824546 40.5451539, 81.282059 40.5421399)"
283804526,胜利大道,secondary,False,False,822.4959999999999,,,"LINESTRING (81.2824546 40.5451539, 81.279953 40.5453515, 81.2752691 40.5457214, 81.2727726 40.5459185)"
