osmid,oneway,name,highway,reversed,length,lanes,ref,tunnel,geometry
156819347,True,花园路,primary,False,169.403,,,,"LINESTRING (104.7160499 31.4568765, 104.715663 31.4583638)"
733261167,True,花园南街,secondary,False,12.637,2,,,"LINESTRING (104.7160499 31.4568765, 104.7159196 31.4568528)"
857956145,False,花园南街,tertiary,False,124.922,,,,"LINESTRING (104.7160499 31.4568765, 104.7173324 31.457132)"
224357819,False,荷花东街,residential,False,8.428,,,,"LINESTRING (104.7120652 31.4561698, 104.7120716 31.4560942)"
224357819,False,荷花东街,residential,True,328.901,,,,"LINESTRING (104.7120652 31.4561698, 104.7118256 31.4591206)"
224357821,False,金菊街,tertiary,False,115.046,,,,"LINESTRING (104.7194697 31.4575337, 104.7190729 31.4585114)"
224357821,False,金菊街,tertiary,True,127.354,,,,"LINESTRING (104.7194697 31.4575337, 104.7199143 31.456453)"
857956145,False,花园南街,tertiary,False,136.254,,,,"LINESTRING (104.7194697 31.4575337, 104.7209016 31.4576315)"
857956145,False,花园南街,tertiary,True,109.939,,,,"LINESTRING (104.7194697 31.4575337, 104.7183375 31.4573221)"
481053978,False,新华西街,residential,False,150.576,,,,"LINESTRING (104.7209016 31.4576315, 104.720345 31.4588997)"
481053978,False,新华西街,residential,True,97.323,,,,"LINESTRING (104.7209016 31.4576315, 104.7212613 31.4568118)"
857956145,False,花园南街,tertiary,True,136.254,,,,"LINESTRING (104.7209016 31.4576315, 104.7194697 31.4575337)"
156821052,True,临园路西段,trunk,False,123.248,3,G108;G247,,"LINESTRING (104.7182371 31.4605423, 104.7194657 31.4609032)"
224357821,False,金菊街,tertiary,False,11.43,,,,"LINESTRING (104.7182371 31.4605423, 104.7181979 31.4606395)"
224357821,False,金菊街,tertiary,True,168.087,,,,"LINESTRING (104.7182371 31.4605423, 104.7188301 31.4591178)"
156821046,True,临园路西段,trunk,False,167.857,4,G108;G247,,"LINESTRING (104.7118256 31.4591206, 104.7135706 31.4593719)"
224357819,False,荷花东街,residential,False,328.901,,,,"LINESTRING (104.7118256 31.4591206, 104.7120652 31.4561698)"
956315302,False,,residential,False,16.085,,,,"LINESTRING (104.7118256 31.4591206, 104.7118429 31.4592645)"
