osmid,highway,oneway,reversed,length,bridge,name,geometry,lanes
"[395276096, 395275105, 395276098, 246123428, 395276079, 395276081, 246123418]",tertiary,False,"[False, True]",1660.21,yes,文化路,"LINESTRING (116.7614423 36.1809013, 116.7614536 36.1792369, 116.76146 36.1787363, 116.7614975 36.1758243, 116.7676377 36.1758438, 116.7676491 36.179533, 116.7676506 36.1800007, 116.7676521 36.1805017, 116.7676486 36.1807407)",
246123428,tertiary,False,True,340.928,,,"LINESTRING (116.7614423 36.1809013, 116.7614929 36.1811863, 116.7614792 36.1839644)",
246123436,tertiary,False,True,534.531,,,"LINESTRING (116.7614423 36.1809013, 116.7657836 36.1809075, 116.7671903 36.1809095, 116.7673977 36.1809014)",
395275101,tertiary_link,True,False,27.038,,,"LINESTRING (116.7676486 36.1807407, 116.7676911 36.1807418, 116.7677619 36.1807707, 116.7678018 36.1808015, 116.7678407 36.1808574, 116.7678513 36.1808925)",
"[395276096, 395275105, 395276098, 246123428, 395276079, 395276081, 246123418]",tertiary,False,"[False, True]",1660.2099999999998,yes,文化路,"LINESTRING (116.7676486 36.1807407, 116.7676521 36.1805017, 116.7676506 36.1800007, 116.7676491 36.179533, 116.7676377 36.1758438, 116.7614975 36.1758243, 116.76146 36.1787363, 116.7614536 36.1792369, 116.7614423 36.1809013)",
395275101,tertiary_link,True,False,32.608,,,"LINESTRING (116.767611 36.1810971, 116.7675598 36.181095, 116.7674889 36.1810664, 116.7674362 36.181022, 116.7674037 36.1809636, 116.7673977 36.1809014)",
395275127,tertiary,False,True,323.227,,长山街,"LINESTRING (116.767611 36.1810971, 116.7676162 36.1813256, 116.7676056 36.1840039)",
246123428,tertiary,False,True,305.51,,,"LINESTRING (116.7614792 36.1839644, 116.7614678 36.1867119)",
395276084,tertiary,False,False,549.852,,新城路,"LINESTRING (116.7614792 36.1839644, 116.7676056 36.1840039)",4
246123428,tertiary,False,False,340.928,,,"LINESTRING (116.7614792 36.1839644, 116.7614929 36.1811863, 116.7614423 36.1809013)",
395275125,tertiary,False,True,554.051,,,"LINESTRING (116.7676414 36.1867106, 116.7614678 36.1867119)",
395275127,tertiary,False,False,300.989,,长山街,"LINESTRING (116.7676414 36.1867106, 116.7676056 36.1840039)",
395275127,tertiary,False,True,300.989,,长山街,"LINESTRING (116.7676056 36.1840039, 116.7676414 36.1867106)",
395276084,tertiary,False,True,549.852,,新城路,"LINESTRING (116.7676056 36.1840039, 116.7614792 36.1839644)",4
395275127,tertiary,False,False,323.227,,长山街,"LINESTRING (116.7676056 36.1840039, 116.7676162 36.1813256, 116.767611 36.1810971)",
246123428,tertiary,False,False,305.51,,,"LINESTRING (116.7614678 36.1867119, 116.7614792 36.1839644)",
395275125,tertiary,False,False,554.051,,,"LINESTRING (116.7614678 36.1867119, 116.7676414 36.1867106)",
395275101,tertiary_link,True,False,36.203,,,"LINESTRING (116.7678513 36.1808925, 116.7678486 36.1809565, 116.7678254 36.181007, 116.7677758 36.1810569, 116.7677425 36.1810765, 116.7676685 36.1810994, 116.767611 36.1810971)",
246123436,tertiary,False,False,534.5310000000001,,,"LINESTRING (116.7673977 36.1809014, 116.7671903 36.1809095, 116.7657836 36.1809075, 116.7614423 36.1809013)",
395275101,tertiary_link,True,False,32.195,,,"LINESTRING (116.7673977 36.1809014, 116.7674303 36.1808221, 116.7674828 36.1807741, 116.7675738 36.1807387, 116.7676486 36.1807407)",
