osmid,oneway,lanes,name,highway,reversed,length,bridge,geometry
1022850940,True,3,开元大道,primary,False,8.016,,"LINESTRING (112.446197 34.6188223, 112.4461094 34.6188224)"
"[875015289, 875015290, 949901087]",True,,市府西街,tertiary,False,392.053,yes,"LINESTRING (112.446197 34.6188223, 112.4461874 34.618963, 112.4460888 34.6201445, 112.4460468 34.6203448, 112.4460343 34.620495, 112.4460161 34.6207123, 112.4458869 34.6223378)"
949901085,True,3,开元大道,primary,False,300.552,,"LINESTRING (112.4461513 34.6187032, 112.4494283 34.618885)"
1022850939,True,,市府西街,tertiary,False,13.888,,"LINESTRING (112.4461513 34.6187032, 112.446197 34.6188223)"
997663179,True,3,开元大道,primary,False,236.99,,"LINESTRING (112.4494283 34.618885, 112.4520123 34.619028)"
997663181,True,,市府东街,tertiary,False,13.982,,"LINESTRING (112.4494283 34.618885, 112.4494425 34.6190102)"
1022850941,True,3,开元大道,primary,False,4.588,,"LINESTRING (112.4494425 34.6190102, 112.4493926 34.6190062)"
"[949901089, 875015283, 875015284]",True,,市府东街,tertiary,False,392.911,yes,"LINESTRING (112.4494425 34.6190102, 112.449431 34.6191511, 112.449345 34.6201522, 112.4493374 34.6202702, 112.4493176 34.6205321, 112.4492958 34.6207848, 112.4492901 34.6208836, 112.4491631 34.6225362)"
991892529,True,,市府东街,tertiary,False,4.28,,"LINESTRING (112.4491631 34.6225362, 112.4491599 34.6225746)"
949901084,True,,政和路,tertiary,False,232.195,,"LINESTRING (112.4491631 34.6225362, 112.44989 34.622583, 112.4505864 34.6226196, 112.4516942 34.6226846)"
991892548,True,,市府西街,tertiary,False,6.186,,"LINESTRING (112.4458869 34.6223378, 112.4458823 34.6223933)"
949901088,True,,政和路,tertiary,False,296.067,,"LINESTRING (112.4458869 34.6223378, 112.4472292 34.6224234, 112.4473528 34.6224308, 112.447683 34.6224506, 112.4477531 34.6224548, 112.4491137 34.6225334)"
988859036,True,,展览路,tertiary,False,5.502,,"LINESTRING (112.4464874 34.6152202, 112.4464274 34.615217)"
988859036,True,,展览路,tertiary,False,295.594,,"LINESTRING (112.4497106 34.6153941, 112.4464874 34.6152202)"
988859059,True,,兴洛东街,tertiary,False,8.414,,"LINESTRING (112.4497106 34.6153941, 112.449692 34.61532)"
997825030,True,3,开元大道,primary,False,11.601,,"LINESTRING (112.443606 34.6186884, 112.4434795 34.6186815)"
"[995158954, 988853940, 714362085]",True,,永泰街,secondary,False,391.35599999999994,yes,"LINESTRING (112.443606 34.6186884, 112.4435951 34.6188229, 112.443553 34.6190557, 112.4435037 34.6196172, 112.4434398 34.6204374, 112.4434377 34.620464, 112.4434083 34.620891, 112.4433512 34.6210582, 112.4431834 34.6214203, 112.4431113 34.6216255, 112.443054 34.6221588)"
997825029,True,,永泰街,secondary,False,14.992,,"LINESTRING (112.4434795 34.6186815, 112.4434909 34.618547)"
988853947,True,3,开元大道,primary,False,11.562,,"LINESTRING (112.4434909 34.618547, 112.4436168 34.6185558)"
988853939,True,3,开元大道,primary,False,232.506,,"LINESTRING (112.4436168 34.6185558, 112.4461513 34.6187032)"
988859062,True,,永泰街,secondary,False,14.778,,"LINESTRING (112.4436168 34.6185558, 112.443606 34.6186884)"
949901090,True,,政和路,tertiary,False,8.206,,"LINESTRING (112.4429656 34.6221464, 112.443054 34.6221588)"
"[988853946, 988853948, 988853949]",True,,永泰街,secondary,False,390.544,yes,"LINESTRING (112.4429656 34.6221464, 112.4430267 34.6216247, 112.4430988 34.6214195, 112.4432666 34.6210574, 112.4433253 34.6208915, 112.4433562 34.6204628, 112.443359 34.6204269, 112.4434218 34.6196144, 112.4434704 34.619052, 112.4434686 34.6188158, 112.4434795 34.6186815)"
995158954,True,,永泰街,secondary,False,8.167,,"LINESTRING (112.443054 34.6221588, 112.4430467 34.622232)"
949901090,True,,政和路,tertiary,False,254.394,,"LINESTRING (112.443054 34.6221588, 112.4446265 34.6222591, 112.4447721 34.6222692, 112.4458259 34.6223347)"
997663175,True,,展览路,tertiary,False,5.541,,"LINESTRING (112.449692 34.61532, 112.4497524 34.6153235)"
991892522,True,,展览路,tertiary,False,233.497,,"LINESTRING (112.4497524 34.6153235, 112.4522976 34.6154716)"
997663176,True,,兴洛东街,tertiary,False,8.733,,"LINESTRING (112.4497524 34.6153235, 112.4497106 34.6153941)"
997663178,True,,长兴街,secondary,False,11.698,,"LINESTRING (112.4520794 34.6190315, 112.4520682 34.6191363)"
997663177,True,3,开元大道,primary,False,6.141,,"LINESTRING (112.4520682 34.6191363, 112.4520012 34.6191332)"
"[994826194, 991892525, 874798693]",True,,长兴街,secondary,False,395.938,yes,"LINESTRING (112.4520682 34.6191363, 112.4520547 34.619296, 112.4518826 34.6213405, 112.4518818 34.6213497, 112.4518737 34.6214461, 112.4518421 34.6217021, 112.4518286 34.6218695, 112.4517604 34.6226879)"
970415810,True,,长兴街,secondary,False,387.913,,"LINESTRING (112.4520123 34.619028, 112.4522916 34.615547)"
994826193,True,3,开元大道,primary,False,6.152,,"LINESTRING (112.4520123 34.619028, 112.4520794 34.6190315)"
997663180,True,,长兴街,secondary,False,11.742,,"LINESTRING (112.4520012 34.6191332, 112.4520123 34.619028)"
997663182,True,3,开元大道,primary,False,234.54,,"LINESTRING (112.4520012 34.6191332, 112.4494425 34.6190102)"
991842180,True,,长兴街,secondary,False,8.402,,"LINESTRING (112.4523646 34.6154753, 112.4523586 34.6155507)"
658030512,True,,展览路,tertiary,False,6.145,,"LINESTRING (112.4523586 34.6155507, 112.4522916 34.615547)"
991842180,True,,长兴街,secondary,False,387.89,,"LINESTRING (112.4523586 34.6155507, 112.4520794 34.6190315)"
